hex,type,flight,r,t,alt_baro,alt_geom,gs,track,baro_rate,squawk,emergency,category,nav_qnh,nav_altitude_mcp,nav_heading,lat,lon,nic,rc,seen_pos,version,nic_baro,nac_p,nac_v,sil,sil_type,gva,sda,alert,spi,mlat,tisb,messages,seen,rssi,dst,dir,geom_rate,calc_track,nav_modes,true_heading,dbFlags,ias,tas,mach,wd,ws,oat,tat,track_rate,roll,mag_heading
a3133c,adsb_icao,ASA707  ,N298AK,B739,35000,35800.0,531.4,92.16,0.0,1351,none,A3,1013.6,27008.0,94.92,29.245885,-85.36797,8,186,0.241,2,1.0,10,2.0,3,perhour,2.0,2,0.0,0.0,[],[],141147,0.2,-17.6,216.485,254.5,,,,,,,,,,,,,,,
aab5e7,adsb_icao,N79CJ   ,N79CJ,FA10,35000,35425.0,489.6,138.73,,1766,none,A2,,,,33.358292,-84.567645,9,75,0.332,2,0.0,10,2.0,3,perhour,2.0,2,0.0,0.0,[],[],44213,0.3,-10.9,246.374,319.6,64.0,,,,,,,,,,,,,,
ab0485,adsb_icao,AAL1003 ,N809NN,B738,37000,38050.0,524.6,117.1,0.0,3267,none,A3,1013.6,36992.0,127.27,27.841264,-84.502822,8,186,0.432,2,1.0,9,1.0,3,perhour,2.0,2,0.0,0.0,[],[],114356,0.2,-21.1,219.171,229.0,,,,,,,,,,,,,,,
a4bbde,adsb_icao,DAL110  ,N404DX,A339,11100,11300.0,285.0,269.8,-1856.0,7447,none,A5,1016.8,4992.0,0.0,33.537643,-84.324518,8,186,0.157,2,1.0,9,1.0,3,perhour,2.0,2,0.0,0.0,[],[],98568,0.2,-16.0,246.76,323.4,,,,,,,,,,,,,,,
a8e24d,mlat,UAL233  ,N67134,B752,38950,,,,0.0,7444,none,A4,1013.6,4992.0,116.02,28.181819,-84.276237,0,0,25.283,2,1.0,0,,0,perhour,0.0,2,0.0,0.0,"['baro_rate', 'lat', 'lon', 'nic', 'rc']",[],141470,0.4,-27.1,196.48,231.1,,77.0,,,,,,,,,,,,,
a6f23d,adsb_icao,DAL2077 ,N547DE,A21N,29350,30175.0,488.0,129.6,-3392.0,6074,none,A3,1012.8,11008.0,,29.040729,-83.85358,8,186,0.332,2,1.0,10,1.0,3,perhour,2.0,3,0.0,0.0,[],[],127452,0.0,-21.6,148.235,240.8,,,,,,,,,,,,,,,
ade4cf,adsb_icao,N9947C  ,N9947C,C82R,6900,6900.0,150.6,157.35,128.0,2535,none,A1,1016.8,7008.0,189.84,32.95871,-83.583435,9,75,0.157,2,1.0,10,2.0,3,perhour,2.0,2,0.0,0.0,[],[],20611,0.2,-17.1,196.647,325.7,,,"['autopilot', 'althold']",,,,,,,,,,,,
a02350,adsb_icao,N108KC  ,N108KC,FA10,35000,35425.0,469.8,165.08,-64.0,7107,none,A2,,,,30.859314,-83.57289,9,75,0.461,2,1.0,10,2.0,3,perhour,2.0,2,0.0,0.0,[],[],20106,0.2,-16.9,118.231,287.9,,,,,,,,,,,,,,,
a52e50,adsb_icao,AAL1729 ,N433AN,A21N,32975,34150.0,503.6,114.02,0.0,7264,none,A3,1013.6,32992.0,0.0,26.940339,-83.495354,8,186,0.303,2,1.0,9,1.0,3,perhour,2.0,2,0.0,0.0,[],[],153002,0.3,-12.8,228.796,209.6,,,,,,,,,,,,,,,
ad7284,adsb_icao,LRC653  ,N966AV,A20N,33975,34650.0,412.4,205.26,0.0,1560,none,A3,1012.8,34016.0,,30.551163,-83.16925,8,186,0.436,2,1.0,10,2.0,3,perhour,2.0,2,0.0,0.0,[],[],108233,0.3,-8.3,93.67,280.8,,,,,,,,,,,,,,,
a52602,adsb_icao,TAI571  ,N4304,A320,32000,32650.0,418.2,205.65,0.0,2724,none,A3,1012.8,32000.0,,30.565842,-83.147332,8,186,0.049,2,1.0,9,1.0,3,perhour,2.0,3,0.0,0.0,[],[],101722,0.0,-25.8,92.714,281.4,,,,,,,,,,,,,,,
add793,adsb_icao,AAL2497 ,N991NN,B738,36800,38100.0,501.4,117.69,-2048.0,3666,none,A3,1013.6,4000.0,128.67,26.672058,-82.684743,8,186,0.259,2,1.0,9,1.0,3,perhour,2.0,2,0.0,0.0,[],[],136877,0.0,-22.2,226.691,197.9,,,,,,,,,,,,,,,
a5810c,adsb_icao,TAI591  ,N454AV,A320,34000,34600.0,414.2,205.45,0.0,3673,none,A3,1012.8,34016.0,,31.456375,-82.676697,8,186,0.352,2,1.0,9,1.0,3,perhour,2.0,2,0.0,0.0,[],[],71657,0.2,-14.1,97.385,317.3,,,,,,,,,,,,,,,
0c200b,adsb_icao,,HP-1377CMP,B737,ground,,6.2,,,3772,none,A3,,,,27.975614,-82.538358,8,186,5.079,2,,9,1.0,3,perhour,,2,,,[],[],31,5.1,-35.1,150.578,204.0,,,,295.31,,,,,,,,,,,
a6d9c3,adsb_icao,AAL2341 ,N540UW,A321,1775,1800.0,152.1,181.88,-896.0,2660,none,A3,1014.4,2016.0,,28.08692,-82.538237,8,186,0.429,2,1.0,9,1.0,3,perhour,2.0,2,0.0,0.0,[],[],84003,0.2,-13.1,144.456,205.0,,,,,,,,,,,,,,,
aaea8c,adsb_icao,DAL60   ,N802NW,A333,38600,39300.0,459.5,331.82,-1024.0,3374,none,A5,1013.6,35008.0,0.0,31.658455,-82.360602,8,186,0.29,2,1.0,9,1.0,3,perhour,2.0,2,0.0,0.0,[],[],74039,0.0,-20.6,97.279,329.2,,,,,,,,,,,,,,,
a6562b,adsb_icao,CSB599  ,N507YV,B752,37000,38100.0,465.3,148.8,0.0,6712,none,A4,1013.6,36992.0,160.31,27.888748,-82.317499,8,186,0.424,2,1.0,10,2.0,3,perhour,2.0,2,0.0,0.0,[],[],78138,0.4,-20.2,151.271,199.1,,,,,,,,,,,,,,,
a92b2b,adsb_icao,PXG690  ,N690ES,C560,1975,2000.0,136.0,71.57,-192.0,3736,none,A2,1015.2,2016.0,,30.460293,-81.816284,9,75,0.345,2,1.0,10,2.0,3,perhour,2.0,2,0.0,0.0,[],[],25255,0.3,-26.8,24.995,297.1,,,,,,,,,,,,,,,
a6ede5,adsb_icao,UAL1225 ,N54570,A21N,24275,25250.0,426.4,134.9,-1984.0,1415,none,A3,1013.6,4992.0,0.0,26.736905,-81.66444,8,186,0.042,2,1.0,10,2.0,3,perhour,2.0,2,0.0,0.0,[],[],129087,0.0,-17.7,212.695,184.0,,,,,,,,,,,,,,,
ac2fea,adsb_icao,SWA1521 ,N8846Q,B38M,7150,7300.0,273.8,127.58,-320.0,3247,none,A3,1013.6,6016.0,135.0,28.805099,-81.554947,8,186,0.367,2,1.0,10,2.0,3,perhour,2.0,2,0.0,0.0,[],[],124067,0.1,-19.4,88.55,185.8,,,,,,,,,,,,,,,
