feature,rho_dir_all,cov_dir_all,n_dir_all,rho_dir_bull,n_dir_bull,rho_dir_bear,n_dir_bear,rho_dir_chop,n_dir_chop,rho_5d_all,cov_5d_all,n_5d_all,rho_5d_bull,n_5d_bull,rho_5d_bear,n_5d_bear,rho_5d_chop,n_5d_chop,regime_divergence,abs_rho_dir
open_drive_flag,-0.0805,0.52,1364,-0.0523,229,-0.0829,528,-0.0882,607,-0.0655,0.52,1359,-0.0832,229,-0.0799,527,-0.046,603,0.0359,0.0805
gld_spy_corr_21,-0.0534,0.992,2602,-0.0704,765,-0.0597,886,-0.0344,951,-0.059,0.992,2597,-0.1263,765,-0.0231,885,-0.0866,947,0.036,0.0534
gld_ret_1d,0.0531,1.0,2622,0.0161,765,0.0436,905,0.0877,952,0.0224,1.0,2617,-0.0276,765,0.0605,904,-0.0047,948,0.0716,0.0531
gld_z21,0.052,0.992,2602,0.0169,765,0.0309,886,0.0995,951,0.0167,0.992,2597,-0.0197,765,0.044,885,0.0064,947,0.0826,0.052
vwap_dev_open,0.0507,0.52,1364,0.1037,229,-0.0109,528,0.0804,607,0.0377,0.52,1359,0.049,229,0.0522,527,0.0319,603,0.1146,0.0507
vol_concentration,0.0491,0.52,1364,0.0098,229,-0.012,528,0.0884,607,-0.0313,0.52,1359,-0.0903,229,-0.0488,527,0.0362,603,0.1004,0.0491
vwap_dev_r5,-0.0475,0.519,1360,-0.0495,229,-0.103,524,-0.0007,607,-0.072,0.519,1355,0.2264,229,-0.2261,523,0.085,603,0.1023,0.0475
fomc_window,-0.0473,1.0,2622,-0.0111,765,-0.0431,905,-0.0798,952,-0.0477,1.0,2617,-0.0832,765,0.0026,904,-0.0791,948,0.0687,0.0473
fedfunds_chg_21d,-0.0452,0.992,2601,-0.0306,765,-0.0919,885,-0.0219,951,-0.0354,0.992,2596,-0.056,765,-0.0885,884,-0.0168,947,0.07,0.0452
vvix_chg_5d,-0.0401,0.947,2483,-0.0235,763,-0.0347,854,-0.0567,866,-0.0574,0.947,2478,-0.0317,763,-0.0653,853,-0.0794,862,0.0332,0.0401
overnight_gap,0.034,0.516,1353,0.1033,229,0.0163,527,0.0128,597,0.0447,0.516,1353,-0.0258,229,0.0928,527,0.009,597,0.0905,0.034
sector_risk_off_r5,-0.0339,0.997,2613,-0.0825,765,-0.0128,897,-0.0303,951,-0.0516,0.997,2608,-0.0724,765,-0.0738,896,-0.0012,947,0.0697,0.0339
late_reversal_flag,-0.0338,0.52,1364,-0.0085,229,-0.0133,528,-0.0504,607,0.035,0.52,1359,-0.0102,229,0.0546,527,-0.0205,603,0.0419,0.0338
fomc_after,-0.0322,1.0,2622,-0.0047,765,-0.0121,905,-0.0763,952,-0.0165,1.0,2617,-0.0475,765,0.0436,904,-0.0744,948,0.0716,0.0322
XLF_ret,-0.0313,1.0,2621,-0.0266,765,-0.0716,904,0.0016,952,-0.0174,1.0,2616,-0.0215,765,-0.0255,903,0.0162,948,0.0732,0.0313
vvix_z21,-0.0304,0.904,2369,0.0257,747,-0.033,796,-0.0611,826,-0.0365,0.904,2364,0.0359,747,-0.0722,795,-0.0527,822,0.0868,0.0304
spy_consec_down,0.03,1.0,2622,0.0154,765,0.0481,905,0.0302,952,0.0477,1.0,2617,0.0277,765,0.0576,904,0.0177,948,0.0327,0.03
am_range,-0.0299,0.52,1364,0.1029,229,0.0045,528,-0.0544,607,0.044,0.52,1359,0.1578,229,0.0535,527,-0.0454,603,0.1573,0.0299
vix_term_z21,0.0299,0.947,2484,-0.0041,765,0.0196,864,0.061,855,0.0175,0.947,2479,-0.0639,765,0.0811,863,0.012,851,0.0651,0.0299
dix_chg_5d,0.0296,1.0,2622,-0.0183,765,0.0781,905,0.0153,952,0.019,1.0,2617,-0.0117,765,0.0123,904,0.016,948,0.0964,0.0296
qqq_ret_1d,-0.0284,1.0,2622,-0.0306,765,-0.0544,905,0.0117,952,-0.0272,1.0,2617,-0.0213,765,-0.0607,904,0.0475,948,0.0661,0.0284
XLI_ret,-0.0283,1.0,2621,-0.0504,765,-0.0583,904,0.02,952,-0.0278,1.0,2616,0.0059,765,-0.0522,903,0.0112,948,0.0783,0.0283
XLK_ret,-0.0282,1.0,2621,-0.0157,765,-0.0565,904,0.0031,952,-0.0308,1.0,2616,-0.0038,765,-0.061,903,0.0321,948,0.0596,0.0282
fomc_before,-0.0278,1.0,2622,-0.0264,765,-0.0179,905,-0.0386,952,-0.0344,1.0,2617,-0.0512,765,-0.0298,904,-0.0173,948,0.0207,0.0278
XLY_ret,-0.0274,1.0,2621,-0.0645,765,-0.047,904,0.0224,952,-0.0048,1.0,2616,-0.0219,765,-0.0319,903,0.0585,948,0.0869,0.0274
vol_vwap_corr_5d,0.0261,0.519,1360,0.0795,229,-0.0214,524,0.0508,607,-0.0313,0.519,1355,0.03,229,-0.0847,523,-0.0037,603,0.1009,0.0261
xle_spy_rs_5d,-0.0258,0.997,2613,0.0167,765,-0.0458,897,-0.0329,951,-0.075,0.997,2608,0.0127,765,-0.0849,896,-0.1391,947,0.0625,0.0258
spy_z21,-0.0257,0.992,2602,-0.0366,765,-0.0471,886,0.0047,951,-0.0217,0.992,2597,-0.0132,765,-0.0379,885,0.0121,947,0.0518,0.0257
vwap_dev_am,-0.0251,0.52,1364,0.0404,229,-0.0013,528,-0.0614,607,0.0307,0.52,1359,-0.0004,229,0.0719,527,-0.0196,603,0.1018,0.0251
spy_consec_up,-0.025,1.0,2622,-0.0064,765,-0.0473,905,-0.0293,952,-0.036,1.0,2617,-0.0102,765,-0.0529,904,-0.0053,948,0.0409,0.025
dix_z21,0.0249,1.0,2622,0.0252,765,0.0501,905,0.0004,952,0.0177,1.0,2617,-0.0165,765,0.0289,904,-0.0079,948,0.0497,0.0249
block_active_flag,0.0247,1.0,2622,0.0064,765,0.013,905,0.0508,952,0.0209,1.0,2617,-0.0637,765,0.0199,904,0.0801,948,0.0444,0.0247
macro_event_window,-0.0244,1.0,2622,0.0218,765,-0.0732,905,-0.0116,952,-0.0364,1.0,2617,-0.0098,765,-0.0462,904,-0.0462,948,0.095,0.0244
is_friday,0.0237,1.0,2622,-0.0039,765,0.026,905,0.0432,952,-0.0187,1.0,2617,0.013,765,-0.0057,904,-0.0375,948,0.0471,0.0237
gex_chg_5d,-0.0235,1.0,2622,0.0185,765,-0.0663,905,-0.0117,952,-0.0323,1.0,2617,0.0542,765,-0.0782,904,0.0126,948,0.0848,0.0235
vix_z21,-0.023,0.992,2602,0.0103,765,-0.0027,886,-0.054,951,0.0205,0.992,2597,0.1167,765,-0.026,885,-0.016,947,0.0643,0.023
days_to_fomc,0.0228,1.0,2622,-0.0025,765,0.0779,905,-0.0082,952,0.0406,1.0,2617,-0.0024,765,0.1202,904,-0.0329,948,0.0861,0.0228
spy_rsi_3,-0.0222,0.834,2187,-0.0659,587,-0.0127,811,-0.0097,789,-0.0756,0.834,2182,-0.0813,587,-0.0882,810,-0.014,785,0.0562,0.0222
yield_curve_z63,0.0222,0.976,2560,0.0032,765,0.0722,870,-0.0089,925,0.0392,0.976,2555,-0.0175,765,0.0746,869,0.0272,921,0.0811,0.0222
qqq_z21,-0.0221,0.992,2602,-0.0332,765,-0.0463,886,0.0083,951,-0.0182,0.992,2597,-0.0049,765,-0.0573,885,0.0358,947,0.0546,0.0221
vix_ma20_ratio,-0.0219,0.993,2603,0.0094,765,-0.01,887,-0.044,951,0.008,0.993,2598,0.0868,765,-0.0257,886,-0.0174,947,0.0534,0.0219
gap_fill_flag,-0.0218,0.52,1364,0.0937,229,-0.0279,528,-0.0619,607,-0.0484,0.52,1359,0.026,229,-0.0291,527,-0.0999,603,0.1556,0.0218
vwap_cross_count,0.0214,0.52,1364,-0.0644,229,-0.0039,528,0.0701,607,0.0043,0.52,1359,-0.0007,229,-0.0069,527,0.0224,603,0.1345,0.0214
vwap_time_above_pct,0.021,0.52,1364,-0.0455,229,0.0086,528,0.0464,607,-0.0255,0.52,1359,-0.078,229,-0.0361,527,0.0209,603,0.0919,0.021
spy_ret_r5,-0.0205,0.998,2618,-0.0369,765,-0.0361,902,-0.0053,951,-0.057,0.998,2613,-0.0322,765,-0.0886,901,0.0056,947,0.0316,0.0205
yield_inverted,-0.0199,1.0,2622,0.0194,765,-0.0878,905,0.006,952,0.0211,1.0,2617,0.0959,765,-0.0032,904,-0.0061,948,0.1072,0.0199
pm_range,-0.0196,0.52,1364,0.0898,229,-0.0225,528,-0.0171,607,0.0423,0.52,1359,0.1071,229,0.0268,527,-0.0509,603,0.1123,0.0196
month_cos,-0.0194,1.0,2622,-0.0054,765,-0.0505,905,-0.0077,952,-0.0132,1.0,2617,0.1116,765,-0.0574,904,-0.107,948,0.0451,0.0194
spy_z5,-0.0192,0.998,2618,-0.0187,765,-0.0368,902,-0.0049,951,-0.018,0.998,2613,-0.0118,765,-0.0207,901,-0.0124,947,0.0319,0.0192
fomc_day,-0.0191,1.0,2622,0.0129,765,-0.0429,905,-0.0209,952,-0.0289,1.0,2617,-0.0406,765,-0.0105,904,-0.0419,948,0.0558,0.0191
fomc_hist_ret,0.0191,1.0,2622,-0.0129,765,0.0429,905,0.0209,952,0.0289,1.0,2617,0.0406,765,0.0105,904,0.0419,948,0.0558,0.0191
days_to_cpi,-0.0184,1.0,2622,-0.0327,765,0.0179,905,-0.0409,952,-0.0677,1.0,2617,-0.1297,765,-0.0376,904,-0.0595,948,0.0588,0.0184
sector_dispersion_1d,-0.0182,1.0,2621,0.0097,765,-0.012,904,-0.0134,952,0.0426,1.0,2616,0.0252,765,0.0295,903,-0.036,948,0.0231,0.0182
XLE_ret,-0.0174,1.0,2621,-0.0569,765,-0.0744,904,0.0603,952,-0.0457,1.0,2616,-0.0094,765,-0.0437,903,-0.0546,948,0.1347,0.0174
days_into_month,-0.0172,1.0,2622,-0.0559,765,-0.0042,905,-0.0014,952,-0.0083,1.0,2617,-0.1102,765,0.0685,904,-0.0373,948,0.0545,0.0172
gex_sign,0.017,1.0,2622,,765,0.036,905,-0.029,952,-0.0681,1.0,2617,,765,-0.0638,904,0.0356,948,0.065,0.017
is_monday,-0.0167,1.0,2622,0.0245,765,0.0155,905,-0.079,952,-0.0031,1.0,2617,0.0161,765,0.0078,904,-0.022,948,0.1035,0.0167
yield_curve,0.0165,1.0,2622,-0.0184,765,0.0672,905,0.0101,952,-0.0018,1.0,2617,-0.0388,765,0.0303,904,0.0135,948,0.0856,0.0165
qqq_ret_5d,-0.0164,0.998,2618,-0.0371,765,-0.0285,902,0.0102,951,-0.0388,0.998,2613,-0.1007,765,-0.0605,901,0.0737,947,0.0473,0.0164
gex_chg_1d,-0.0163,1.0,2622,-0.0321,765,-0.0301,905,0.0117,952,-0.0162,1.0,2617,-0.0016,765,-0.0361,904,0.0273,948,0.0438,0.0163
vix_chg_5d,-0.0155,0.998,2617,-0.0171,765,-0.0025,901,-0.0255,951,0.0184,0.998,2612,0.0216,765,0.0128,900,0.0044,947,0.023,0.0155
block_highdev_5d,0.0154,0.998,2618,-0.0038,765,0.0261,902,0.0292,951,0.0286,0.998,2613,-0.0833,765,0.0142,901,0.0966,947,0.033,0.0154
vix_level,-0.0153,1.0,2622,-0.0116,765,0.0009,905,0.0025,952,0.1086,1.0,2617,0.0444,765,0.1003,904,0.0768,948,0.0141,0.0153
vwap_dev_z21,0.0152,0.513,1344,-0.0504,229,0.0203,508,0.026,607,-0.0312,0.513,1339,0.0304,229,-0.0467,507,-0.0071,603,0.0764,0.0152
high_vol_above_vwap,-0.015,0.52,1364,-0.0452,229,-0.0294,528,0.0004,607,-0.009,0.52,1359,-0.0318,229,-0.015,527,0.0289,603,0.0456,0.015
nfp_before,0.0148,1.0,2622,0.0664,765,-0.0372,905,0.0255,952,0.0138,1.0,2617,0.0388,765,-0.0325,904,0.0574,948,0.1036,0.0148
cpi_after,0.0148,1.0,2622,0.0227,765,0.0209,905,-0.0006,952,-0.0381,1.0,2617,-0.0427,765,-0.0506,904,-0.0218,948,0.0233,0.0148
nfp_after,-0.0142,1.0,2622,-0.0234,765,0.0091,905,-0.0281,952,0.0185,1.0,2617,0.0669,765,0.0268,904,-0.0228,948,0.0372,0.0142
is_qtr_end,0.0139,1.0,2622,0.0068,765,-0.0162,905,0.0467,952,0.0436,1.0,2617,0.0354,765,0.0511,904,0.0328,948,0.0629,0.0139
sector_risk_on_r5,-0.0138,0.997,2613,-0.0365,765,-0.0271,897,0.0045,951,-0.039,0.997,2608,-0.0697,765,-0.0713,896,0.0501,947,0.041,0.0138
