model_id,domain,player_type,horizon,model_type,train_date,train_rows,val_rows,val_rmse,val_mae,val_spearman,val_r2,features_used,notes
batters_daily_ridge_2026-06-16,sports,batters,daily,ridge,2026-06-16,6498,2067,3.255,2.5194,0.1006,0.0079,"[""fantasy_pts_r7"", ""fantasy_pts_r14"", ""fantasy_pts_r30"", ""fantasy_pts_std_r7"", ""fantasy_pts_std_r14"", ""sharpe_r14"", ""wOBA_r7"", ""wOBA_r14"", ""xwOBA_r7"", ""xwOBA_r14"", ""ISO_r7"", ""ISO_r14"", ""Hard_pct_r7"", ""Hard_pct_r14"", ""Barrel_pct_r7"", ""Barrel_pct_r14"", ""EV_r7"", ""EV_r14"", ""SwStr_pct_r7"", ""SwStr_pct_r14"", ""BB_pct_r7"", ""K_pct_r7"", ""BABIP_r7"", ""rest_days"", ""opp_diff_r14"", ""season_ppg"", ""hot_flag"", ""cold_flag"", ""BatOrder_r7"", ""bat_order_trend"", ""pos_1B"", ""pos_2B"", ""pos_3B"", ""pos_C"", ""pos_OF"", ""pos_SS""]",initial baseline run
batters_daily_gbm_2026-06-16,sports,batters,daily,gbm,2026-06-16,6498,2067,3.2721,2.5362,0.0785,-0.0026,"[""fantasy_pts_r7"", ""fantasy_pts_r14"", ""fantasy_pts_r30"", ""fantasy_pts_std_r7"", ""fantasy_pts_std_r14"", ""sharpe_r14"", ""wOBA_r7"", ""wOBA_r14"", ""xwOBA_r7"", ""xwOBA_r14"", ""ISO_r7"", ""ISO_r14"", ""Hard_pct_r7"", ""Hard_pct_r14"", ""Barrel_pct_r7"", ""Barrel_pct_r14"", ""EV_r7"", ""EV_r14"", ""SwStr_pct_r7"", ""SwStr_pct_r14"", ""BB_pct_r7"", ""K_pct_r7"", ""BABIP_r7"", ""rest_days"", ""opp_diff_r14"", ""season_ppg"", ""hot_flag"", ""cold_flag"", ""BatOrder_r7"", ""bat_order_trend"", ""pos_1B"", ""pos_2B"", ""pos_3B"", ""pos_C"", ""pos_OF"", ""pos_SS""]",initial baseline run
batters_weekly_ridge_2026-06-16,sports,batters,weekly,ridge,2026-06-16,6483,2065,8.3546,6.8535,0.2113,-0.0438,"[""fantasy_pts_r7"", ""fantasy_pts_r14"", ""fantasy_pts_r30"", ""fantasy_pts_std_r7"", ""fantasy_pts_std_r14"", ""sharpe_r14"", ""wOBA_r7"", ""wOBA_r14"", ""xwOBA_r7"", ""xwOBA_r14"", ""ISO_r7"", ""ISO_r14"", ""Hard_pct_r7"", ""Hard_pct_r14"", ""Barrel_pct_r7"", ""Barrel_pct_r14"", ""EV_r7"", ""EV_r14"", ""SwStr_pct_r7"", ""SwStr_pct_r14"", ""BB_pct_r7"", ""K_pct_r7"", ""BABIP_r7"", ""rest_days"", ""opp_diff_r14"", ""season_ppg"", ""hot_flag"", ""cold_flag"", ""BatOrder_r7"", ""bat_order_trend"", ""pos_1B"", ""pos_2B"", ""pos_3B"", ""pos_C"", ""pos_OF"", ""pos_SS""]",initial baseline run
batters_weekly_gbm_2026-06-16,sports,batters,weekly,gbm,2026-06-16,6483,2065,8.4257,6.8128,0.2284,-0.0616,"[""fantasy_pts_r7"", ""fantasy_pts_r14"", ""fantasy_pts_r30"", ""fantasy_pts_std_r7"", ""fantasy_pts_std_r14"", ""sharpe_r14"", ""wOBA_r7"", ""wOBA_r14"", ""xwOBA_r7"", ""xwOBA_r14"", ""ISO_r7"", ""ISO_r14"", ""Hard_pct_r7"", ""Hard_pct_r14"", ""Barrel_pct_r7"", ""Barrel_pct_r14"", ""EV_r7"", ""EV_r14"", ""SwStr_pct_r7"", ""SwStr_pct_r14"", ""BB_pct_r7"", ""K_pct_r7"", ""BABIP_r7"", ""rest_days"", ""opp_diff_r14"", ""season_ppg"", ""hot_flag"", ""cold_flag"", ""BatOrder_r7"", ""bat_order_trend"", ""pos_1B"", ""pos_2B"", ""pos_3B"", ""pos_C"", ""pos_OF"", ""pos_SS""]",initial baseline run
pitchers_daily_ridge_2026-06-16,sports,pitchers,daily,ridge,2026-06-16,2324,596,6.8865,4.9958,0.3864,0.1772,"[""fantasy_pts_r3"", ""fantasy_pts_r5"", ""fantasy_pts_r10"", ""fantasy_pts_std_r5"", ""fantasy_pts_std_r10"", ""sharpe_r5"", ""IP_r3"", ""IP_r5"", ""K_r3"", ""K_r5"", ""ER_r3"", ""ER_r5"", ""BB_r3"", ""BB_r5"", ""ERA_r5"", ""WHIP_r5"", ""rest_days"", ""opp_diff_r14"", ""season_ppg""]",initial baseline run
pitchers_daily_gbm_2026-06-16,sports,pitchers,daily,gbm,2026-06-16,2324,596,7.0519,5.061,0.3673,0.1372,"[""fantasy_pts_r3"", ""fantasy_pts_r5"", ""fantasy_pts_r10"", ""fantasy_pts_std_r5"", ""fantasy_pts_std_r10"", ""sharpe_r5"", ""IP_r3"", ""IP_r5"", ""K_r3"", ""K_r5"", ""ER_r3"", ""ER_r5"", ""BB_r3"", ""BB_r5"", ""ERA_r5"", ""WHIP_r5"", ""rest_days"", ""opp_diff_r14"", ""season_ppg""]",initial baseline run
pitchers_weekly_ridge_2026-06-16,sports,pitchers,weekly,ridge,2026-06-16,2275,591,8.3313,6.4399,0.1986,0.0398,"[""fantasy_pts_r3"", ""fantasy_pts_r5"", ""fantasy_pts_r10"", ""fantasy_pts_std_r5"", ""fantasy_pts_std_r10"", ""sharpe_r5"", ""IP_r3"", ""IP_r5"", ""K_r3"", ""K_r5"", ""ER_r3"", ""ER_r5"", ""BB_r3"", ""BB_r5"", ""ERA_r5"", ""WHIP_r5"", ""rest_days"", ""opp_diff_r14"", ""season_ppg""]",initial baseline run
pitchers_weekly_gbm_2026-06-16,sports,pitchers,weekly,gbm,2026-06-16,2275,591,8.347,6.4425,0.2166,0.0361,"[""fantasy_pts_r3"", ""fantasy_pts_r5"", ""fantasy_pts_r10"", ""fantasy_pts_std_r5"", ""fantasy_pts_std_r10"", ""sharpe_r5"", ""IP_r3"", ""IP_r5"", ""K_r3"", ""K_r5"", ""ER_r3"", ""ER_r5"", ""BB_r3"", ""BB_r5"", ""ERA_r5"", ""WHIP_r5"", ""rest_days"", ""opp_diff_r14"", ""season_ppg""]",initial baseline run
batters_daily_ridge_2026-06-16,sports,batters,daily,ridge,2026-06-16,6498,2067,3.2551,2.5192,0.101,0.0079,"[""fantasy_pts_r7"", ""fantasy_pts_r14"", ""fantasy_pts_r30"", ""fantasy_pts_std_r7"", ""fantasy_pts_std_r14"", ""sharpe_r14"", ""wOBA_r7"", ""wOBA_r14"", ""xwOBA_r7"", ""xwOBA_r14"", ""ISO_r7"", ""ISO_r14"", ""Hard_pct_r7"", ""Hard_pct_r14"", ""Barrel_pct_r7"", ""Barrel_pct_r14"", ""EV_r7"", ""EV_r14"", ""SwStr_pct_r7"", ""SwStr_pct_r14"", ""BB_pct_r7"", ""K_pct_r7"", ""BABIP_r7"", ""rest_days"", ""opp_diff_r14"", ""season_ppg"", ""hot_flag"", ""cold_flag"", ""BatOrder_r7"", ""bat_order_trend"", ""park_factor_dev"", ""pos_1B"", ""pos_2B"", ""pos_3B"", ""pos_C"", ""pos_OF"", ""pos_SS""]",added park_factor_dev; pitcher quality lookup; multi-year ready
batters_daily_gbm_2026-06-16,sports,batters,daily,gbm,2026-06-16,6498,2067,3.2727,2.5344,0.0815,-0.0029,"[""fantasy_pts_r7"", ""fantasy_pts_r14"", ""fantasy_pts_r30"", ""fantasy_pts_std_r7"", ""fantasy_pts_std_r14"", ""sharpe_r14"", ""wOBA_r7"", ""wOBA_r14"", ""xwOBA_r7"", ""xwOBA_r14"", ""ISO_r7"", ""ISO_r14"", ""Hard_pct_r7"", ""Hard_pct_r14"", ""Barrel_pct_r7"", ""Barrel_pct_r14"", ""EV_r7"", ""EV_r14"", ""SwStr_pct_r7"", ""SwStr_pct_r14"", ""BB_pct_r7"", ""K_pct_r7"", ""BABIP_r7"", ""rest_days"", ""opp_diff_r14"", ""season_ppg"", ""hot_flag"", ""cold_flag"", ""BatOrder_r7"", ""bat_order_trend"", ""park_factor_dev"", ""pos_1B"", ""pos_2B"", ""pos_3B"", ""pos_C"", ""pos_OF"", ""pos_SS""]",added park_factor_dev; pitcher quality lookup; multi-year ready
