conditions,trade_id,price,size,time,exchange,tape,pct_change
"[' ', '4', 'B']",71757483298355,27.4258,200,2026-04-14 15:00:06.242675658-04:00,D,A,0.0
"[' ', 'I']",71757483299379,27.435,43,2026-04-14 15:00:06.417767389-04:00,D,A,0.0335450561150445
"[' ', 'I']",71757483299382,27.435,57,2026-04-14 15:00:06.419698070-04:00,D,A,0.0335450561150445
"[' ', 'I']",52983560491568,27.435,1,2026-04-14 15:00:08.999004114-04:00,N,A,0.0335450561150445
"[' ', 'I']",71757483429970,27.435,1,2026-04-14 15:00:09.086425171-04:00,D,A,0.0335450561150445
"[' ', 'I']",71757483563608,27.435,6,2026-04-14 15:00:11.138834833-04:00,D,A,0.0335450561150445
"[' ', 'I']",52983827618656,27.435,1,2026-04-14 15:00:14.570399517-04:00,V,A,0.0335450561150445
"[' ', 'I']",52983827618659,27.435,5,2026-04-14 15:00:14.570438609-04:00,V,A,0.0335450561150445
"[' ', 'I']",71757498366040,27.435,5,2026-04-14 15:00:25.668783937-04:00,D,A,0.0335450561150445
"[' ', 'I']",71757498634819,27.435,36,2026-04-14 15:00:31.015607889-04:00,D,A,0.0335450561150445
"[' ', 'I']",52983827741750,27.435,20,2026-04-14 15:00:33.594784543-04:00,V,A,0.0335450561150445
"[' ', 'I']",71675275071045,27.435,20,2026-04-14 15:00:34.368625728-04:00,D,A,0.0335450561150445
[' '],71757499282488,27.44,100,2026-04-14 15:00:34.384371196-04:00,D,A,0.051776064873230436
"[' ', 'I']",52983577589329,27.435,50,2026-04-14 15:00:34.556043845-04:00,P,A,0.0335450561150445
"[' ', 'I']",71757499286578,27.435,50,2026-04-14 15:00:34.559084007-04:00,D,A,0.0335450561150445
"[' ', 'I']",71757499486534,27.43,1,2026-04-14 15:00:38.099922904-04:00,D,A,0.015314047356871521
"[' ', 'I']",71757499680819,27.435,50,2026-04-14 15:00:40.779415383-04:00,D,A,0.0335450561150445
"[' ', 'I']",71757500204857,27.44,4,2026-04-14 15:00:49.275645837-04:00,D,A,0.051776064873230436
