conditions,trade_id,price,size,time,exchange,tape,pct_change
"['@', 'T']",1,760.0,102,2026-04-22 04:00:00.006574132-04:00,P,C,0.0
"['@', 'T', 'I']",2,760.0,81,2026-04-22 04:00:00.045632004-04:00,P,C,0.0
"['@', 'T', 'I']",1,735.02,1,2026-04-22 04:00:00.071322691-04:00,K,C,-3.28684210526316
"['@', 'T', 'I']",2,743.0,3,2026-04-22 04:00:00.071911600-04:00,K,C,-2.236842105263158
"['@', 'T', 'I']",3,754.76,3,2026-04-22 04:00:00.072409929-04:00,K,C,-0.6894736842105276
"['@', 'T', 'I']",4,755.0,1,2026-04-22 04:00:00.072414754-04:00,K,C,-0.6578947368421052
"['@', 'T', 'I']",5,755.9,10,2026-04-22 04:00:00.072417310-04:00,K,C,-0.5394736842105293
"['@', 'T', 'I']",6,757.0,50,2026-04-22 04:00:00.072421637-04:00,K,C,-0.39473684210526316
"['@', 'T', 'I']",7,758.0,1,2026-04-22 04:00:00.072435238-04:00,K,C,-0.2631578947368421
"['@', 'T', 'I']",3,760.0,1,2026-04-22 04:00:00.083629806-04:00,P,C,0.0
"['@', 'F', 'T', 'I']",4,762.0,3,2026-04-22 04:00:00.095580528-04:00,P,C,0.2631578947368421
"['@', 'F', 'T', 'I']",5,763.0,1,2026-04-22 04:00:00.095599189-04:00,P,C,0.39473684210526316
"['@', 'F', 'T', 'I']",6,763.0,1,2026-04-22 04:00:00.095599238-04:00,P,C,0.39473684210526316
"['@', 'F', 'T', 'I']",7,763.0,6,2026-04-22 04:00:00.095601510-04:00,P,C,0.39473684210526316
"['@', 'F', 'T', 'I']",8,764.0,10,2026-04-22 04:00:00.095601563-04:00,P,C,0.5263157894736842
"['@', 'F', 'T', 'I']",9,765.0,1,2026-04-22 04:00:00.095621072-04:00,P,C,0.6578947368421052
"['@', 'F', 'T', 'I']",10,765.0,10,2026-04-22 04:00:00.095622253-04:00,P,C,0.6578947368421052
"['@', 'F', 'T', 'I']",11,765.0,2,2026-04-22 04:00:00.095623874-04:00,P,C,0.6578947368421052
"['@', 'F', 'T', 'I']",12,765.0,1,2026-04-22 04:00:00.095626888-04:00,P,C,0.6578947368421052
"['@', 'F', 'T', 'I']",13,765.0,3,2026-04-22 04:00:00.095631575-04:00,P,C,0.6578947368421052
"['@', 'F', 'T', 'I']",14,765.98,10,2026-04-22 04:00:00.095638711-04:00,P,C,0.7868421052631602
"['@', 'F', 'T', 'I']",15,766.66,5,2026-04-22 04:00:00.095638758-04:00,P,C,0.87631578947368
"['@', 'F', 'T', 'I']",16,768.0,10,2026-04-22 04:00:00.095641149-04:00,P,C,1.0526315789473684
"['@', 'F', 'T', 'I']",17,768.0,1,2026-04-22 04:00:00.095644384-04:00,P,C,1.0526315789473684
"['@', 'F', 'T', 'I']",18,768.08,17,2026-04-22 04:00:00.095647007-04:00,P,C,1.0631578947368474
"['@', 'T', 'I']",1,762.87,15,2026-04-22 04:00:00.331140276-04:00,D,C,0.377631578947369
"['@', 'T', 'I']",2,760.0,2,2026-04-22 04:00:00.437385687-04:00,D,C,0.0
"['@', 'T', 'I']",3,760.0,1,2026-04-22 04:00:00.438293886-04:00,D,C,0.0
"['@', 'T', 'I']",4,760.0,2,2026-04-22 04:00:00.439573432-04:00,D,C,0.0
"['@', 'T', 'I']",5,760.0,1,2026-04-22 04:00:00.440453797-04:00,D,C,0.0
"['@', 'T']",19,760.0,100,2026-04-22 04:00:01.668771566-04:00,P,C,0.0
"['@', 'T', 'I']",6,762.1707,1,2026-04-22 04:00:01.705087425-04:00,D,C,0.28561842105263296
"['@', 'F', 'T', 'I']",20,760.0,1,2026-04-22 04:00:01.821490480-04:00,P,C,0.0
"['@', 'T', 'I']",7,734.9003,1,2026-04-22 04:00:01.824031859-04:00,D,C,-3.3025921052631557
"['@', 'T', 'I']",8,754.93,1,2026-04-22 04:00:03.106527390-04:00,D,C,-0.6671052631579013
"['@', 'T', 'I']",9,743.7915,1,2026-04-22 04:00:03.371610999-04:00,D,C,-2.1326973684210473
"['@', 'T', 'I']",10,750.02,1,2026-04-22 04:00:03.491302552-04:00,D,C,-1.3131578947368445
"['@', 'T', 'I']",11,743.7915,1,2026-04-22 04:00:04.289817431-04:00,D,C,-2.1326973684210473
"['@', 'T', 'I']",12,750.46,1,2026-04-22 04:00:04.321898099-04:00,D,C,-1.255263157894732
"['@', 'T', 'I']",21,760.0,1,2026-04-22 04:00:04.358759956-04:00,P,C,0.0
"['@', 'T', 'I']",13,750.0,1,2026-04-22 04:00:04.893299421-04:00,D,C,-1.3157894736842104
"['@', 'T', 'I']",14,752.775,1,2026-04-22 04:00:05.541932376-04:00,D,C,-0.9506578947368451
"['@', 'T', 'I']",22,760.0,14,2026-04-22 04:00:05.757354331-04:00,P,C,0.0
"['@', 'T', 'I']",23,759.99,5,2026-04-22 04:00:05.890535238-04:00,P,C,-0.0013157894736830138
"['@', 'T', 'I']",24,757.0,1,2026-04-22 04:00:06.478439314-04:00,P,C,-0.39473684210526316
"['@', 'T', 'I']",25,755.0,1,2026-04-22 04:00:06.478442524-04:00,P,C,-0.6578947368421052
"['@', 'T', 'I']",26,755.0,1,2026-04-22 04:00:06.611109806-04:00,P,C,-0.6578947368421052
"['@', 'T', 'I']",15,750.0,1,2026-04-22 04:00:10.976116063-04:00,D,C,-1.3157894736842104
"['@', 'T', 'I']",16,752.01,3,2026-04-22 04:00:11.117384083-04:00,D,C,-1.0513157894736855
"['@', 'T', 'I']",17,752.0,3,2026-04-22 04:00:11.238980887-04:00,D,C,-1.0526315789473684
"['@', 'T', 'I']",18,753.98,6,2026-04-22 04:00:11.289265771-04:00,D,C,-0.7921052631578924
"['@', 'T', 'I']",19,748.23,1,2026-04-22 04:00:11.291392400-04:00,D,C,-1.5486842105263134
"['@', 'T', 'I']",20,753.99,1,2026-04-22 04:00:11.415624558-04:00,D,C,-0.7907894736842093
"['@', 'T', 'I']",21,753.9933,3,2026-04-22 04:00:11.699429301-04:00,D,C,-0.7903552631578978
"['@', 'T', 'I']",22,750.46,1,2026-04-22 04:00:12.160811925-04:00,D,C,-1.255263157894732
"['@', 'T', 'I']",23,750.46,1,2026-04-22 04:00:12.168294668-04:00,D,C,-1.255263157894732
"['@', 'T', 'I']",24,750.46,1,2026-04-22 04:00:12.299181540-04:00,D,C,-1.255263157894732
"['@', 'T', 'I']",25,748.73,1,2026-04-22 04:00:12.309502412-04:00,D,C,-1.4828947368421028
"['@', 'T', 'I']",26,750.0,1,2026-04-22 04:00:12.368391760-04:00,D,C,-1.3157894736842104
