close,high,low,n,open,date,volume,vw
593.54,593.93,585.38,920372,588.49,2025-06-23,87426039,590.45
600.1,601.16,596.77,682502,597.68,2025-06-24,67735293,599.5
600.44,601.91,598.88,645731,601.22,2025-06-25,62114767,600.46
605.14,605.57,601.67,630338,602.29,2025-06-26,78548361,604.17
608.14,609.61,604.11,806398,606.13,2025-06-27,86258398,607.18
611.05,612.41,608.27,858415,610.59,2025-06-30,92502541,610.3
610.85,612.02,608.75,746886,609.58,2025-07-01,70030140,610.64
613.62,613.66,609.82,679099,610.45,2025-07-02,66510374,612.32
618.46,619.39,615.58,484817,615.6,2025-07-03,51065578,618.23
613.85,617.16,611.07,863317,616.5,2025-07-07,74814505,613.93
613.51,615.26,612.7,675760,614.51,2025-07-08,59024585,613.84
617.19,617.84,614.08,735000,615.92,2025-07-09,66113326,616.09
618.93,619.97,616.15,648814,617.33,2025-07-10,57527933,618.48
616.76,617.98,614.69,748955,615.89,2025-07-11,63670226,616.94
617.93,618.28,614.96,626509,616.3,2025-07-14,51898518,617.09
615.29,620.95,615.21,828422,620.61,2025-07-15,74317260,617.51
617.35,617.85,611.25,961751,616.88,2025-07-16,88964127,615.24
621.13,621.49,617.31,687864,617.53,2025-07-17,68885558,620.11
620.67,622.54,619.57,594577,622.37,2025-07-18,65621496,620.69
621.85,624.59,621.42,709907,621.85,2025-07-21,63374984,623.24
621.94,622.8,619.3,763949,622.18,2025-07-22,60046288,621.37
627.23,627.23,622.8,765762,624.6,2025-07-23,71015836,625.13
627.44,629.15,627.01,764249,627.62,2025-07-24,71307134,628.15
630.09,630.56,627.85,594273,628.1,2025-07-25,56865364,629.52
629.93,631.02,628.55,630214,630.46,2025-07-28,54917102,629.83
628.27,631.64,627.35,708687,631.32,2025-07-29,60556278,629.08
627.48,630.66,624.59,820273,628.92,2025-07-30,80413429,627.72
625.12,632.81,623.82,1017926,632.42,2025-07-31,103385246,628.34
614.88,619.45,612.47,1466043,619.41,2025-08-01,140103572,615.32
624.22,624.27,618.7,802217,618.78,2025-08-04,73218015,622.57
621.06,625.64,620.14,806967,624.84,2025-08-05,68051401,622.13
625.82,626.47,621.22,690531,622.13,2025-08-06,64357525,624.59
625.29,629.97,622.19,835614,629.24,2025-08-07,74205791,625.36
630.17,630.63,626.77,705058,627.08,2025-08-08,64051626,629.42
628.92,631.92,627.68,669920,630.44,2025-08-11,58742300,629.75
635.62,635.77,629.78,761232,631.27,2025-08-12,64821798,633.67
637.79,639.08,635.61,672682,637.81,2025-08-13,60092790,637.18
637.85,638.51,635.27,682668,635.72,2025-08-14,59327466,637.22
636.36,638.98,635.44,637298,638.88,2025-08-15,68592507,636.9
636.22,636.91,635.11,583828,635.78,2025-08-18,43804914,636.08
632.77,637.02,631.45,769488,636.04,2025-08-19,69750731,633.64
631.09,632.62,625.98,1033790,632.36,2025-08-20,88890298,629.51
628.56,630.95,626.83,617474,629.28,2025-08-21,54805775,628.85
638.21,639.38,630.24,924994,630.74,2025-08-22,84083214,637.32
635.4,638.19,635.28,657583,636.95,2025-08-25,51274332,636.96
638.06,638.41,634.51,575104,635.13,2025-08-26,51581565,636.48
639.51,640.25,637.33,514537,637.48,2025-08-27,48341069,639.21
641.78,642.33,638.24,595301,640.12,2025-08-28,61519461,640.71
637.95,640.71,636.06,747542,640.34,2025-08-29,74423178,637.64
633.22,633.44,627.93,903028,630.48,2025-09-02,81983545,631.03
636.66,637.12,633.41,818583,635.6,2025-09-03,70820898,635.32
641.98,642.01,636.43,743467,637.33,2025-09-04,65219228,639.56
640.12,645.03,636.25,988454,644.31,2025-09-05,84304124,639.87
641.69,642.69,640.11,773415,641.48,2025-09-08,63130164,641.35
643.17,643.7,640.1,684357,641.83,2025-09-09,66133856,642.08
645.03,647.35,643.47,841963,646.43,2025-09-10,78034529,645.49
650.39,651.08,646.4,754957,646.98,2025-09-11,69895740,649.61
650.17,651.86,649.67,683140,650.36,2025-09-12,72780135,650.71
653.64,653.76,652.08,771637,652.38,2025-09-15,63772412,653.04
652.74,654.5,651.95,755515,654.19,2025-09-16,61168953,652.94
651.93,654.44,647.1,1070032,652.75,2025-09-17,101952244,651.63
654.97,657.57,653.0,951829,654.61,2025-09-18,90458735,655.53
658.22,659.06,654.91,842334,656.86,2025-09-19,97945620,657.18
661.33,661.78,656.7,795553,656.73,2025-09-22,69452201,659.93
657.73,661.83,656.51,896647,661.21,2025-09-23,81708872,658.94
655.64,659.12,654.22,807609,659.02,2025-09-24,68082229,656.13
652.61,653.96,649.0,935968,652.5,2025-09-25,89622067,651.91
656.35,656.9,652.44,769909,654.06,2025-09-26,69179209,655.16
658.2,659.78,656.39,763838,658.87,2025-09-29,73499015,658.04
660.67,661.14,656.14,772090,657.45,2025-09-30,86288028,658.64
662.93,663.84,657.58,974350,657.69,2025-10-01,72545369,661.37
663.69,665.02,661.27,743850,664.91,2025-10-02,56895993,663.32
663.68,667.12,662.64,895359,664.45,2025-10-03,70494350,664.93
666.06,666.95,663.92,873508,666.07,2025-10-06,54623260,665.77
663.59,667.43,662.15,947296,666.98,2025-10-07,72020067,664.07
