close,high,low,n,open,date,volume,vw
675.76,677.8,672.95,13256,673.76,2025-11-26,780390,676.16
679.46,679.74,676.67,12246,676.99,2025-11-28,698369,678.4
676.37,679.09,674.86,13304,674.95,2025-12-01,1011551,676.69
677.55,679.92,675.51,14060,677.93,2025-12-02,770220,677.99
679.91,680.99,675.86,13719,676.67,2025-12-03,808176,679.54
680.59,681.41,677.51,11978,681.39,2025-12-04,728020,679.63
681.71,684.45,680.68,12709,681.57,2025-12-05,901415,682.08
679.78,682.67,677.7,17663,682.54,2025-12-08,946326,679.53
679.13,681.46,678.72,21470,679.21,2025-12-09,1073483,679.84
683.66,685.03,677.43,27191,678.63,2025-12-10,1579236,681.52
685.22,685.3,678.41,21472,681.23,2025-12-11,1239671,683.14
677.91,684.93,675.3,22996,684.26,2025-12-12,1269024,678.71
676.83,681.83,675.4,22639,681.83,2025-12-15,1203309,677.39
674.98,677.15,671.16,29556,675.21,2025-12-16,1592313,674.56
667.6,676.5,667.37,18742,675.89,2025-12-17,1053974,669.96
672.65,676.81,671.06,28308,673.72,2025-12-18,1343555,673.97
678.63,679.2,674.6,27721,674.74,2025-12-19,1591366,678.24
682.81,683.4,680.82,16883,682.03,2025-12-22,1100367,682.6
686.0,686.28,681.99,15473,682.0,2025-12-23,910769,685.16
688.36,688.91,685.92,8796,686.01,2025-12-24,508573,687.96
688.35,689.7,687.43,6696,688.64,2025-12-26,475363,688.46
686.07,687.27,684.2,16756,685.66,2025-12-29,994838,685.78
685.03,686.64,684.68,15164,685.53,2025-12-30,1056176,685.61
679.93,685.45,679.83,18817,685.24,2025-12-31,1205920,682.09
681.44,684.97,678.0,15751,683.61,2026-01-02,1049269,681.26
685.82,687.52,684.48,18406,684.61,2026-01-05,1228667,686.06
689.89,690.38,685.89,25281,686.01,2026-01-06,1513700,688.9
687.73,692.03,687.44,22097,690.27,2026-01-07,1472466,689.63
687.53,688.68,685.59,22302,686.89,2026-01-08,1531855,687.41
692.08,693.37,687.3,23936,688.69,2026-01-09,1619127,691.72
693.26,694.14,688.77,22633,688.77,2026-01-12,1379119,692.61
691.79,694.15,689.48,22115,693.51,2026-01-13,1516329,691.43
