close,high,low,n,open,date,volume,vw
745.5,745.9,744.9238,1344,745.45,2026-05-22 04:00:00-04:00,7316,745.531816
745.39,746.05,744.77,1429,745.74,2026-05-22 04:01:00-04:00,58737,745.526017
745.71,745.74,745.62,39,745.62,2026-05-22 04:02:00-04:00,1532,745.713182
745.75,745.8,745.66,20,745.68,2026-05-22 04:03:00-04:00,690,745.736852
745.75,745.8,745.72,30,745.78,2026-05-22 04:04:00-04:00,1852,745.76225
745.74,745.74,745.685,16,745.69,2026-05-22 04:05:00-04:00,488,745.717823
745.44,745.78,745.16,56,745.55,2026-05-22 04:06:00-04:00,1534,745.53803
745.39,745.92,745.39,40,745.91,2026-05-22 04:07:00-04:00,1531,745.62047
745.54,745.54,745.48,35,745.48,2026-05-22 04:08:00-04:00,996,745.508574
745.5,745.55,745.5,15,745.55,2026-05-22 04:09:00-04:00,222,745.516667
745.55,745.57,745.47,20,745.47,2026-05-22 04:11:00-04:00,1141,745.527389
745.57,745.63,745.57,16,745.6,2026-05-22 04:12:00-04:00,1718,745.601515
745.6,745.61,745.59,9,745.59,2026-05-22 04:13:00-04:00,269,745.60178
745.51,745.51,745.51,4,745.51,2026-05-22 04:14:00-04:00,91,745.51
745.91,746.05,745.61,79,745.61,2026-05-22 04:15:00-04:00,3338,745.772234
746.0,746.0,746.0,16,746.0,2026-05-22 04:16:00-04:00,179,746.0
746.14,746.14,746.0,27,746.0,2026-05-22 04:17:00-04:00,1211,746.045856
746.3,746.34,746.165,71,746.165,2026-05-22 04:18:00-04:00,3724,746.254875
746.12,746.29,746.12,29,746.28,2026-05-22 04:19:00-04:00,1756,746.235394
746.6,746.6,746.15,46,746.16,2026-05-22 04:20:00-04:00,2497,746.446653
746.14,746.6,746.14,24,746.6,2026-05-22 04:21:00-04:00,1329,746.551787
745.93,746.06,745.93,17,746.05,2026-05-22 04:22:00-04:00,429,746.022573
746.05,746.05,746.0,18,746.0,2026-05-22 04:23:00-04:00,646,746.013383
746.05,746.1,746.0,22,746.1,2026-05-22 04:24:00-04:00,942,746.0426
746.03,746.05,745.98,24,746.0,2026-05-22 04:25:00-04:00,647,746.031556
745.9,746.01,745.9,22,745.9964,2026-05-22 04:26:00-04:00,2916,745.947273
745.9,745.93,745.9,6,745.93,2026-05-22 04:27:00-04:00,268,745.912397
745.91,745.91,745.91,6,745.91,2026-05-22 04:28:00-04:00,124,745.91
745.92,745.93,745.87,11,745.9,2026-05-22 04:29:00-04:00,769,745.884286
745.91,746.0,745.91,12,745.97,2026-05-22 04:30:00-04:00,449,745.975143
745.89,745.92,745.89,21,745.92,2026-05-22 04:31:00-04:00,713,745.895616
745.95,745.95,745.95,15,745.95,2026-05-22 04:32:00-04:00,374,745.95
745.87,745.89,745.87,13,745.89,2026-05-22 04:33:00-04:00,607,745.874211
745.3,745.87,745.09,151,745.83,2026-05-22 04:34:00-04:00,7349,745.320982
745.14,745.39,745.0,93,745.3,2026-05-22 04:35:00-04:00,10850,745.032374
745.14,745.14,745.14,12,745.14,2026-05-22 04:36:00-04:00,299,745.14
745.46,745.46,745.46,12,745.46,2026-05-22 04:37:00-04:00,272,745.46
745.67,745.78,745.53,88,745.53,2026-05-22 04:38:00-04:00,6610,745.626668
745.63,745.64,745.63,13,745.64,2026-05-22 04:39:00-04:00,358,745.638333
745.61,745.61,745.45,12,745.53,2026-05-22 04:40:00-04:00,392,745.544667
745.6,745.65,745.6,19,745.65,2026-05-22 04:41:00-04:00,633,745.622471
745.56,745.56,745.55,6,745.55,2026-05-22 04:42:00-04:00,568,745.558729
745.64,745.64,745.56,17,745.56,2026-05-22 04:43:00-04:00,639,745.610133
745.51,745.65,745.51,23,745.65,2026-05-22 04:44:00-04:00,1030,745.637852
745.62,745.62,745.62,6,745.62,2026-05-22 04:45:00-04:00,73,745.62
745.7,745.7,745.7,3,745.7,2026-05-22 04:46:00-04:00,51,745.7
745.68,745.68,745.68,9,745.68,2026-05-22 04:47:00-04:00,388,745.68
745.58,745.69,745.56,13,745.69,2026-05-22 04:48:00-04:00,274,745.596168
745.58,745.58,745.57,7,745.57,2026-05-22 04:49:00-04:00,109,745.575789
745.65,745.65,745.5,10,745.5,2026-05-22 04:50:00-04:00,325,745.565296
745.5744,745.62,745.5744,9,745.62,2026-05-22 04:51:00-04:00,277,745.595533
745.71,745.76,745.52,34,745.52,2026-05-22 04:52:00-04:00,1862,745.624557
745.62,745.8,745.62,59,745.76,2026-05-22 04:53:00-04:00,4070,745.698427
745.73,745.73,745.73,13,745.73,2026-05-22 04:54:00-04:00,124,745.73
745.5,745.62,745.48,27,745.62,2026-05-22 04:55:00-04:00,1261,745.514569
745.46,745.55,745.45,29,745.49,2026-05-22 04:56:00-04:00,6092,745.475042
745.33,745.47,745.3,111,745.46,2026-05-22 04:57:00-04:00,19742,745.450275
745.1972,745.31,745.1972,22,745.31,2026-05-22 04:58:00-04:00,935,745.274703
745.1,745.21,745.07,22,745.18,2026-05-22 04:59:00-04:00,714,745.110581
744.91,745.11,744.89,45,745.06,2026-05-22 05:00:00-04:00,3077,744.9231
744.85,744.96,744.85,37,744.91,2026-05-22 05:01:00-04:00,912,744.911017
744.68,744.8,744.67,33,744.77,2026-05-22 05:02:00-04:00,1083,744.713587
744.77,744.78,744.77,14,744.7799,2026-05-22 05:03:00-04:00,322,744.778292
744.73,744.79,744.73,11,744.75,2026-05-22 05:04:00-04:00,259,744.745708
744.69,744.73,744.56,33,744.73,2026-05-22 05:05:00-04:00,1450,744.626303
744.55,744.62,744.55,9,744.62,2026-05-22 05:06:00-04:00,154,744.585
744.21,744.5,744.2,45,744.5,2026-05-22 05:07:00-04:00,1074,744.286196
744.21,744.3,744.21,21,744.23,2026-05-22 05:08:00-04:00,669,744.244936
744.4,744.4,744.23,13,744.25,2026-05-22 05:09:00-04:00,381,744.293829
744.44,744.44,744.44,6,744.44,2026-05-22 05:10:00-04:00,106,744.44
744.481,744.481,744.481,2,744.481,2026-05-22 05:11:00-04:00,102,744.481
744.35,744.49,744.35,15,744.49,2026-05-22 05:12:00-04:00,417,744.416481
744.35,744.35,744.35,7,744.35,2026-05-22 05:13:00-04:00,97,744.35
744.25,744.33,744.25,12,744.31,2026-05-22 05:14:00-04:00,412,744.275312
744.32,744.36,744.21,16,744.21,2026-05-22 05:15:00-04:00,609,744.314705
744.31,744.32,744.3,9,744.31,2026-05-22 05:16:00-04:00,254,744.311579
744.29,744.29,744.29,8,744.29,2026-05-22 05:17:00-04:00,148,744.29
744.45,744.46,744.27,17,744.27,2026-05-22 05:18:00-04:00,365,744.361154
744.49,744.49,744.49,9,744.49,2026-05-22 05:19:00-04:00,110,744.49
744.5,744.53,744.5,9,744.53,2026-05-22 05:20:00-04:00,142,744.513953
744.5691,744.585,744.56,10,744.56,2026-05-22 05:21:00-04:00,478,744.573457
744.59,744.59,744.59,6,744.59,2026-05-22 05:22:00-04:00,64,744.59
744.49,744.49,744.46,6,744.46,2026-05-22 05:23:00-04:00,245,744.470667
744.26,744.41,744.26,23,744.41,2026-05-22 05:25:00-04:00,695,744.364362
744.1,744.2,744.1,14,744.2,2026-05-22 05:26:00-04:00,570,744.133608
744.19,744.19,744.19,5,744.19,2026-05-22 05:27:00-04:00,52,744.19
744.11,744.2,744.11,13,744.2,2026-05-22 05:28:00-04:00,382,744.157081
744.11,744.14,744.11,5,744.14,2026-05-22 05:29:00-04:00,177,744.121194
744.03,744.05,743.94,48,744.04,2026-05-22 05:31:00-04:00,1544,743.993886
744.02,744.06,743.9983,13,744.06,2026-05-22 05:32:00-04:00,355,744.018844
744.01,744.01,743.88,21,743.95,2026-05-22 05:33:00-04:00,369,743.938692
744.35,744.35,744.16,17,744.16,2026-05-22 05:34:00-04:00,576,744.26988
744.39,744.39,744.39,8,744.39,2026-05-22 05:36:00-04:00,106,744.39
744.71,744.71,744.59,11,744.59,2026-05-22 05:37:00-04:00,162,744.628571
