close,high,low,n,open,date,volume,vw
165.31,172.29,154.47,13463245,171.09,2016-01-01,3818765955,163.068656
165.0,167.84,154.53,11420093,164.3,2016-02-01,2982147551,161.827129
175.38,179.67,165.94,8659580,166.41,2016-03-01,2415841893,172.167362
176.07,179.99,173.31,6822081,174.38,2016-04-01,1986942161,176.655754
179.07,179.79,173.04,6744944,176.58,2016-05-01,1894022838,176.151497
179.69,181.36,170.4,9636064,178.45,2016-06-01,2703991578,177.261628
186.24,186.6,177.62,5588594,179.59,2016-07-01,1693044388,183.560628
186.47,188.37,183.78,5184784,186.3,2016-08-01,1571115043,186.801798
186.52,188.05,182.12,7447176,186.46,2016-09-01,2359407021,185.143286
183.25,186.82,182.09,5868566,186.06,2016-10-01,1782358935,184.542385
190.0,191.24,179.65,7387902,183.57,2016-11-01,2134204361,186.017463
193.84,196.86,188.94,5392522,190.3,2016-12-01,1919353418,194.104833
197.3,199.21,194.15,4691815,195.16,2017-01-01,1533313168,196.703043
205.1,205.8,196.7,4150871,197.95,2017-02-01,1414979975,201.921393
205.27,208.41,201.73,5777378,206.73,2017-03-01,1996051700,205.452345
207.4,208.63,202.51,4811261,205.38,2017-04-01,1609499065,205.238437
210.27,210.85,205.06,4675045,207.89,2017-05-01,1539467055,208.265634
211.62,214.2,210.02,5079809,210.74,2017-06-01,1621773626,212.310026
216.0,217.06,210.35,3360518,212.58,2017-07-01,1106049483,214.347391
216.44,217.85,203.34,5098306,216.58,2017-08-01,1615806691,214.829933
220.91,221.05,214.39,3657299,216.99,2017-09-01,1337922824,218.317296
226.16,226.83,221.03,3730858,221.2,2017-10-01,1366282134,224.481855
232.97,234.01,224.85,4272011,226.97,2017-11-01,1408110281,228.133298
235.99,237.46,229.36,4673996,232.88,2017-12-01,1763260842,234.403493
249.23,253.4,236.4,5403274,236.79,2018-01-01,2066163625,246.435508
239.95,250.25,223.6,11301996,248.49,2018-02-01,2999698317,237.868221
233.82,247.9,228.85,8334535,239.95,2018-03-01,2389028851,238.10005
234.8,240.81,226.05,7178284,233.04,2018-04-01,2043975365,234.23274
240.37,243.43,229.94,6000283,234.24,2018-05-01,1650532918,238.963203
240.84,248.07,238.31,5934159,241.79,2018-06-01,1639099995,243.853055
249.59,252.41,238.98,4988353,239.22,2018-07-01,1297153460,247.438446
257.65,258.95,247.79,5142823,249.92,2018-08-01,1334842859,253.3206
259.08,261.44,254.49,4735622,257.26,2018-09-01,1259153969,257.956569
241.35,261.43,231.69,15066551,260.45,2018-10-01,3071481245,246.177426
245.81,250.74,234.56,9318073,242.17,2018-11-01,2063141185,242.50447
224.28,250.01,209.64,15770764,249.91,2018-12-01,3152820288,228.347916
241.98,242.57,218.53,9137407,220.6,2019-01-01,2089770263,232.298864
249.9,252.29,240.2,5928125,242.28,2019-02-01,1402032112,246.472698
254.43,256.89,244.32,7377610,251.51,2019-03-01,1717948311,251.617611
264.71,265.24,256.18,4881977,256.45,2019-04-01,1233717130,260.685456
248.05,265.69,247.93,8784363,265.48,2019-05-01,1890716957,256.901756
265.3,267.5,246.0,5825764,248.0,2019-06-01,1377084745,260.087625
269.2,273.57,266.42,4989521,268.55,2019-07-01,1167526664,270.329577
264.72,272.34,255.0,10048356,269.38,2019-08-01,2077353716,261.803558
269.89,273.93,261.84,6427649,263.01,2019-09-01,1353328819,270.085334
275.83,276.94,259.0,7094493,270.75,2019-10-01,1443505848,269.048328
285.83,286.88,277.11,4326022,277.28,2019-11-01,1059589414,281.787995
294.11,295.89,279.29,5114387,286.07,2019-12-01,1332593062,288.791887
294.02,304.26,292.75,6756208,295.66,2020-01-01,1438626208,298.573336
270.71,309.86,260.93,12801010,295.48,2020-02-01,2148321021,290.279025
236.56,286.79,200.62,47895195,272.51,2020-03-01,5983080413,240.093601
267.14,271.05,224.19,17127535,227.94,2020-04-01,2851721459,251.291543
279.88,282.04,250.93,10290968,262.25,2020-05-01,1932013872,267.705571
285.22,297.27,272.76,12658052,279.08,2020-06-01,2385862967,284.660426
301.34,302.11,285.34,8474378,285.81,2020-07-01,1525784119,294.821167
322.97,324.33,302.57,5976034,303.12,2020-08-01,1065937830,312.749794
309.89,331.21,296.43,10057238,323.33,2020-09-01,1851260902,311.032191
302.82,328.15,299.03,9557129,313.02,2020-10-01,1657847379,314.751209
335.74,337.75,303.33,8597222,306.07,2020-11-01,1565508080,327.520416
348.38,352.3,336.72,6642052,338.86,2020-12-01,1383339420,342.223077
344.56,359.18,339.6,7691914,349.37,2021-01-01,1431324377,351.128238
353.74,366.93,344.78,7752639,347.89,2021-02-01,1333938518,359.718951
370.14,371.7,346.18,14636192,358.94,2021-03-01,2451640819,362.721344
389.73,392.92,371.87,8061851,372.08,2021-04-01,1478157128,385.390887
392.43,394.88,377.31,9977776,391.72,2021-05-01,1571441734,387.599484
401.09,401.76,388.57,8042355,394.65,2021-06-01,1311818178,395.103974
410.88,413.96,395.38,8953094,401.84,2021-07-01,1449146145,406.241894
423.11,424.52,408.62,7876932,412.59,2021-08-01,1281342390,416.088501
403.39,425.44,403.05,11924916,424.04,2021-09-01,1771589086,414.613064
431.69,431.98,400.77,10527685,405.12,2021-10-01,1535825640,415.183245
428.22,445.12,427.98,9854538,432.68,2021-11-01,1362980197,437.246936
448.03,451.84,421.98,14191326,433.94,2021-12-01,1965263433,436.690769
424.4,452.76,396.9,24228468,449.29,2022-01-01,2521619196,424.862847
411.87,432.14,387.36,20970363,425.12,2022-02-01,2338126686,415.692093
427.35,437.22,391.58,22153385,410.37,2022-03-01,2410328918,411.58406
389.85,433.21,389.1,15219375,428.93,2022-04-01,1884105184,412.832979
390.73,406.56,360.08,22355685,389.91,2022-05-01,2446853688,381.678743
358.51,394.99,344.18,14599868,392.85,2022-06-01,1992376230,366.885645
391.52,392.51,352.6,10855880,357.85,2022-07-01,1462139937,369.496469
375.55,410.28,375.41,10252287,388.82,2022-08-01,1468382812,393.92963
340.83,391.27,340.69,13554136,373.37,2022-09-01,2036264506,364.474646
368.53,371.69,332.17,13793942,344.55,2022-10-01,2067990285,353.812633
389.02,389.02,351.91,12021232,372.28,2022-11-01,1751783312,372.158845
366.6,391.7,359.26,12152605,390.06,2022-12-01,1734705747,373.80292
389.65,391.26,362.19,10808263,368.46,2023-01-01,1574900804,377.571979
379.86,400.99,377.34,11403650,388.44,2023-02-01,1602933748,389.628215
393.94,394.24,364.89,18492951,379.04,2023-03-01,2516226460,379.073652
400.23,400.24,388.54,10072960,393.42,2023-04-01,1395599453,395.028071
402.08,406.63,388.5,12954284,399.79,2023-05-01,1781458946,398.144269
428.14,429.12,401.06,12049110,402.31,2023-06-01,1751943587,417.897183
442.15,443.74,422.13,9481252,427.79,2023-07-01,1374482655,434.284102
434.96,441.63,418.22,12289143,440.68,2023-08-01,1757316998,429.60591
414.33,438.17,409.3,10703140,437.69,2023-09-01,1589455961,424.597676
405.34,424.66,396.62,14396248,413.5,2023-10-01,1999352317,412.146123
442.36,444.22,405.77,10625022,406.31,2023-11-01,1500345293,429.626669
462.56,464.74,440.34,10405014,441.75,2023-12-01,1644457511,453.541076
469.93,478.43,453.92,11444098,459.49,2024-01-01,1700467173,465.280943
494.45,496.44,470.82,10501089,471.63,2024-02-01,1393523106,485.39592
510.62,512.12,491.36,10998850,495.33,2024-03-01,1474556175,502.224372
490.03,511.9,482.1,13405768,511.36,2024-04-01,1593191488,497.427971
514.82,520.38,487.66,9384133,489.45,2024-05-01,1153554057,508.105797
532.98,538.91,510.16,7206259,516.43,2024-06-01,888703716,527.973401
539.43,553.49,526.35,8875961,534.36,2024-07-01,1038489736,540.31444
552.04,552.55,499.73,11020334,541.16,2024-08-01,1244598926,530.597294
563.63,564.57,528.3,9511932,548.89,2024-09-01,1045159530,548.719137
558.6,575.77,555.29,9347479,563.28,2024-10-01,976134821,566.397367
591.91,592.7,557.87,8153583,561.24,2024-11-01,901713650,580.630587
577.67,598.32,572.58,8707117,592.33,2024-12-01,1059636545,587.960574
593.19,602.02,567.1,9472819,580.93,2025-01-01,996605958,586.117766
585.66,604.43,574.08,9571250,584.17,2025-02-01,870327109,591.403222
553.02,588.77,540.65,14496911,587.63,2025-03-01,1496983840,559.368943
548.23,560.96,476.32,21560334,551.11,2025-04-01,2236956757,520.55937
582.68,588.76,549.71,14431617,553.99,2025-05-01,1402418469,574.413816
612.62,613.98,578.4,15235727,581.07,2025-06-01,1495549749,595.407535
626.73,634.44,610.31,16057011,611.15,2025-07-01,1480325287,622.133168
639.59,643.99,614.05,15749871,621.0,2025-08-01,1424039328,632.205433
662.38,663.53,629.55,17324325,632.11,2025-09-01,1605431804,651.664996
678.17,685.76,649.11,22494972,659.38,2025-10-01,1781451455,666.808511
679.49,681.88,647.13,23818737,681.76,2025-11-01,1664668255,666.594409
680.03,689.74,667.36,21374142,674.93,2025-12-01,1656188793,679.54168
690.05,695.91,674.7,21747941,683.81,2026-01-01,1600363730,687.771083
684.09,695.21,68.81,23365080,687.67,2026-02-01,1615431528,685.102468
650.34,686.71,629.28,29586146,676.82,2026-03-01,2239631202,661.866805
718.66,719.79,645.11,14968568,653.9,2026-04-01,1198027397,688.506693
745.64,749.53,714.99,10802060,721.25,2026-05-01,766554274,735.267282
