date,open,high,low,close,volume,vw,n,session
2022-01-03T04:00:00-05:00,449.37,449.88,449.37,449.64,7790,449.66,68,pre
2022-01-03T04:01:00-05:00,449.64,449.64,449.64,449.64,116,449.64,7,pre
2022-01-03T04:02:00-05:00,449.6,449.6,449.58,449.58,410,449.59,13,pre
2022-01-03T04:03:00-05:00,449.56,449.56,449.46,449.54,708,449.52,17,pre
2022-01-03T04:04:00-05:00,449.48,449.54,449.48,449.54,402,449.51,10,pre
2022-01-03T04:06:00-05:00,449.46,449.47,449.46,449.47,994,449.46,21,pre
2022-01-03T04:07:00-05:00,449.44,449.45,449.44,449.45,326,449.45,4,pre
2022-01-03T04:08:00-05:00,449.42,449.42,449.42,449.42,458,449.42,12,pre
2022-01-03T04:11:00-05:00,449.59,449.6,449.56,449.6,1151,449.59,13,pre
2022-01-03T04:12:00-05:00,449.62,449.66,449.6,449.64,1688,449.62,22,pre
2022-01-03T04:13:00-05:00,449.63,449.63,449.63,449.63,423,449.63,11,pre
2022-01-03T04:14:00-05:00,449.76,449.83,449.76,449.79,6505,449.79,34,pre
2022-01-03T04:15:00-05:00,449.8,449.8,449.8,449.8,601,449.8,14,pre
2022-01-03T04:16:00-05:00,449.75,449.75,449.75,449.75,489,449.75,10,pre
2022-01-03T04:17:00-05:00,449.57,449.6,449.57,449.6,429,449.58,14,pre
2022-01-03T04:18:00-05:00,449.51,449.51,449.51,449.51,224,449.51,6,pre
2022-01-03T04:20:00-05:00,449.62,449.62,449.59,449.59,473,449.61,8,pre
2022-01-03T04:21:00-05:00,449.6,449.6,449.6,449.6,176,449.6,5,pre
2022-01-03T04:24:00-05:00,449.72,449.78,449.72,449.78,388,449.76,8,pre
2022-01-03T04:26:00-05:00,449.8,449.8,449.8,449.8,207,449.8,8,pre
2022-01-03T04:27:00-05:00,449.81,449.81,449.81,449.81,149,449.81,8,pre
2022-01-03T04:28:00-05:00,449.73,449.73,449.73,449.73,116,449.73,5,pre
2022-01-03T04:30:00-05:00,449.77,449.77,449.71,449.71,770,449.74,11,pre
2022-01-03T04:31:00-05:00,449.75,449.78,449.75,449.78,10026,449.78,28,pre
2022-01-03T04:32:00-05:00,449.74,449.74,449.7,449.7,320,449.71,5,pre
2022-01-03T04:34:00-05:00,449.75,449.84,449.75,449.84,5073,449.81,23,pre
2022-01-03T04:35:00-05:00,449.83,449.83,449.83,449.83,236,449.83,7,pre
2022-01-03T04:37:00-05:00,449.8,449.8,449.8,449.8,211,449.8,5,pre
2022-01-03T04:38:00-05:00,449.78,449.78,449.78,449.78,108,449.78,4,pre
2022-01-03T04:39:00-05:00,449.73,449.73,449.73,449.73,308,449.73,11,pre
2022-01-03T04:40:00-05:00,449.74,449.76,449.74,449.76,1076,449.75,9,pre
2022-01-03T04:44:00-05:00,449.76,449.76,449.76,449.76,5112,449.76,21,pre
2022-01-03T04:45:00-05:00,449.76,449.76,449.76,449.76,322,449.76,10,pre
2022-01-03T04:46:00-05:00,449.74,449.74,449.74,449.74,101,449.74,2,pre
2022-01-03T04:48:00-05:00,449.76,449.76,449.75,449.75,503,449.76,7,pre
2022-01-03T04:50:00-05:00,449.92,449.92,449.92,449.92,1226,449.92,12,pre
2022-01-03T04:51:00-05:00,449.95,450.05,449.94,450.05,1678,449.96,21,pre
2022-01-03T04:52:00-05:00,450.08,450.08,450.08,450.08,301,450.08,15,pre
2022-01-03T04:54:00-05:00,450.07,450.08,450.07,450.08,557,450.07,10,pre
2022-01-03T04:55:00-05:00,450.05,450.05,450.0,450.01,5162,450.02,23,pre
2022-01-03T04:58:00-05:00,450.14,450.14,450.14,450.14,243,450.14,10,pre
2022-01-03T04:59:00-05:00,450.19,450.19,450.19,450.19,249,450.19,4,pre
2022-01-03T05:00:00-05:00,450.18,450.19,450.18,450.19,757,450.19,8,pre
2022-01-03T05:01:00-05:00,450.16,450.16,450.14,450.14,256,450.15,3,pre
2022-01-03T05:02:00-05:00,450.13,450.14,450.13,450.14,400,450.14,10,pre
2022-01-03T05:03:00-05:00,450.11,450.11,450.11,450.11,132,450.11,5,pre
2022-01-03T05:06:00-05:00,450.09,450.09,450.09,450.09,321,450.09,6,pre
2022-01-03T05:07:00-05:00,450.14,450.14,450.14,450.14,443,450.14,8,pre
2022-01-03T05:10:00-05:00,450.17,450.24,450.17,450.24,1159,450.19,11,pre
2022-01-03T05:11:00-05:00,450.23,450.23,450.2,450.2,322,450.21,11,pre
2022-01-03T05:12:00-05:00,450.28,450.29,450.28,450.28,2769,450.28,21,pre
2022-01-03T05:13:00-05:00,450.31,450.31,450.31,450.31,2513,450.31,17,pre
2022-01-03T05:14:00-05:00,450.31,450.33,450.31,450.33,5060,450.33,25,pre
2022-01-03T05:15:00-05:00,450.33,450.33,450.33,450.33,1132,450.33,16,pre
2022-01-03T05:16:00-05:00,450.38,450.39,450.35,450.35,617,450.37,10,pre
2022-01-03T05:18:00-05:00,450.32,450.32,450.32,450.32,483,450.32,4,pre
2022-01-03T05:19:00-05:00,450.3,450.3,450.3,450.3,104,450.3,4,pre
2022-01-03T05:20:00-05:00,450.34,450.36,450.34,450.36,443,450.34,4,pre
2022-01-03T05:22:00-05:00,450.4,450.49,450.4,450.49,2378,450.41,32,pre
2022-01-03T05:23:00-05:00,450.51,450.51,450.47,450.47,627,450.49,11,pre
2022-01-03T05:24:00-05:00,450.44,450.44,450.44,450.44,426,450.44,9,pre
2022-01-03T05:25:00-05:00,450.49,450.49,450.49,450.49,177,450.49,2,pre
2022-01-03T05:26:00-05:00,450.49,450.49,450.49,450.49,358,450.49,6,pre
2022-01-03T05:28:00-05:00,450.52,450.53,450.52,450.52,1341,450.53,8,pre
2022-01-03T05:29:00-05:00,450.52,450.52,450.52,450.52,1394,450.52,15,pre
2022-01-03T05:30:00-05:00,450.61,450.61,450.61,450.61,368,450.61,13,pre
2022-01-03T05:32:00-05:00,450.55,450.55,450.55,450.55,838,450.55,2,pre
2022-01-03T05:34:00-05:00,450.52,450.52,450.52,450.52,373,450.52,11,pre
2022-01-03T05:35:00-05:00,450.55,450.55,450.55,450.55,217,450.55,3,pre
2022-01-03T05:37:00-05:00,450.57,450.57,450.57,450.57,190,450.57,6,pre
2022-01-03T05:38:00-05:00,450.57,450.58,450.57,450.58,300,450.57,5,pre
2022-01-03T05:40:00-05:00,450.57,450.59,450.56,450.59,733,450.57,12,pre
2022-01-03T05:43:00-05:00,450.53,450.53,450.53,450.53,111,450.53,8,pre
2022-01-03T05:44:00-05:00,450.53,450.53,450.53,450.53,356,450.53,10,pre
2022-01-03T05:45:00-05:00,450.54,450.54,450.54,450.54,121,450.54,2,pre
2022-01-03T05:47:00-05:00,450.56,450.56,450.56,450.56,173,450.56,3,pre
2022-01-03T05:49:00-05:00,450.59,450.63,450.59,450.63,4050,450.61,26,pre
2022-01-03T05:50:00-05:00,450.58,450.58,450.58,450.58,545,450.58,7,pre
2022-01-03T05:51:00-05:00,450.55,450.55,450.55,450.55,395,450.55,14,pre
2022-01-03T05:59:00-05:00,450.64,450.67,450.64,450.67,4119,450.66,27,pre
2022-01-03T06:00:00-05:00,450.67,450.83,450.67,450.8,2896,450.77,30,pre
2022-01-03T06:01:00-05:00,450.82,450.82,450.81,450.81,744,450.82,15,pre
2022-01-03T06:02:00-05:00,450.75,450.75,450.71,450.71,576,450.73,9,pre
2022-01-03T06:03:00-05:00,450.71,450.8,450.71,450.8,430,450.73,5,pre
2022-01-03T06:05:00-05:00,450.84,450.84,450.84,450.84,1668,450.84,10,pre
2022-01-03T06:06:00-05:00,450.87,450.9,450.83,450.9,36288,450.89,83,pre
2022-01-03T06:07:00-05:00,450.86,450.86,450.86,450.86,241,450.86,7,pre
2022-01-03T06:09:00-05:00,450.9,450.9,450.9,450.9,1070,450.9,12,pre
2022-01-03T06:10:00-05:00,450.91,450.93,450.91,450.93,1320,450.91,6,pre
2022-01-03T06:11:00-05:00,450.91,450.91,450.91,450.91,981,450.91,11,pre
2022-01-03T06:12:00-05:00,450.89,450.89,450.87,450.88,354,450.88,9,pre
2022-01-03T06:13:00-05:00,450.87,450.87,450.87,450.87,239,450.87,4,pre
2022-01-03T06:15:00-05:00,450.88,450.88,450.88,450.88,703,450.88,6,pre
2022-01-03T06:16:00-05:00,450.88,450.89,450.87,450.87,1773,450.88,13,pre
2022-01-03T06:20:00-05:00,450.93,450.95,450.91,450.91,2484,450.94,32,pre
2022-01-03T06:21:00-05:00,450.95,450.95,450.95,450.95,264,450.95,4,pre
2022-01-03T06:25:00-05:00,450.97,450.98,450.97,450.98,1199,450.97,13,pre
2022-01-03T06:26:00-05:00,450.91,450.91,450.87,450.87,9809,450.87,51,pre
2022-01-03T06:28:00-05:00,450.74,450.74,450.74,450.74,140,450.74,9,pre
2022-01-03T06:29:00-05:00,450.79,450.79,450.79,450.79,585,450.79,11,pre
2022-01-03T06:30:00-05:00,450.84,450.84,450.84,450.84,314,450.84,4,pre
