date,buy_vol,sell_vol,cvd,large_buy_vol,large_sell_vol,large_cvd,trade_count,clean_trade_count
2026-01-02 09:30:00-05:00,418142,500358,-82216,8310,48650,-40340,20399,12141
2026-01-02 09:31:00-05:00,199797,229924,-30127,4030,14992,-10962,6105,6094
2026-01-02 09:32:00-05:00,221724,214140,7584,0,8058,-8058,6675,6665
2026-01-02 09:33:00-05:00,189292,190560,-1268,21060,7621,13439,6378,6359
2026-01-02 09:34:00-05:00,168853,161163,7690,10960,15025,-4065,5097,5032
2026-01-02 09:35:00-05:00,313362,185579,127783,171912,6019,165893,5638,5605
2026-01-02 09:36:00-05:00,131241,127039,4202,6615,6732,-117,4624,4614
2026-01-02 09:37:00-05:00,142210,248088,-105878,1500,87974,-86474,4799,4788
2026-01-02 09:38:00-05:00,168370,172845,-4475,0,0,0,5109,5092
2026-01-02 09:39:00-05:00,112466,117559,-5093,7000,2000,5000,4067,4041
2026-01-02 09:40:00-05:00,152077,158770,-6693,2440,8460,-6020,5458,5388
2026-01-02 09:41:00-05:00,145895,143055,2840,11346,15123,-3777,4448,4367
2026-01-02 09:42:00-05:00,136830,144068,-7238,0,8526,-8526,4592,4551
2026-01-02 09:43:00-05:00,149903,114429,35474,4262,0,4262,4514,4413
2026-01-02 09:44:00-05:00,87319,73613,13706,0,1500,-1500,3213,3179
2026-01-02 09:45:00-05:00,150513,148470,2043,7355,4000,3355,4974,4937
2026-01-02 09:46:00-05:00,149918,138314,11604,6083,4991,1092,5034,5010
2026-01-02 09:47:00-05:00,291295,217422,73873,20971,8314,12657,6872,6835
2026-01-02 09:48:00-05:00,204302,202324,1978,3669,5660,-1991,6334,6262
2026-01-02 09:49:00-05:00,168317,218436,-50119,3296,1940,1356,6105,6049
2026-01-02 09:50:00-05:00,280440,211376,69064,13800,8467,5333,7529,7423
2026-01-02 09:51:00-05:00,120158,136245,-16087,1853,4740,-2887,4295,4248
2026-01-02 09:52:00-05:00,117322,116944,378,12818,9730,3088,3917,3898
2026-01-02 09:53:00-05:00,125762,107830,17932,11276,9000,2276,3981,3953
2026-01-02 09:54:00-05:00,81573,93904,-12331,0,5717,-5717,3224,3196
2026-01-02 09:55:00-05:00,102385,115114,-12729,3286,14241,-10955,3562,3540
2026-01-02 09:56:00-05:00,128301,93697,34604,39776,18578,21198,3139,3111
2026-01-02 09:57:00-05:00,111899,96801,15098,4430,0,4430,3600,3572
2026-01-02 09:58:00-05:00,63277,87805,-24528,0,1773,-1773,2816,2784
2026-01-02 09:59:00-05:00,36399,50210,-13811,4000,0,4000,1867,1840
2026-01-02 10:00:00-05:00,145835,135511,10324,0,1680,-1680,4980,4959
2026-01-02 10:01:00-05:00,178796,151720,27076,10177,8230,1947,5317,5247
2026-01-02 10:02:00-05:00,142692,121598,21094,9917,1687,8230,4462,4438
2026-01-02 10:03:00-05:00,126932,93234,33698,13630,2998,10632,3498,3448
2026-01-02 10:04:00-05:00,109247,113456,-4209,0,3993,-3993,3966,3948
2026-01-02 10:05:00-05:00,64819,79291,-14472,0,0,0,4248,4205
2026-01-02 10:06:00-05:00,105527,97979,7548,5682,0,5682,10007,9969
2026-01-02 10:07:00-05:00,82372,91131,-8759,7000,6680,320,9356,9321
2026-01-02 10:08:00-05:00,113712,122831,-9119,2000,7954,-5954,4371,4332
2026-01-02 10:09:00-05:00,114063,125017,-10954,7687,1704,5983,3872,3851
2026-01-02 10:10:00-05:00,139127,127152,11975,3313,0,3313,4428,4408
2026-01-02 10:11:00-05:00,183104,220619,-37515,5207,18418,-13211,5818,5794
2026-01-02 10:12:00-05:00,149899,215148,-65249,2000,51628,-49628,5001,4978
2026-01-02 10:13:00-05:00,212356,193091,19265,2153,4220,-2067,6570,6545
2026-01-02 10:14:00-05:00,209993,175990,34003,2000,7160,-5160,6133,6113
2026-01-02 10:15:00-05:00,230542,210797,19745,9822,0,9822,7302,7267
2026-01-02 10:16:00-05:00,213433,169158,44275,14092,0,14092,5993,5964
2026-01-02 10:17:00-05:00,201387,705648,-504261,5000,546213,-541213,5823,5790
2026-01-02 10:18:00-05:00,147297,137060,10237,1900,0,1900,5380,5341
2026-01-02 10:19:00-05:00,138291,112208,26083,1480,7325,-5845,4452,4358
2026-01-02 10:20:00-05:00,171016,184159,-13143,1500,11579,-10079,6262,6125
2026-01-02 10:21:00-05:00,124804,137358,-12554,1912,7200,-5288,5121,4890
2026-01-02 10:22:00-05:00,230844,251534,-20690,4412,7432,-3020,8736,8607
2026-01-02 10:23:00-05:00,228727,215066,13661,27382,29625,-2243,6359,6280
2026-01-02 10:24:00-05:00,125472,120054,5418,6089,3300,2789,4408,4306
2026-01-02 10:25:00-05:00,336667,326441,10226,36023,4640,31383,10309,10243
2026-01-02 10:26:00-05:00,240888,228155,12733,19463,6480,12983,6506,6400
2026-01-02 10:27:00-05:00,249193,216590,32603,16870,17863,-993,6120,6010
2026-01-02 10:28:00-05:00,185732,139175,46557,5068,0,5068,4860,4816
2026-01-02 10:29:00-05:00,229980,149696,80284,3588,5854,-2266,5530,5496
2026-01-02 10:30:00-05:00,229017,207245,21772,9128,3543,5585,6209,6173
2026-01-02 10:31:00-05:00,72772,73848,-1076,0,2500,-2500,2957,2921
2026-01-02 10:32:00-05:00,163604,121377,42227,7019,11278,-4259,4325,4289
2026-01-02 10:33:00-05:00,135446,108580,26866,0,4085,-4085,3833,3784
2026-01-02 10:34:00-05:00,115057,98439,16618,13515,5579,7936,3349,3305
