close,high,low,n,open,date,volume,vw
503.87,506.86,502.6,66071,506.19,2026-05-26,3902191,504.29
505.5,507.32,504.43,72808,504.55,2026-05-27,4250979,505.69
505.67,506.83,502.27,65995,503.96,2026-05-28,3719113,504.94
509.39,509.91,505.82,87968,506.52,2026-05-29,5350085,508.55
510.05,510.46,506.95,77025,508.46,2026-06-01,4428921,508.55
512.65,513.09,507.54,81888,507.69,2026-06-02,5081196,510.82
506.88,511.45,506.61,64400,509.78,2026-06-03,4101272,508.72
515.29,516.17,511.28,112086,512.29,2026-06-04,6394164,514.24
508.31,516.34,507.37,105929,516.3,2026-06-05,6614798,512.09
507.52,512.36,506.94,84094,509.37,2026-06-08,4829235,509.01
508.02,512.14,501.71,115220,510.09,2026-06-09,6231327,507.33
498.89,507.36,498.74,101259,506.1,2026-06-10,5156849,502.69
507.97,509.37,500.2,102507,501.82,2026-06-11,6356512,504.25
511.66,513.9,508.09,110155,511.49,2026-06-12,8387883,511.03
517.03,519.42,516.46,125170,517.82,2026-06-15,5403609,517.99
520.02,521.88,518.64,75611,518.9,2026-06-16,4816070,520.42
514.89,522.74,513.9,110919,519.84,2026-06-17,6566858,519.44
515.52,519.52,515.43,79381,518.43,2026-06-18,6712562,516.882006
516.27,518.91,515.99,60165,516.84,2026-06-22,5729967,517.504356
