close,high,low,n,open,date,volume,vw
515.28,515.28,514.34,20,514.34,2026-06-22 04:01:00-04:00,1194,514.524299
515.0,515.0,515.0,11,515.0,2026-06-22 04:04:00-04:00,151,515.0
515.09,515.09,513.93,40,513.93,2026-06-22 04:05:00-04:00,1815,514.457705
515.55,515.57,515.13,26,515.13,2026-06-22 04:06:00-04:00,1225,515.414484
515.26,515.66,514.32,22,514.32,2026-06-22 04:07:00-04:00,787,515.145521
515.15,515.67,515.15,5,515.67,2026-06-22 04:08:00-04:00,141,515.39043
515.16,515.16,515.16,2,515.16,2026-06-22 04:11:00-04:00,100,515.16
515.1,515.1,515.09,51,515.09,2026-06-22 04:13:00-04:00,787,515.09801
515.24,515.24,515.24,1,515.24,2026-06-22 04:24:00-04:00,600,515.24
515.43,515.46,515.43,22,515.46,2026-06-22 04:53:00-04:00,410,515.445
515.43,515.43,515.43,1,515.43,2026-06-22 04:54:00-04:00,48,515.43
515.961,515.961,515.961,5,515.961,2026-06-22 05:11:00-04:00,115,515.961
516.09,516.09,516.08,3,516.08,2026-06-22 05:12:00-04:00,140,516.087143
516.02,516.02,516.02,1,516.02,2026-06-22 05:19:00-04:00,50,516.02
515.77,515.77,515.77,1,515.77,2026-06-22 05:33:00-04:00,50,515.77
515.6,515.62,515.6,40,515.61,2026-06-22 05:49:00-04:00,805,515.608241
515.54,515.54,515.54,2,515.54,2026-06-22 05:59:00-04:00,50,515.54
515.62,515.62,515.61,2,515.61,2026-06-22 06:02:00-04:00,200,515.615
515.9601,515.9601,515.96,3,515.96,2026-06-22 06:07:00-04:00,95,515.96005
515.95,515.95,515.95,1,515.95,2026-06-22 06:28:00-04:00,70,515.95
515.7736,515.7736,515.7736,2,515.7736,2026-06-22 06:35:00-04:00,500,515.7736
515.7049,515.7049,515.7049,4,515.7049,2026-06-22 06:38:00-04:00,412,515.7049
515.74,515.74,515.73,8,515.731,2026-06-22 07:00:00-04:00,211,515.733143
515.71,515.72,515.7039,10,515.7039,2026-06-22 07:01:00-04:00,425,515.710271
516.11,516.11,516.08,8,516.08,2026-06-22 07:04:00-04:00,491,516.107273
516.22,516.28,516.21,10,516.28,2026-06-22 07:05:00-04:00,332,516.237778
516.6,516.6,516.5,13,516.5,2026-06-22 07:06:00-04:00,473,516.55782
516.44,516.44,516.44,3,516.44,2026-06-22 07:07:00-04:00,103,516.44
515.805,515.805,515.805,6,515.805,2026-06-22 07:11:00-04:00,146,515.805
