close,high,low,n,open,date,volume,vw
79.77,79.78,79.63,47396,79.73,2026-05-26,30406548,79.71
79.72,79.8,79.67,38570,79.76,2026-05-27,22525838,79.74
79.82,79.86,79.63,43892,79.67,2026-05-28,32001902,79.8
79.9,79.95,79.8,46762,79.85,2026-05-29,39149588,79.9
79.84,79.88,79.64,51798,79.79,2026-06-01,32671461,79.768766
79.9,79.9,79.79,35660,79.84,2026-06-02,25238044,79.863617
79.68,79.775,79.63,48192,79.75,2026-06-03,28203740,79.69305
79.83,79.85,79.75,31730,79.75,2026-06-04,22698220,79.807599
79.43,79.715,79.35,72009,79.7,2026-06-05,46036167,79.520015
79.54,79.65,79.48,46162,79.6,2026-06-08,25218186,79.546978
79.62,79.79,79.42,57779,79.62,2026-06-09,34602362,79.620179
79.47,79.64,79.445,41391,79.56,2026-06-10,30345474,79.539364
79.94,79.97,79.52,69471,79.57,2026-06-11,55089851,79.780845
79.94,79.995,79.8,47170,79.94,2026-06-12,29875133,79.917012
80.04,80.17,80.03,51118,80.14,2026-06-15,32019929,80.104666
80.03,80.11,79.96,39296,80.03,2026-06-16,24488937,80.04335
79.73,80.07,79.71,59068,79.99,2026-06-17,47185133,79.878294
80.01,80.07,79.92,59369,80.03,2026-06-18,40360488,79.988337
79.905,79.98,79.87,36411,79.94,2026-06-22,21274966,79.923207
