close,high,low,n,open,date,volume,vw
79.73,79.73,79.73,4,79.73,2026-06-22 04:00:00-04:00,193,79.73
79.93,79.93,79.9,4,79.9,2026-06-22 08:12:00-04:00,25100,79.90012
79.9,79.9,79.9,8,79.9,2026-06-22 08:13:00-04:00,14000,79.9
79.9,79.9,79.9,4,79.9,2026-06-22 08:14:00-04:00,1905,79.9
79.965,79.97,79.9,315,79.94,2026-06-22 09:30:00-04:00,156071,79.945861
79.955,79.965,79.95,521,79.965,2026-06-22 09:31:00-04:00,99193,79.953939
79.95,79.96,79.95,337,79.96,2026-06-22 09:32:00-04:00,137009,79.953658
79.945,79.955,79.94,198,79.955,2026-06-22 09:33:00-04:00,115586,79.945758
79.94,79.95,79.94,258,79.945,2026-06-22 09:34:00-04:00,149984,79.942853
79.945,79.95,79.94,149,79.94,2026-06-22 09:35:00-04:00,52901,79.947216
79.965,79.98,79.945,183,79.945,2026-06-22 09:36:00-04:00,309184,79.960446
79.965,79.97,79.96,41,79.965,2026-06-22 09:37:00-04:00,46487,79.963961
79.965,79.97,79.965,146,79.965,2026-06-22 09:38:00-04:00,70731,79.966447
79.965,79.97,79.96,94,79.965,2026-06-22 09:39:00-04:00,67636,79.964091
79.955,79.97,79.95,247,79.965,2026-06-22 09:40:00-04:00,132836,79.960901
79.935,79.96,79.93,156,79.955,2026-06-22 09:41:00-04:00,60694,79.945003
79.935,79.94,79.9301,75,79.935,2026-06-22 09:42:00-04:00,27933,79.938896
79.935,79.9397,79.93,43,79.935,2026-06-22 09:43:00-04:00,13888,79.935126
79.935,79.95,79.93,284,79.93,2026-06-22 09:44:00-04:00,205695,79.937745
79.945,79.945,79.935,241,79.935,2026-06-22 09:45:00-04:00,143868,79.94013
79.94,79.945,79.93,212,79.94,2026-06-22 09:46:00-04:00,140202,79.939852
79.95,79.95,79.94,125,79.945,2026-06-22 09:47:00-04:00,69723,79.946074
79.96,79.96,79.95,118,79.95,2026-06-22 09:48:00-04:00,30246,79.954678
79.96,79.96,79.95,66,79.96,2026-06-22 09:49:00-04:00,18229,79.958839
79.95,79.96,79.95,85,79.96,2026-06-22 09:50:00-04:00,159128,79.955245
79.945,79.96,79.945,99,79.95,2026-06-22 09:51:00-04:00,63375,79.949596
79.94,79.95,79.94,89,79.95,2026-06-22 09:52:00-04:00,36000,79.946754
79.945,79.945,79.94,23,79.94,2026-06-22 09:53:00-04:00,4248,79.944575
79.945,79.95,79.94,47,79.945,2026-06-22 09:54:00-04:00,19551,79.945695
79.93,79.95,79.93,90,79.945,2026-06-22 09:55:00-04:00,96982,79.938153
79.94,79.94,79.93,140,79.93,2026-06-22 09:56:00-04:00,64147,79.937058
79.948,79.95,79.935,107,79.94,2026-06-22 09:57:00-04:00,47528,79.943692
79.95,79.95,79.945,56,79.95,2026-06-22 09:58:00-04:00,29563,79.949518
79.95,79.95,79.945,49,79.95,2026-06-22 09:59:00-04:00,7635,79.948697
79.945,79.95,79.945,49,79.945,2026-06-22 10:00:00-04:00,12660,79.945041
79.945,79.95,79.94,86,79.945,2026-06-22 10:01:00-04:00,38147,79.944579
79.945,79.95,79.9431,29,79.9431,2026-06-22 10:02:00-04:00,15633,79.945054
79.945,79.945,79.94,112,79.945,2026-06-22 10:03:00-04:00,40850,79.944674
79.94,79.945,79.94,33,79.945,2026-06-22 10:04:00-04:00,1879,79.942426
79.945,79.95,79.94,31,79.95,2026-06-22 10:05:00-04:00,5371,79.945209
79.95,79.95,79.945,33,79.945,2026-06-22 10:06:00-04:00,4242,79.945341
79.95,79.96,79.9401,252,79.945,2026-06-22 10:07:00-04:00,192568,79.946607
79.97,79.97,79.95,172,79.95,2026-06-22 10:08:00-04:00,54767,79.960467
79.965,79.97,79.96,44,79.965,2026-06-22 10:09:00-04:00,13229,79.966514
79.97,79.97,79.96,38,79.97,2026-06-22 10:10:00-04:00,14093,79.967097
79.945,79.965,79.945,275,79.965,2026-06-22 10:11:00-04:00,87923,79.956533
79.96,79.96,79.95,60,79.95,2026-06-22 10:12:00-04:00,26086,79.951225
79.96,79.965,79.96,28,79.96,2026-06-22 10:13:00-04:00,7008,79.962966
79.96,79.965,79.96,21,79.965,2026-06-22 10:14:00-04:00,4183,79.964118
79.96,79.965,79.955,141,79.96,2026-06-22 10:15:00-04:00,63166,79.958816
79.955,79.96,79.955,73,79.955,2026-06-22 10:16:00-04:00,16998,79.955088
79.945,79.96,79.945,134,79.955,2026-06-22 10:17:00-04:00,29481,79.950018
79.945,79.95,79.94,110,79.945,2026-06-22 10:18:00-04:00,29875,79.943512
79.94,79.95,79.94,109,79.945,2026-06-22 10:19:00-04:00,20130,79.946069
79.945,79.95,79.94,52,79.95,2026-06-22 10:20:00-04:00,68256,79.944991
79.9501,79.96,79.94,90,79.9499,2026-06-22 10:21:00-04:00,42781,79.952474
79.955,79.9599,79.9501,29,79.955,2026-06-22 10:22:00-04:00,11351,79.955814
79.95,79.955,79.95,37,79.955,2026-06-22 10:23:00-04:00,14307,79.951274
79.9401,79.95,79.94,86,79.95,2026-06-22 10:24:00-04:00,25845,79.946058
79.94,79.945,79.935,133,79.94,2026-06-22 10:25:00-04:00,64156,79.937698
79.945,79.945,79.935,51,79.94,2026-06-22 10:26:00-04:00,14278,79.939927
79.935,79.945,79.93,107,79.945,2026-06-22 10:27:00-04:00,33143,79.936845
79.935,79.94,79.93,104,79.93,2026-06-22 10:28:00-04:00,33716,79.935063
79.935,79.94,79.935,23,79.94,2026-06-22 10:29:00-04:00,8667,79.936479
79.92,79.935,79.915,321,79.93,2026-06-22 10:30:00-04:00,168037,79.920918
79.925,79.93,79.925,69,79.925,2026-06-22 10:31:00-04:00,175074,79.928727
79.915,79.925,79.91,124,79.925,2026-06-22 10:32:00-04:00,71102,79.917281
79.92,79.93,79.91,161,79.915,2026-06-22 10:33:00-04:00,57081,79.920513
79.925,79.93,79.92,136,79.925,2026-06-22 10:34:00-04:00,70424,79.925014
79.935,79.94,79.925,137,79.925,2026-06-22 10:35:00-04:00,57470,79.930196
79.93,79.94,79.93,114,79.94,2026-06-22 10:36:00-04:00,47218,79.93097
79.925,79.93,79.92,100,79.93,2026-06-22 10:37:00-04:00,26178,79.924985
79.925,79.93,79.92,45,79.925,2026-06-22 10:38:00-04:00,12522,79.925503
79.925,79.93,79.92,65,79.92,2026-06-22 10:39:00-04:00,27149,79.928705
79.92,79.93,79.92,140,79.93,2026-06-22 10:40:00-04:00,106618,79.925037
79.93,79.93,79.92,141,79.925,2026-06-22 10:41:00-04:00,104101,79.926235
79.925,79.925,79.92,190,79.925,2026-06-22 10:42:00-04:00,113546,79.920318
79.915,79.9277,79.915,110,79.925,2026-06-22 10:43:00-04:00,56725,79.919643
79.91,79.92,79.91,170,79.915,2026-06-22 10:44:00-04:00,290701,79.917019
79.925,79.925,79.91,180,79.915,2026-06-22 10:45:00-04:00,115243,79.917608
79.935,79.935,79.925,252,79.925,2026-06-22 10:46:00-04:00,163870,79.929382
79.92,79.935,79.92,150,79.935,2026-06-22 10:47:00-04:00,143482,79.924986
79.92,79.92,79.92,40,79.92,2026-06-22 10:48:00-04:00,7699,79.92
79.925,79.9277,79.92,100,79.92,2026-06-22 10:49:00-04:00,107209,79.924409
79.935,79.94,79.92,464,79.92,2026-06-22 10:50:00-04:00,402810,79.929976
79.935,79.935,79.93,112,79.935,2026-06-22 10:51:00-04:00,51131,79.934153
79.935,79.94,79.93,84,79.935,2026-06-22 10:52:00-04:00,96958,79.935163
79.935,79.94,79.93,66,79.935,2026-06-22 10:53:00-04:00,19489,79.934765
79.92,79.935,79.92,103,79.935,2026-06-22 10:54:00-04:00,31305,79.928439
79.91,79.925,79.91,66,79.925,2026-06-22 10:55:00-04:00,14036,79.918876
79.92,79.92,79.9105,126,79.92,2026-06-22 10:56:00-04:00,39905,79.919652
79.925,79.93,79.92,142,79.92,2026-06-22 10:57:00-04:00,91291,79.926258
79.935,79.94,79.925,64,79.925,2026-06-22 10:58:00-04:00,23422,79.930738
79.935,79.94,79.93,47,79.935,2026-06-22 10:59:00-04:00,9111,79.933164
79.935,79.94,79.925,220,79.93,2026-06-22 11:00:00-04:00,122725,79.930893
79.945,79.945,79.935,85,79.94,2026-06-22 11:01:00-04:00,27310,79.939838
79.945,79.945,79.94,136,79.945,2026-06-22 11:02:00-04:00,29040,79.9414
79.94,79.945,79.94,68,79.94,2026-06-22 11:03:00-04:00,33015,79.943684
79.935,79.94,79.93,103,79.94,2026-06-22 11:04:00-04:00,41174,79.935315
79.92,79.935,79.92,91,79.935,2026-06-22 11:05:00-04:00,34105,79.927034
79.92,79.92,79.915,204,79.92,2026-06-22 11:06:00-04:00,68468,79.918667
79.92,79.9283,79.915,170,79.925,2026-06-22 11:07:00-04:00,62661,79.919884
79.92,79.92,79.915,118,79.92,2026-06-22 11:08:00-04:00,60385,79.918264
79.915,79.92,79.915,80,79.915,2026-06-22 11:09:00-04:00,30837,79.915172
79.915,79.92,79.91,102,79.915,2026-06-22 11:10:00-04:00,34315,79.915263
79.92,79.92,79.91,233,79.915,2026-06-22 11:11:00-04:00,256603,79.915274
79.91,79.92,79.91,273,79.915,2026-06-22 11:12:00-04:00,239231,79.915751
79.905,79.915,79.905,339,79.915,2026-06-22 11:13:00-04:00,355106,79.90916
79.91,79.91,79.905,69,79.91,2026-06-22 11:14:00-04:00,30592,79.906981
79.91,79.92,79.905,81,79.905,2026-06-22 11:15:00-04:00,42062,79.913583
79.915,79.915,79.91,58,79.915,2026-06-22 11:16:00-04:00,9487,79.914653
79.915,79.915,79.91,21,79.915,2026-06-22 11:17:00-04:00,7045,79.914267
79.925,79.925,79.91,323,79.91,2026-06-22 11:18:00-04:00,238200,79.921459
79.925,79.93,79.92,89,79.925,2026-06-22 11:19:00-04:00,525452,79.927699
79.925,79.93,79.92,244,79.925,2026-06-22 11:20:00-04:00,203554,79.92676
79.935,79.935,79.92,111,79.93,2026-06-22 11:21:00-04:00,30784,79.931443
79.93,79.94,79.93,68,79.935,2026-06-22 11:22:00-04:00,14076,79.935627
79.94,79.94,79.935,97,79.935,2026-06-22 11:23:00-04:00,27196,79.936921
79.945,79.95,79.94,146,79.94,2026-06-22 11:24:00-04:00,69666,79.942832
79.94,79.95,79.935,295,79.95,2026-06-22 11:25:00-04:00,139257,79.941317
79.945,79.945,79.93,89,79.94,2026-06-22 11:26:00-04:00,19415,79.93805
79.94,79.945,79.94,128,79.945,2026-06-22 11:27:00-04:00,43276,79.940062
79.935,79.94,79.935,138,79.94,2026-06-22 11:28:00-04:00,58454,79.936447
79.935,79.94,79.935,87,79.935,2026-06-22 11:29:00-04:00,23426,79.935424
79.935,79.94,79.93,60,79.935,2026-06-22 11:30:00-04:00,15210,79.935044
79.935,79.935,79.93,74,79.935,2026-06-22 11:31:00-04:00,18529,79.934345
79.935,79.94,79.93,65,79.9332,2026-06-22 11:32:00-04:00,16937,79.934942
79.945,79.95,79.93,177,79.93,2026-06-22 11:33:00-04:00,75238,79.941786
79.95,79.95,79.945,120,79.945,2026-06-22 11:34:00-04:00,50887,79.945564
79.945,79.95,79.94,97,79.95,2026-06-22 11:35:00-04:00,30592,79.945653
79.95,79.95,79.945,113,79.95,2026-06-22 11:36:00-04:00,31488,79.948491
79.945,79.95,79.945,60,79.95,2026-06-22 11:37:00-04:00,22345,79.947329
79.95,79.95,79.945,65,79.95,2026-06-22 11:38:00-04:00,19134,79.947491
79.945,79.95,79.945,68,79.95,2026-06-22 11:39:00-04:00,21735,79.947494
79.96,79.96,79.945,110,79.945,2026-06-22 11:40:00-04:00,41750,79.952919
79.965,79.97,79.955,119,79.955,2026-06-22 11:41:00-04:00,32313,79.958951
79.965,79.97,79.965,76,79.965,2026-06-22 11:42:00-04:00,17479,79.96647
79.965,79.97,79.965,56,79.965,2026-06-22 11:43:00-04:00,19390,79.966207
79.965,79.97,79.96,64,79.97,2026-06-22 11:44:00-04:00,16819,79.966682
79.9601,79.97,79.9601,66,79.965,2026-06-22 11:45:00-04:00,18745,79.966754
79.96,79.97,79.96,77,79.97,2026-06-22 11:46:00-04:00,15859,79.966457
79.96,79.97,79.96,48,79.965,2026-06-22 11:47:00-04:00,13779,79.961514
79.95,79.965,79.95,220,79.965,2026-06-22 11:48:00-04:00,129664,79.956579
79.925,79.95,79.925,261,79.95,2026-06-22 11:49:00-04:00,119829,79.93761
79.935,79.94,79.925,157,79.925,2026-06-22 11:50:00-04:00,73371,79.932352
79.94,79.945,79.94,111,79.94,2026-06-22 11:51:00-04:00,33931,79.940768
79.94,79.945,79.94,36,79.94,2026-06-22 11:52:00-04:00,8949,79.940402
79.945,79.945,79.94,41,79.94,2026-06-22 11:53:00-04:00,13541,79.940864
79.94,79.945,79.94,23,79.945,2026-06-22 11:54:00-04:00,5278,79.942433
79.945,79.945,79.94,31,79.94,2026-06-22 11:55:00-04:00,20150,79.940054
79.945,79.9499,79.94,69,79.94,2026-06-22 11:56:00-04:00,30095,79.942965
