close,high,low,n,open,date,volume,vw
93.96,94.03,93.81,24342,94.02,2026-05-26,5495649,93.92
94.0,94.16,93.98,21933,94.03,2026-05-27,5959907,94.05
94.22,94.35,93.97,21687,94.03,2026-05-28,5939169,94.19
94.33,94.42,94.21,22777,94.32,2026-05-29,9640560,94.32
94.17,94.2,93.805,26829,93.91,2026-06-01,8055054,94.009925
94.24,94.33,94.16,22229,94.33,2026-06-02,15427230,94.230814
94.0,94.1,93.905,23028,93.99,2026-06-03,7057279,93.992248
94.12,94.28,94.09,17939,94.2,2026-06-04,4418646,94.160873
93.62,93.79,93.59,29260,93.705,2026-06-05,9881875,93.670921
93.52,93.86,93.52,20694,93.8,2026-06-08,5353101,93.635
93.78,93.845,93.61,25467,93.71,2026-06-09,7946616,93.743996
93.69,93.8999,93.595,20732,93.82,2026-06-10,5805975,93.760706
94.34,94.38,93.75,26830,93.805,2026-06-11,11282525,94.139562
94.18,94.27,94.015,24387,94.16,2026-06-12,8864473,94.153123
94.28,94.47,94.26,20593,94.385,2026-06-15,4983096,94.357654
94.52,94.62,94.35,19788,94.375,2026-06-16,4675830,94.523899
94.02,94.58,94.01,29563,94.53,2026-06-17,11508910,94.326383
94.36,94.6,94.33,27827,94.43,2026-06-18,6833884,94.441172
94.01,94.13,93.97,17338,94.11,2026-06-22,3492756,94.044374
