close,high,low,n,open,date,volume,vw
94.12,94.12,94.12,8,94.12,2026-06-22 04:00:00-04:00,230,94.12
94.14,94.14,94.14,2,94.14,2026-06-22 06:07:00-04:00,258,94.14
94.1,94.1,94.1,2,94.1,2026-06-22 06:32:00-04:00,101,94.1
94.1298,94.1298,94.1298,1,94.1298,2026-06-22 07:23:00-04:00,100,94.1298
94.11,94.11,94.11,4,94.11,2026-06-22 07:30:00-04:00,210,94.11
94.11,94.11,94.11,10,94.11,2026-06-22 07:31:00-04:00,3790,94.11
94.135,94.135,94.13,2,94.13,2026-06-22 07:33:00-04:00,600,94.134167
94.135,94.135,94.13,11,94.135,2026-06-22 07:34:00-04:00,4300,94.132907
94.13,94.13,94.13,43,94.13,2026-06-22 07:35:00-04:00,3333,94.13
94.12,94.125,94.12,15,94.12,2026-06-22 07:36:00-04:00,1420,94.121799
94.13,94.13,94.13,11,94.13,2026-06-22 07:39:00-04:00,2913,94.13
94.135,94.135,94.13,6,94.13,2026-06-22 07:40:00-04:00,904,94.132778
94.13,94.135,94.13,14,94.13,2026-06-22 07:44:00-04:00,3631,94.131944
94.13,94.135,94.13,7,94.13,2026-06-22 07:45:00-04:00,2100,94.132381
94.13,94.135,94.13,21,94.13,2026-06-22 07:46:00-04:00,6818,94.132574
94.14,94.14,94.13,6,94.13,2026-06-22 07:47:00-04:00,1800,94.134444
94.135,94.135,94.13,4,94.13,2026-06-22 07:48:00-04:00,630,94.134167
94.12,94.12,94.12,3,94.12,2026-06-22 07:51:00-04:00,1000,94.12
94.12,94.13,94.12,3,94.13,2026-06-22 07:52:00-04:00,700,94.122843
94.12,94.12,94.12,1,94.12,2026-06-22 07:53:00-04:00,500,94.12
94.13,94.13,94.13,8,94.13,2026-06-22 07:55:00-04:00,3000,94.13
94.12,94.13,94.12,3,94.13,2026-06-22 07:56:00-04:00,300,94.126633
94.12,94.12,94.12,5,94.12,2026-06-22 07:58:00-04:00,902,94.12
94.13,94.13,94.13,5,94.13,2026-06-22 08:00:00-04:00,1002,94.13
94.11,94.11,94.11,4,94.11,2026-06-22 08:01:00-04:00,911,94.11
94.1,94.1,94.1,2,94.1,2026-06-22 08:02:00-04:00,103,94.1
94.09,94.09,94.09,8,94.09,2026-06-22 08:03:00-04:00,1924,94.09
94.09,94.09,94.09,3,94.09,2026-06-22 08:04:00-04:00,313,94.09
94.1,94.1,94.1,2,94.1,2026-06-22 08:08:00-04:00,550,94.1
94.08,94.08,94.08,6,94.08,2026-06-22 08:10:00-04:00,515,94.08
94.1,94.1,94.08,6,94.08,2026-06-22 08:11:00-04:00,1112,94.086364
94.1,94.1,94.1,2,94.1,2026-06-22 08:13:00-04:00,1000,94.1
94.09,94.09,94.09,6,94.09,2026-06-22 08:17:00-04:00,2200,94.09
94.11,94.11,94.1,2,94.1,2026-06-22 08:20:00-04:00,608,94.101645
94.16,94.16,94.16,1,94.16,2026-06-22 08:22:00-04:00,100,94.16
94.14,94.14,94.14,2,94.14,2026-06-22 08:30:00-04:00,520,94.14
94.13,94.13,94.13,1,94.13,2026-06-22 08:31:00-04:00,210,94.13
94.12,94.12,94.12,4,94.12,2026-06-22 08:42:00-04:00,2801,94.12
94.09,94.09,94.09,3,94.09,2026-06-22 08:58:00-04:00,551,94.09
