close,high,low,n,open,date,volume,vw
289.82,289.86,287.06,290420,287.71,2026-05-26,24508794,288.99
289.68,291.03,288.62,286008,290.47,2026-05-27,24521479,289.8
291.34,292.05,287.3,292635,288.95,2026-05-28,23712206,290.2
289.74,290.72,287.65,318684,290.69,2026-05-29,26962895,289.21
288.29,289.92,285.59,326556,287.69,2026-06-01,23828283,287.73
290.97,291.17,287.72,225405,287.78,2026-06-02,18380430,290.19
286.99,289.32,286.1,356452,289.3,2026-06-03,29168947,287.29
291.32,292.18,285.98,282493,286.88,2026-06-04,24309568,289.96
280.98,288.71,279.49,468201,288.41,2026-06-05,35815116,283.62
283.44,286.16,282.9,349672,284.83,2026-06-08,27279360,284.26
284.34,290.18,276.96,501183,286.5,2026-06-09,41718298,283.4
281.38,288.31,281.09,480149,283.91,2026-06-10,39286867,284.09
289.72,290.37,283.4,512305,283.77,2026-06-11,41470458,286.81
292.25,295.02,289.62,373368,290.94,2026-06-12,34604061,292.67
294.64,297.91,293.92,268271,296.56,2026-06-15,23891272,295.598528
292.08,296.8,291.58,260264,295.5,2026-06-16,23809419,293.906128
289.88,295.82,288.93,459785,292.47,2026-06-17,39921977,292.657917
295.59,295.97,291.42,284464,294.55,2026-06-18,32312724,294.209452
298.13,299.49,296.16,227277,297.13,2026-06-22,18498894,298.014128
