close,high,low,n,open,date,volume,vw
294.87,294.93,293.55,24,293.55,2026-06-22 04:00:00-04:00,345,294.313231
294.84,295.07,294.83,41,295.07,2026-06-22 04:01:00-04:00,1056,294.877432
294.71,294.83,294.71,12,294.83,2026-06-22 04:02:00-04:00,958,294.771133
294.71,294.72,294.71,9,294.72,2026-06-22 04:03:00-04:00,435,294.712516
293.5,294.71,293.35,49,294.65,2026-06-22 04:04:00-04:00,2272,293.902874
294.79,294.79,293.21,135,293.45,2026-06-22 04:05:00-04:00,5439,293.781156
294.99,295.25,293.36,151,294.47,2026-06-22 04:06:00-04:00,7887,294.691333
294.99,295.25,293.77,44,294.95,2026-06-22 04:07:00-04:00,2771,294.74659
295.0,295.13,294.68,12,294.98,2026-06-22 04:08:00-04:00,683,294.997089
294.71,294.75,294.71,5,294.75,2026-06-22 04:09:00-04:00,229,294.726164
294.68,294.71,294.63,21,294.7,2026-06-22 04:10:00-04:00,1239,294.678548
294.47,294.66,294.47,11,294.66,2026-06-22 04:11:00-04:00,318,294.610847
294.61,294.62,294.61,5,294.62,2026-06-22 04:12:00-04:00,184,294.613883
294.7,294.7,294.69,4,294.69,2026-06-22 04:13:00-04:00,279,294.698333
294.67,294.67,294.67,3,294.67,2026-06-22 04:14:00-04:00,152,294.67
294.77,294.77,294.68,6,294.7,2026-06-22 04:15:00-04:00,3432,294.683884
294.75,294.77,294.75,6,294.77,2026-06-22 04:16:00-04:00,228,294.76
294.64,294.64,294.64,5,294.64,2026-06-22 04:17:00-04:00,109,294.64
294.63,294.67,294.63,6,294.67,2026-06-22 04:18:00-04:00,220,294.638602
294.66,294.66,294.66,4,294.66,2026-06-22 04:20:00-04:00,100,294.66
294.78,294.78,294.78,6,294.78,2026-06-22 04:21:00-04:00,372,294.78
294.85,294.9,294.85,8,294.89,2026-06-22 04:22:00-04:00,463,294.882929
294.7,294.7,294.7,6,294.7,2026-06-22 04:23:00-04:00,154,294.7
294.75,294.75,294.75,2,294.75,2026-06-22 04:25:00-04:00,109,294.75
294.7,294.71,294.7,6,294.7,2026-06-22 04:26:00-04:00,214,294.704469
294.8,294.8,294.79,4,294.79,2026-06-22 04:27:00-04:00,246,294.798182
294.82,294.83,294.82,5,294.83,2026-06-22 04:28:00-04:00,186,294.826977
294.83,294.83,294.83,3,294.83,2026-06-22 04:29:00-04:00,166,294.83
294.83,294.83,294.83,2,294.83,2026-06-22 04:31:00-04:00,86,294.83
294.76,294.76,294.76,3,294.76,2026-06-22 04:36:00-04:00,96,294.76
294.92,294.92,294.81,6,294.81,2026-06-22 04:37:00-04:00,333,294.878242
294.83,294.88,294.82,6,294.88,2026-06-22 04:38:00-04:00,777,294.867597
294.7,294.7,294.7,1,294.7,2026-06-22 04:43:00-04:00,67,294.7
294.78,294.78,294.78,5,294.78,2026-06-22 04:45:00-04:00,116,294.78
294.75,294.8,294.75,9,294.8,2026-06-22 04:47:00-04:00,255,294.780769
294.76,294.76,294.76,4,294.76,2026-06-22 04:49:00-04:00,154,294.76
294.84,294.85,294.83,5,294.83,2026-06-22 04:52:00-04:00,226,294.844444
294.88,294.88,294.86,3,294.86,2026-06-22 04:53:00-04:00,273,294.865348
294.85,294.85,294.85,2,294.85,2026-06-22 04:54:00-04:00,100,294.85
294.93,294.93,294.93,3,294.93,2026-06-22 04:56:00-04:00,149,294.93
294.74,294.93,294.74,3,294.93,2026-06-22 05:00:00-04:00,165,294.804172
294.88,294.88,294.88,1,294.88,2026-06-22 05:01:00-04:00,89,294.88
294.92,294.92,294.92,27,294.92,2026-06-22 05:03:00-04:00,135,294.92
295.13,295.13,295.09,7,295.09,2026-06-22 05:05:00-04:00,208,295.099091
295.23,295.23,295.1,8,295.12,2026-06-22 05:06:00-04:00,580,295.132376
295.29,295.29,295.25,3,295.25,2026-06-22 05:09:00-04:00,179,295.273529
295.22,295.22,295.18,4,295.18,2026-06-22 05:11:00-04:00,191,295.198824
295.33,295.33,295.25,6,295.25,2026-06-22 05:12:00-04:00,252,295.282
295.32,295.32,295.31,5,295.31,2026-06-22 05:14:00-04:00,183,295.312222
295.27,295.27,295.27,1,295.27,2026-06-22 05:19:00-04:00,95,295.27
295.25,295.25,295.23,15,295.24,2026-06-22 05:21:00-04:00,3000,295.248624
295.26,295.26,295.26,3,295.26,2026-06-22 05:22:00-04:00,143,295.26
295.27,295.28,295.27,3,295.28,2026-06-22 05:24:00-04:00,145,295.272963
295.31,295.31,295.29,6,295.29,2026-06-22 05:25:00-04:00,320,295.30193
295.23,295.3,295.23,8,295.3,2026-06-22 05:27:00-04:00,1241,295.268376
295.26,295.26,295.22,7,295.22,2026-06-22 05:28:00-04:00,978,295.228372
295.28,295.28,295.25,10,295.25,2026-06-22 05:29:00-04:00,731,295.268045
295.27,295.27,295.27,7,295.27,2026-06-22 05:30:00-04:00,201,295.27
295.24,295.24,295.22,8,295.22,2026-06-22 05:31:00-04:00,527,295.226577
295.28,295.28,295.28,1,295.28,2026-06-22 05:32:00-04:00,40,295.28
295.37,295.38,295.37,5,295.38,2026-06-22 05:33:00-04:00,222,295.372857
295.15,295.15,295.15,5,295.15,2026-06-22 05:41:00-04:00,100,295.15
295.2,295.2,295.15,9,295.15,2026-06-22 05:42:00-04:00,527,295.180685
295.15,295.18,295.15,3,295.18,2026-06-22 05:43:00-04:00,1080,295.177778
295.14,295.21,295.14,6,295.21,2026-06-22 05:46:00-04:00,394,295.180504
295.15,295.17,295.14,17,295.16,2026-06-22 05:47:00-04:00,2000,295.148975
295.16,295.16,295.16,1,295.16,2026-06-22 05:49:00-04:00,80,295.16
295.1,295.11,295.1,4,295.11,2026-06-22 05:50:00-04:00,1102,295.100741
295.1677,295.1677,295.1677,2,295.1677,2026-06-22 05:52:00-04:00,700,295.1677
295.16,295.17,295.13,38,295.13,2026-06-22 05:53:00-04:00,3229,295.155544
295.19,295.2,295.19,15,295.2,2026-06-22 05:56:00-04:00,1497,295.192405
295.22,295.22,295.21,3,295.21,2026-06-22 05:57:00-04:00,114,295.215918
295.32,295.32,295.25,31,295.25,2026-06-22 06:02:00-04:00,1327,295.291172
295.37,295.38,295.34,11,295.34,2026-06-22 06:03:00-04:00,779,295.366787
295.41,295.41,295.41,4,295.41,2026-06-22 06:04:00-04:00,332,295.41
295.45,295.45,295.44,3,295.44,2026-06-22 06:05:00-04:00,159,295.447484
295.53,295.53,295.51,10,295.52,2026-06-22 06:06:00-04:00,816,295.52275
295.72,295.72,295.6,19,295.6,2026-06-22 06:07:00-04:00,986,295.686209
295.75,295.78,295.75,7,295.78,2026-06-22 06:08:00-04:00,377,295.766828
295.75,295.78,295.72,22,295.72,2026-06-22 06:09:00-04:00,1069,295.750422
295.81,295.81,295.78,9,295.78,2026-06-22 06:10:00-04:00,622,295.800221
295.76,295.8,295.75,12,295.8,2026-06-22 06:11:00-04:00,590,295.782714
295.75,295.75,295.75,5,295.75,2026-06-22 06:12:00-04:00,89,295.75
