close,high,low,n,open,date,volume,vw
729.48,730.37,723.36,691240,725.16,2026-05-26,34470924,727.72
728.65,732.51,724.64,685841,732.15,2026-05-27,35325379,727.82
734.79,735.79,725.61,613415,728.93,2026-05-28,33009342,732.28
737.5,740.82,734.44,682644,737.03,2026-05-29,37723619,737.51
741.92,744.83,735.18,759313,736.23,2026-06-01,34120302,740.33
745.34,745.62,738.42,618841,741.58,2026-06-02,30270214,743.41
743.39,747.83,740.2,747206,746.49,2026-06-03,40456726,743.69
739.8,742.68,731.82,749407,734.67,2026-06-04,40965116,738.0
704.29,730.89,703.55,1583284,729.26,2026-06-05,99828731,715.06
715.28,722.24,712.29,948710,717.02,2026-06-08,47619570,717.18
707.05,724.86,685.62,1688793,722.19,2026-06-09,92073922,702.91
692.93,710.5,692.17,1283560,700.89,2026-06-10,65524808,699.43
716.33,717.58,694.24,1294653,698.52,2026-06-11,71976381,706.06
720.55,723.21,710.5,1104254,716.82,2026-06-12,51428388,718.55
743.18,743.94,736.57,806245,737.29,2026-06-15,46933005,741.28
729.06,743.4,728.84,826936,741.43,2026-06-16,45537235,734.9
721.72,734.87,720.06,855315,734.38,2026-06-17,52051227,728.7
739.81,741.01,731.71,757875,736.39,2026-06-18,48840831,737.33
736.27,745.45,734.39,673956,742.02,2026-06-22,28895097,738.691019
