close,high,low,n,open,date,volume,vw
740.59,742.0,735.59,929,740.34,2026-06-22 04:00:00-04:00,76579,736.152015
740.49,741.0,735.13,509,740.33,2026-06-22 04:01:00-04:00,23680,738.173514
740.01,740.59,739.96,117,740.48,2026-06-22 04:02:00-04:00,8547,740.384286
740.15,740.17,740.03,144,740.04,2026-06-22 04:03:00-04:00,10186,740.114565
736.03,740.2,735.52,376,740.15,2026-06-22 04:04:00-04:00,16130,737.487327
738.86,739.86,735.0,1577,736.04,2026-06-22 04:05:00-04:00,56259,737.015556
739.86,741.0,735.22,1641,738.06,2026-06-22 04:06:00-04:00,67692,739.548473
739.97,741.0,737.53,460,740.6,2026-06-22 04:07:00-04:00,22892,740.21054
739.67,740.99,739.49,110,740.43,2026-06-22 04:08:00-04:00,6019,740.142319
735.8,740.92,735.8,54,739.56,2026-06-22 04:09:00-04:00,2646,739.307331
739.32,739.47,739.32,85,739.47,2026-06-22 04:10:00-04:00,8545,739.415733
739.13,739.33,739.13,59,739.33,2026-06-22 04:11:00-04:00,2847,739.284905
739.53,739.55,739.12,127,739.12,2026-06-22 04:12:00-04:00,6918,739.395248
739.82,739.82,739.52,91,739.52,2026-06-22 04:13:00-04:00,7030,739.708079
739.65,739.77,739.65,34,739.77,2026-06-22 04:14:00-04:00,1703,739.68823
739.75,739.78,739.47,38,739.5,2026-06-22 04:15:00-04:00,1678,739.722953
739.38,739.79,739.37,41,739.75,2026-06-22 04:16:00-04:00,1434,739.512275
739.37,739.4104,739.37,20,739.39,2026-06-22 04:17:00-04:00,505,739.380806
739.34,739.37,739.22,50,739.31,2026-06-22 04:18:00-04:00,2763,739.250283
739.31,739.41,739.31,23,739.41,2026-06-22 04:20:00-04:00,1270,739.358642
739.41,739.43,739.22,39,739.22,2026-06-22 04:21:00-04:00,1427,739.400813
739.21,739.39,739.16,46,739.39,2026-06-22 04:22:00-04:00,1554,739.321424
738.9,739.17,738.78,115,739.17,2026-06-22 04:23:00-04:00,6699,738.947211
739.38,739.38,739.09,51,739.12,2026-06-22 04:24:00-04:00,1849,739.154563
739.39,739.39,739.27,23,739.27,2026-06-22 04:25:00-04:00,1265,739.313209
739.24,739.31,739.24,24,739.31,2026-06-22 04:26:00-04:00,564,739.285853
