close,high,low,n,open,date,volume,vw
81.97,81.97,81.92,8518,81.96,2026-05-26,2784248,81.95
81.98,82.0,81.97,5881,81.98,2026-05-27,2002936,81.99
82.02,82.05,81.97,6518,81.98,2026-05-28,2579372,82.01
82.06,82.09,82.04,6388,82.06,2026-05-29,2521918,82.06
82.01,82.02,81.94,10663,81.975,2026-06-01,2976662,81.975196
82.01,82.04,82.0,7318,82.04,2026-06-02,1891440,82.018026
81.97,81.99,81.95,7431,81.97,2026-06-03,3262227,81.967989
82.03,82.06,82.02,7798,82.05,2026-06-04,3011040,82.032836
81.86,81.93,81.86,10167,81.92,2026-06-05,5008872,81.875413
81.9,81.95,81.89,11002,81.93,2026-06-08,5010922,81.900769
81.94,81.98,81.92,9052,81.94,2026-06-09,3234745,81.943134
81.94,81.99,81.935,9496,81.97,2026-06-10,3447069,81.953285
82.09,82.1,81.94,8358,81.96,2026-06-11,4528518,82.038332
82.07,82.085,82.0303,10061,82.07,2026-06-12,3967984,82.063052
82.11,82.15,82.09,9995,82.14,2026-06-15,3626609,82.113664
82.125,82.15,82.09,7052,82.1,2026-06-16,1767428,82.122905
81.88,82.13,81.88,13389,82.11,2026-06-17,5237185,81.969527
81.99,82.04,81.98,8041,81.99,2026-06-18,3033590,82.004458
81.91,81.95,81.91,6671,81.93,2026-06-22,1694746,81.924049
