close,high,low,n,open,date,volume,vw
81.92,81.92,81.92,4,81.92,2026-06-22 04:06:00-04:00,20019,81.92
81.92,81.92,81.92,3,81.92,2026-06-22 04:07:00-04:00,10006,81.92
81.92,81.92,81.92,2,81.92,2026-06-22 04:15:00-04:00,20000,81.92
81.93,81.93,81.93,1,81.93,2026-06-22 04:16:00-04:00,287,81.93
81.92,81.92,81.92,2,81.92,2026-06-22 04:39:00-04:00,400,81.92
81.93,81.93,81.93,1,81.93,2026-06-22 05:17:00-04:00,160,81.93
81.93,81.93,81.93,3,81.93,2026-06-22 05:21:00-04:00,560,81.93
81.93,81.93,81.93,5,81.93,2026-06-22 07:00:00-04:00,353,81.93
81.93,81.93,81.93,7,81.93,2026-06-22 07:25:00-04:00,2360,81.93
81.9398,81.9398,81.9398,1,81.9398,2026-06-22 07:28:00-04:00,300,81.9398
81.93,81.93,81.93,8,81.93,2026-06-22 07:29:00-04:00,9640,81.93
81.9395,81.94,81.9395,4,81.94,2026-06-22 07:33:00-04:00,4002,81.93975
81.94,81.94,81.94,1,81.94,2026-06-22 07:57:00-04:00,100,81.94
81.94,81.94,81.94,3,81.94,2026-06-22 08:00:00-04:00,324,81.94
81.9399,81.9399,81.9399,1,81.9399,2026-06-22 08:11:00-04:00,409,81.9399
81.93,81.93,81.93,5,81.93,2026-06-22 08:12:00-04:00,5681,81.93
81.94,81.94,81.94,3,81.94,2026-06-22 08:21:00-04:00,300,81.94
81.94,81.94,81.94,1,81.94,2026-06-22 08:23:00-04:00,165,81.94
81.94,81.94,81.94,1,81.94,2026-06-22 08:29:00-04:00,100,81.94
81.9316,81.9316,81.9316,1,81.9316,2026-06-22 08:36:00-04:00,300,81.9316
81.94,81.94,81.94,1,81.94,2026-06-22 08:44:00-04:00,10000,81.94
81.94,81.94,81.94,1,81.94,2026-06-22 08:48:00-04:00,160,81.94
81.94,81.94,81.94,1,81.94,2026-06-22 08:58:00-04:00,100,81.94
81.95,81.95,81.94,12,81.94,2026-06-22 09:00:00-04:00,10894,81.940303
81.95,81.95,81.95,2,81.95,2026-06-22 09:01:00-04:00,320,81.95
81.93,81.93,81.93,1,81.93,2026-06-22 09:07:00-04:00,10000,81.93
81.93,81.93,81.93,2,81.93,2026-06-22 09:08:00-04:00,1200,81.93
81.93,81.93,81.93,2,81.93,2026-06-22 09:10:00-04:00,189,81.93
81.93,81.93,81.93,6,81.93,2026-06-22 09:15:00-04:00,12006,81.93
81.92,81.925,81.92,35,81.925,2026-06-22 09:18:00-04:00,39005,81.922821
81.925,81.925,81.92,11,81.92,2026-06-22 09:19:00-04:00,11000,81.924545
81.925,81.925,81.92,13,81.92,2026-06-22 09:20:00-04:00,15000,81.922
81.93,81.93,81.92,7,81.92,2026-06-22 09:22:00-04:00,16720,81.929402
81.93,81.93,81.93,5,81.93,2026-06-22 09:24:00-04:00,6025,81.93
81.9301,81.94,81.93,147,81.93,2026-06-22 09:30:00-04:00,49239,81.939815
81.935,81.94,81.93,52,81.935,2026-06-22 09:31:00-04:00,30753,81.934932
81.9399,81.9399,81.9399,27,81.9399,2026-06-22 09:32:00-04:00,754,81.9399
81.935,81.935,81.935,21,81.935,2026-06-22 09:33:00-04:00,925,81.935
81.935,81.94,81.935,28,81.9399,2026-06-22 09:34:00-04:00,1213,81.936067
81.935,81.935,81.935,23,81.935,2026-06-22 09:35:00-04:00,700,81.935
81.935,81.94,81.9301,40,81.935,2026-06-22 09:36:00-04:00,4019,81.935245
81.935,81.935,81.93,25,81.93,2026-06-22 09:37:00-04:00,1274,81.931284
81.94,81.94,81.9312,26,81.935,2026-06-22 09:38:00-04:00,3002,81.936366
81.935,81.935,81.935,27,81.935,2026-06-22 09:39:00-04:00,1700,81.935
81.935,81.9399,81.93,28,81.935,2026-06-22 09:40:00-04:00,3105,81.935265
81.93,81.9399,81.93,39,81.9306,2026-06-22 09:41:00-04:00,15945,81.930198
81.925,81.93,81.925,29,81.925,2026-06-22 09:42:00-04:00,2332,81.928813
81.925,81.93,81.9234,50,81.925,2026-06-22 09:43:00-04:00,2844,81.927044
81.93,81.93,81.93,46,81.93,2026-06-22 09:44:00-04:00,10860,81.93
81.94,81.94,81.9364,27,81.9364,2026-06-22 09:45:00-04:00,9453,81.939741
81.94,81.94,81.93,31,81.935,2026-06-22 09:46:00-04:00,4550,81.931793
81.94,81.94,81.9399,13,81.9399,2026-06-22 09:47:00-04:00,6722,81.939903
81.935,81.935,81.9341,20,81.935,2026-06-22 09:48:00-04:00,697,81.934679
81.94,81.94,81.935,22,81.94,2026-06-22 09:49:00-04:00,7111,81.939738
81.93,81.94,81.93,26,81.9399,2026-06-22 09:50:00-04:00,4408,81.933493
81.9325,81.9399,81.93,21,81.935,2026-06-22 09:51:00-04:00,20409,81.932796
81.9299,81.93,81.925,36,81.93,2026-06-22 09:52:00-04:00,41178,81.92976
81.93,81.93,81.9293,19,81.9293,2026-06-22 09:53:00-04:00,1634,81.929946
81.9299,81.9299,81.9299,12,81.9299,2026-06-22 09:54:00-04:00,1332,81.9299
81.915,81.93,81.915,39,81.93,2026-06-22 09:55:00-04:00,34508,81.919935
81.912,81.92,81.912,22,81.9167,2026-06-22 09:56:00-04:00,7583,81.915284
81.915,81.92,81.915,17,81.92,2026-06-22 09:57:00-04:00,390,81.918316
81.915,81.915,81.915,26,81.915,2026-06-22 09:58:00-04:00,821,81.915
81.915,81.92,81.915,35,81.92,2026-06-22 09:59:00-04:00,605,81.917748
81.915,81.915,81.915,23,81.915,2026-06-22 10:00:00-04:00,2629,81.915
81.9185,81.92,81.91,29,81.9101,2026-06-22 10:01:00-04:00,2827,81.916202
81.9101,81.9199,81.9101,25,81.9199,2026-06-22 10:02:00-04:00,712,81.91496
81.915,81.92,81.9101,33,81.915,2026-06-22 10:03:00-04:00,1517,81.91458
81.9101,81.915,81.9101,24,81.915,2026-06-22 10:04:00-04:00,3104,81.91424
81.9106,81.915,81.9101,19,81.915,2026-06-22 10:05:00-04:00,2379,81.912823
81.9199,81.9199,81.9199,15,81.9199,2026-06-22 10:06:00-04:00,371,81.9199
81.915,81.92,81.9133,25,81.9133,2026-06-22 10:07:00-04:00,1406,81.916886
81.9299,81.9299,81.9101,37,81.9101,2026-06-22 10:08:00-04:00,16549,81.919813
81.925,81.925,81.92,9,81.92,2026-06-22 10:09:00-04:00,708,81.923572
81.93,81.93,81.92,23,81.925,2026-06-22 10:10:00-04:00,2082,81.928487
81.925,81.9251,81.92,23,81.92,2026-06-22 10:11:00-04:00,12158,81.924893
81.925,81.93,81.9201,15,81.9201,2026-06-22 10:12:00-04:00,1893,81.926816
81.9301,81.94,81.926,22,81.926,2026-06-22 10:13:00-04:00,9584,81.929626
81.935,81.94,81.935,14,81.94,2026-06-22 10:14:00-04:00,1670,81.936292
81.9399,81.94,81.9302,23,81.935,2026-06-22 10:15:00-04:00,3467,81.938877
81.94,81.94,81.93,20,81.935,2026-06-22 10:16:00-04:00,2182,81.93527
81.9359,81.938,81.9359,16,81.938,2026-06-22 10:17:00-04:00,1236,81.9372
81.9359,81.9399,81.935,20,81.935,2026-06-22 10:18:00-04:00,2311,81.937239
81.935,81.94,81.9301,54,81.94,2026-06-22 10:19:00-04:00,1376,81.937153
81.935,81.94,81.935,20,81.94,2026-06-22 10:20:00-04:00,351,81.937242
81.94,81.94,81.935,34,81.935,2026-06-22 10:21:00-04:00,9684,81.939707
81.935,81.94,81.935,17,81.94,2026-06-22 10:22:00-04:00,5143,81.935813
81.945,81.945,81.9399,20,81.94,2026-06-22 10:23:00-04:00,7327,81.940326
81.945,81.945,81.945,11,81.945,2026-06-22 10:24:00-04:00,843,81.945
81.945,81.95,81.945,16,81.945,2026-06-22 10:25:00-04:00,3227,81.945504
81.9402,81.9464,81.94,15,81.9464,2026-06-22 10:26:00-04:00,1387,81.941231
81.9401,81.945,81.9401,62,81.945,2026-06-22 10:27:00-04:00,662,81.942417
81.947,81.947,81.947,19,81.947,2026-06-22 10:29:00-04:00,1351,81.947
81.9402,81.945,81.9401,12,81.945,2026-06-22 10:30:00-04:00,600,81.940997
81.9401,81.946,81.94,26,81.946,2026-06-22 10:31:00-04:00,2523,81.942288
81.9402,81.95,81.94,17,81.94,2026-06-22 10:32:00-04:00,2862,81.946283
81.94,81.945,81.94,26,81.945,2026-06-22 10:33:00-04:00,2375,81.943156
81.935,81.94,81.9301,32,81.94,2026-06-22 10:34:00-04:00,7168,81.939275
81.935,81.94,81.9301,31,81.9301,2026-06-22 10:36:00-04:00,3261,81.938515
81.94,81.94,81.935,22,81.935,2026-06-22 10:37:00-04:00,6012,81.937837
81.94,81.94,81.9315,20,81.9315,2026-06-22 10:38:00-04:00,1983,81.933844
81.9301,81.94,81.9301,11,81.9303,2026-06-22 10:39:00-04:00,1029,81.932476
81.9302,81.9302,81.9302,8,81.9302,2026-06-22 10:40:00-04:00,618,81.9302
81.935,81.935,81.9301,19,81.935,2026-06-22 10:41:00-04:00,4133,81.93241
81.935,81.94,81.9301,14,81.9301,2026-06-22 10:42:00-04:00,1118,81.9337
81.9399,81.94,81.9399,19,81.94,2026-06-22 10:43:00-04:00,2744,81.939996
81.9399,81.94,81.9306,20,81.935,2026-06-22 10:44:00-04:00,2802,81.936856
81.935,81.935,81.935,13,81.935,2026-06-22 10:45:00-04:00,678,81.935
81.945,81.95,81.9301,37,81.9301,2026-06-22 10:46:00-04:00,8689,81.941759
81.945,81.95,81.9401,28,81.95,2026-06-22 10:47:00-04:00,2277,81.944818
81.94,81.95,81.94,13,81.9401,2026-06-22 10:48:00-04:00,4873,81.946683
81.945,81.946,81.9401,22,81.9441,2026-06-22 10:49:00-04:00,6350,81.945634
81.9401,81.9401,81.9401,6,81.9401,2026-06-22 10:50:00-04:00,228,81.9401
81.9499,81.9499,81.945,18,81.945,2026-06-22 10:51:00-04:00,3092,81.945776
81.95,81.95,81.9401,24,81.945,2026-06-22 10:52:00-04:00,5423,81.947125
81.945,81.945,81.945,22,81.945,2026-06-22 10:53:00-04:00,683,81.945
81.9499,81.9499,81.9401,19,81.9401,2026-06-22 10:54:00-04:00,560,81.943445
