close,high,low,n,open,date,volume,vw
748.66,750.2,746.45,637860,748.08,2026-05-26,41224290,748.1
748.53,749.45,746.3,629697,748.95,2026-05-27,42182638,748.23
752.66,753.21,747.31,583130,748.32,2026-05-28,41635596,751.51
754.54,756.13,752.75,725339,753.96,2026-05-29,55157560,754.68
756.59,758.33,752.75,732573,753.42,2026-06-01,43743307,755.63
757.62,758.45,754.81,516072,755.09,2026-06-02,31659089,757.09
752.3,756.85,751.63,671506,756.2,2026-06-03,51481600,753.41
755.15,756.36,749.54,632030,750.17,2026-06-04,49997957,754.07
735.66,750.89,733.64,1221225,750.38,2026-06-05,94079416,741.1
737.32,743.43,736.29,770088,741.45,2026-06-08,49409156,739.75
735.16,744.98,720.73,1257584,741.72,2026-06-09,87632447,731.77
723.57,736.48,723.47,953597,731.51,2026-06-10,60413773,728.48
735.86,738.1,722.54,1151240,726.89,2026-06-11,86398845,730.94
739.84,742.53,733.14,885733,738.81,2026-06-12,57157800,738.73
752.89,754.74,749.83,742225,749.92,2026-06-15,60270690,752.54
748.4,753.5,747.95,682494,752.61,2026-06-16,67210550,750.23
739.06,750.22,737.32,1003193,749.36,2026-06-17,86738310,744.0
746.74,748.23,743.86,711512,747.76,2026-06-18,82409155,746.466545
743.69,750.18,743.15,603498,747.7,2026-06-22,32084178,745.606378
