close,high,low,n,open,date,volume,vw
746.42,746.73,744.69,643,745.5,2026-06-22 04:00:00-04:00,4120,745.783315
746.58,746.77,743.13,196,746.77,2026-06-22 04:01:00-04:00,7264,745.246133
746.19,746.5,746.14,119,746.48,2026-06-22 04:02:00-04:00,4138,746.279544
746.15,746.27,746.15,29,746.27,2026-06-22 04:03:00-04:00,1208,746.218915
743.4,746.22,743.4,177,746.22,2026-06-22 04:04:00-04:00,4194,744.277413
745.68,746.23,743.0,905,743.62,2026-06-22 04:05:00-04:00,30685,744.268987
746.52,747.02,743.31,875,745.75,2026-06-22 04:06:00-04:00,30335,746.124004
746.49,746.91,743.96,277,746.51,2026-06-22 04:07:00-04:00,9397,746.232827
745.97,746.9,745.94,80,746.8,2026-06-22 04:08:00-04:00,2368,746.564836
745.93,746.03,743.69,27,743.69,2026-06-22 04:09:00-04:00,666,745.575018
745.82,745.93,745.82,62,745.93,2026-06-22 04:10:00-04:00,845,745.905906
745.59,745.81,745.57,70,745.81,2026-06-22 04:11:00-04:00,2006,745.706525
745.88,745.88,745.64,63,745.66,2026-06-22 04:12:00-04:00,420,745.745134
746.01,746.02,745.94,31,746.0,2026-06-22 04:13:00-04:00,2021,745.99877
745.93,745.99,745.93,18,745.99,2026-06-22 04:14:00-04:00,1407,745.981404
746.01,746.01,745.9,22,745.9,2026-06-22 04:15:00-04:00,409,745.928947
745.81,745.81,745.76,9,745.76,2026-06-22 04:17:00-04:00,414,745.775946
745.82,745.82,745.67,45,745.77,2026-06-22 04:18:00-04:00,946,745.766991
745.68,745.68,745.68,11,745.68,2026-06-22 04:19:00-04:00,233,745.68
745.7,745.7,745.7,10,745.7,2026-06-22 04:20:00-04:00,95,745.7
745.91,745.91,745.72,5,745.72,2026-06-22 04:21:00-04:00,193,745.825508
745.63,745.63,745.63,12,745.63,2026-06-22 04:23:00-04:00,244,745.63
745.89,745.89,745.84,18,745.88,2026-06-22 04:25:00-04:00,493,745.876845
745.85,745.85,745.85,7,745.85,2026-06-22 04:26:00-04:00,71,745.85
745.9,745.92,745.9,14,745.92,2026-06-22 04:27:00-04:00,1212,745.901517
745.84,745.84,745.84,6,745.84,2026-06-22 04:28:00-04:00,129,745.84
745.81,745.84,745.81,6,745.84,2026-06-22 04:29:00-04:00,108,745.825
745.67,745.68,745.67,13,745.68,2026-06-22 04:30:00-04:00,159,745.675
745.86,745.86,745.86,2,745.86,2026-06-22 04:31:00-04:00,51,745.86
745.77,745.91,745.77,10,745.89,2026-06-22 04:32:00-04:00,755,745.859217
745.81,745.81,745.74,13,745.74,2026-06-22 04:33:00-04:00,281,745.780695
745.67,745.72,745.67,12,745.72,2026-06-22 04:34:00-04:00,254,745.706885
745.91,745.95,745.91,10,745.93,2026-06-22 04:35:00-04:00,433,745.943194
745.91,746.0,745.91,12,745.91,2026-06-22 04:36:00-04:00,400,745.967324
746.11,746.11,746.11,6,746.11,2026-06-22 04:37:00-04:00,97,746.11
746.04,746.07,746.04,11,746.07,2026-06-22 04:39:00-04:00,215,746.05621
746.11,746.11,746.11,6,746.11,2026-06-22 04:41:00-04:00,81,746.11
746.16,746.16,746.16,7,746.16,2026-06-22 04:43:00-04:00,104,746.16
746.2,746.2,746.12,6,746.12,2026-06-22 04:44:00-04:00,106,746.164444
746.27,746.35,746.27,13,746.35,2026-06-22 04:45:00-04:00,632,746.278952
746.11,746.11,746.01,11,746.01,2026-06-22 04:47:00-04:00,248,746.080745
745.96,745.96,745.96,10,745.96,2026-06-22 04:48:00-04:00,107,745.96
746.05,746.05,746.02,9,746.02,2026-06-22 04:50:00-04:00,331,746.0275
745.95,745.95,745.95,5,745.95,2026-06-22 04:51:00-04:00,107,745.95
745.98,745.98,745.98,6,745.98,2026-06-22 04:52:00-04:00,92,745.98
746.19,746.19,746.147,5,746.147,2026-06-22 04:54:00-04:00,146,746.169421
