close,high,low,n,open,date,volume,vw
84.77,85.04,84.57,85819,85.0,2026-05-26,22542347,84.81
84.97,85.15,84.82,81672,84.92,2026-05-27,23598666,84.98
85.4,85.51,84.94,85702,85.03,2026-05-28,25426423,85.31
85.42,85.62,85.22,84898,85.47,2026-05-29,33128085,85.38
85.47,85.54,84.8,89580,84.93,2026-06-01,26333221,85.158899
85.65,85.82,85.5,69821,85.8,2026-06-02,20328166,85.65221
85.31,85.43,85.1,51390,85.285,2026-06-03,15381069,85.290433
85.5,85.71,85.42,59689,85.605,2026-06-04,15875729,85.546884
85.06,85.345,84.92,78959,84.99,2026-06-05,26470679,85.099452
84.62,85.325,84.62,81193,85.23,2026-06-08,22933430,84.838127
85.12,85.18,84.78,70223,84.97,2026-06-09,22539492,85.041566
84.88,85.3,84.7,64726,85.12,2026-06-10,21267186,84.991161
85.98,86.04,85.04,97183,85.17,2026-06-11,35198796,85.70216
85.77,85.83,85.41,75832,85.64,2026-06-12,23110042,85.669493
85.72,86.11,85.67,63594,85.96,2026-06-15,18122811,85.833149
86.19,86.38,85.925,71610,85.96,2026-06-16,27606050,86.195712
86.33,86.59,85.93,104537,86.33,2026-06-17,34515956,86.314448
86.75,87.175,86.65,86867,87.07,2026-06-18,32155905,86.878087
86.095,86.33,85.97,67770,86.3,2026-06-22,21328643,86.128626
