close,high,low,n,open,date,volume,vw
86.39,86.51,86.39,75,86.45,2026-06-22 04:00:00-04:00,9556,86.446457
86.51,86.51,86.51,11,86.51,2026-06-22 04:01:00-04:00,301,86.51
86.34,86.36,86.34,17,86.36,2026-06-22 04:03:00-04:00,1962,86.348063
86.38,86.38,86.38,13,86.38,2026-06-22 04:04:00-04:00,267,86.38
86.49,86.51,86.47,65,86.5,2026-06-22 04:05:00-04:00,3031,86.505849
86.4,86.51,86.35,90,86.3504,2026-06-22 04:06:00-04:00,8784,86.407178
86.48,86.48,86.34,34,86.34,2026-06-22 04:07:00-04:00,3371,86.356154
86.41,86.45,86.41,6,86.45,2026-06-22 04:08:00-04:00,884,86.442849
86.36,86.36,86.35,19,86.35,2026-06-22 04:09:00-04:00,2519,86.35553
86.31,86.34,86.31,9,86.34,2026-06-22 04:10:00-04:00,1401,86.335217
86.3,86.3,86.3,11,86.3,2026-06-22 04:11:00-04:00,516,86.3
86.29,86.29,86.29,12,86.29,2026-06-22 04:13:00-04:00,711,86.29
86.28,86.28,86.28,7,86.28,2026-06-22 04:15:00-04:00,242,86.28
86.3,86.3,86.2997,10,86.2997,2026-06-22 04:16:00-04:00,1017,86.299847
86.28,86.28,86.28,13,86.28,2026-06-22 04:18:00-04:00,841,86.28
86.2704,86.2704,86.2704,1,86.2704,2026-06-22 04:20:00-04:00,300,86.2704
86.3015,86.3015,86.3015,2,86.3015,2026-06-22 04:22:00-04:00,101,86.3015
86.31,86.31,86.31,3,86.31,2026-06-22 04:23:00-04:00,230,86.31
86.31,86.32,86.31,17,86.31,2026-06-22 04:25:00-04:00,1877,86.311493
86.3,86.32,86.3,15,86.32,2026-06-22 04:39:00-04:00,1800,86.304467
86.37,86.37,86.37,1,86.37,2026-06-22 04:50:00-04:00,200,86.37
86.36,86.36,86.36,9,86.36,2026-06-22 04:58:00-04:00,1022,86.36
86.36,86.36,86.36,24,86.36,2026-06-22 04:59:00-04:00,3855,86.36
