close,high,low,n,open,date,volume,vw
27.75,27.78,27.73,4138,27.75,2026-05-26,1929419,27.754945
27.75,27.79,27.71,3813,27.72,2026-05-27,2693433,27.74752
27.7,27.79,27.69,4061,27.77,2026-05-28,2942339,27.738631
27.66,27.735,27.63,4751,27.71,2026-05-29,4610448,27.671152
27.76,27.83,27.745,3968,27.77,2026-06-01,2057501,27.776641
27.76,27.81,27.74,2428,27.74,2026-06-02,2048330,27.766653
27.86,27.88,27.83,2768,27.86,2026-06-03,1725631,27.856935
27.84,27.85,27.78,3139,27.79,2026-06-04,880065,27.816732
28.02,28.0463,27.9001,3515,27.92,2026-06-05,2008928,28.006732
28.03,28.04,27.97,2429,27.99,2026-06-08,2425057,28.009833
28.01,28.05,27.94,3079,27.96,2026-06-09,2002806,27.99774
28.05,28.05,27.95,3565,27.98,2026-06-10,1741854,28.011656
27.95,28.125,27.915,4436,28.08,2026-06-11,2647974,28.033382
27.95,27.99,27.94,3487,27.96,2026-06-12,2225616,27.961316
27.97,27.97,27.87,4058,27.89,2026-06-15,4139505,27.929854
27.93,27.9699,27.89,4736,27.96,2026-06-16,1794442,27.920727
28.18,28.22,27.935,4839,27.94,2026-06-17,2963937,28.077082
28.3,28.315,28.21,4716,28.23,2026-06-18,2054949,28.262304
28.355,28.36,28.2901,4024,28.34,2026-06-22,2226931,28.340128
