date,outcome_date,direction,prob,kelly,regime,executed,realized_ret,strat_ret,hit,strat_equity,bh_equity,broker_equity
2026-07-02,2026-07-06,UP,0.5587,0.0587,chop,False,0.008606,0.000505,1,100.0505,100.8606,
2026-07-03,2026-07-06,UP,0.5587,0.0587,chop,False,0.008606,0.000505,1,100.1011,101.7285,
2026-07-06,2026-07-07,UP,0.5587,0.0587,chop,False,-0.004659,-0.000273,0,100.0737,101.2546,82719.82
2026-07-07,2026-07-08,UP,0.5587,0.0587,chop,False,-0.003330,-0.000195,0,100.0541,100.9174,82698.4
2026-07-08,2026-07-09,UP,0.5587,0.0587,chop,False,0.008413,0.000494,1,100.1035,101.7664,82684.54
2026-07-09,2026-07-10,UP,0.5587,0.0587,chop,False,0.004511,0.000265,1,100.1300,102.2255,82722.4
2026-07-10,2026-07-13,UP,0.5587,0.0587,chop,False,-0.007696,-0.000452,0,100.0848,101.4388,
2026-07-13,2026-07-14,UP,0.5587,0.0587,chop,False,0.003751,0.000220,1,100.1068,101.8193,82707.16
2026-07-14,2026-07-15,UP,0.5587,0.0587,chop,False,0.003764,0.000221,1,100.1290,102.2025,82723.12
2026-07-15,2026-07-16,UP,0.5587,0.0587,chop,False,-0.005167,-0.000303,0,100.0986,101.6744,82741.0
2026-07-16,2026-07-17,UP,0.5587,0.0587,chop,False,-0.010108,-0.000593,0,100.0392,100.6466,82716.46
2026-07-17,2026-07-20,UP,0.5587,0.0587,chop,False,-0.001520,-0.000089,0,100.0303,100.4936,
2026-07-20,2026-07-21,UP,0.5587,0.0587,chop,False,0.008091,0.000475,1,100.0778,101.3067,82664.68
2026-07-21,2026-07-22,UP,0.5587,0.0587,chop,False,-0.000889,-0.000052,0,100.0726,101.2167,82701.82
2026-07-22,2026-07-23,UP,0.5587,0.0587,chop,False,-0.012616,-0.000741,0,99.9984,99.9398,82696.6
2026-07-23,2026-07-24,UP,0.5587,0.0587,chop,False,0.001138,0.000067,1,100.0051,100.0535,82641.22
2026-07-24,2026-07-27,UP,0.5587,0.0587,chop,False,-0.000068,-0.000004,0,100.0047,100.0468,
2026-07-27,2026-07-28,UP,0.5587,0.0587,chop,False,0.002632,0.000155,1,100.0202,100.3101,82646.68
2026-07-28,2026-07-29,UP,0.5587,0.0587,chop,False,-0.015153,-0.000889,0,99.9312,98.7902,82657.3
2026-07-30,2026-07-31,UP,0.5587,0.0587,chop,False,0.006958,0.000408,1,99.9720,99.4775,82662.28
2026-07-31,,UP,0.5587,0.0587,chop,False,,,,,,82662.28
