date,signal_direction,signal_prob,signal_confidence,regime,position_size_kelly,spy_price,equity,prev_shares,target_shares,order_action,order_shares,executed,order_id,sizing_reason,risk_flags,errors
2026-07-02,UP,0.5587,MED,chop,0.0587,750.54,82714.91,0,6,BUY,6,True,f9ee5b38-759b-4a37-b1a5-7582e85ca784,Kelly(50%) blend size=0.059 (blend=0.559 log=0.508 gbm_chop=0.609; regime=chop; chop-lower t=0.51),WARN: FOMC/CPI/NFP within 1 day - position sizing already conservative,
2026-07-02,UP,0.5587,MED,chop,0.0587,744.57,82679.59,6,6,HOLD,0,False,,Kelly(50%) blend size=0.059 (blend=0.559 log=0.508 gbm_chop=0.609; regime=chop; chop-lower t=0.51),WARN: FOMC/CPI/NFP within 1 day - position sizing already conservative,
2026-07-03,UP,0.5587,MED,chop,0.0587,744.78,82680.82,6,6,HOLD,0,False,,Kelly(50%) blend size=0.059 (blend=0.559 log=0.508 gbm_chop=0.609; regime=chop; chop-lower t=0.51),WARN: FOMC/CPI/NFP within 1 day - position sizing already conservative,
2026-07-06,UP,0.5587,MED,chop,0.0587,751.68,82722.22,6,6,HOLD,0,False,,Kelly(50%) blend size=0.059 (blend=0.559 log=0.508 gbm_chop=0.609; regime=chop; chop-lower t=0.51),WARN: FOMC/CPI/NFP within 1 day - position sizing already conservative,
2026-07-07,UP,0.5587,MED,chop,0.0587,747.42,78212.14,0,6,BUY,6,False,,Kelly(50%) blend size=0.059 (blend=0.559 log=0.508 gbm_chop=0.609; regime=chop; chop-lower t=0.51),BLOCK: daily loss -5.45% exceeds -2% limit|WARN: FOMC/CPI/NFP within 1 day - position sizing already conservative,Order blocked by risk checks - see risk_checks.flags
2026-07-08,UP,0.5587,MED,chop,0.0587,743.9,82675.54,6,6,HOLD,0,False,,Kelly(50%) blend size=0.059 (blend=0.559 log=0.508 gbm_chop=0.609; regime=chop; chop-lower t=0.51),WARN: FOMC/CPI/NFP within 1 day - position sizing already conservative,
2026-07-09,UP,0.5587,MED,chop,0.0587,751.27,82719.76,6,6,HOLD,0,False,,Kelly(50%) blend size=0.059 (blend=0.559 log=0.508 gbm_chop=0.609; regime=chop; chop-lower t=0.51),WARN: FOMC/CPI/NFP within 1 day - position sizing already conservative,
2026-07-10,UP,0.5587,MED,chop,0.0587,755.31,82744.0,6,6,HOLD,0,False,,Kelly(50%) blend size=0.059 (blend=0.559 log=0.508 gbm_chop=0.609; regime=chop; chop-lower t=0.51),WARN: FOMC/CPI/NFP within 1 day - position sizing already conservative,
2026-07-13,UP,0.5587,MED,chop,0.0587,748.35,82702.24,6,6,HOLD,0,False,,Kelly(50%) blend size=0.059 (blend=0.559 log=0.508 gbm_chop=0.609; regime=chop; chop-lower t=0.51),WARN: FOMC/CPI/NFP within 1 day - position sizing already conservative,
2026-07-14,UP,0.5587,MED,chop,0.0587,751.78,82722.82,6,6,HOLD,0,False,,Kelly(50%) blend size=0.059 (blend=0.559 log=0.508 gbm_chop=0.609; regime=chop; chop-lower t=0.51),WARN: FOMC/CPI/NFP within 1 day - position sizing already conservative,
2026-07-15,UP,0.5587,MED,chop,0.0587,754.7,82740.52,6,6,HOLD,0,False,,Kelly(50%) blend size=0.059 (blend=0.559 log=0.508 gbm_chop=0.609; regime=chop; chop-lower t=0.51),WARN: FOMC/CPI/NFP within 1 day - position sizing already conservative,
