date,equity,n_positions,in_mkt,bnh
2025-06-02,1.0,0,0,1.0
2025-06-03,1.006268908628263,2,1,1.0058542413381124
2025-06-04,1.005152762891621,4,1,1.0054958183990443
2025-06-05,0.9989895842617946,7,1,1.0006144393241168
2025-06-06,1.0069919123159559,9,1,1.0107697559310465
2025-06-09,1.0074805098436832,13,1,1.0116743471582181
2025-06-10,1.013087443146498,14,1,1.0175797917733402
2025-06-11,1.009891556173369,15,1,1.0147806792968084
2025-06-12,1.0142011995376319,16,1,1.0186891961085511
2025-06-13,1.0045620425460993,20,1,1.0072708653353815
2025-06-16,1.0142474804308887,20,1,1.0169824202082267
2025-06-17,1.0057504594287807,21,1,1.0082778631165727
2025-06-18,1.005597234644441,19,1,1.0081242532855437
2025-06-20,1.0020082965542567,25,1,1.0056323604710702
2025-06-23,1.0116309457773147,32,1,1.0156169994879671
2025-06-24,1.0221864152606737,35,1,1.0268646526711043
2025-06-25,1.0223126409277656,27,1,1.0273937532002049
2025-06-26,1.0295136795491715,27,1,1.0355180064857485
2025-06-27,1.0339660299742623,34,1,1.040552995391705
2025-06-30,1.0382408329655857,28,1,1.0456562553336748
2025-07-01,1.0382965710914949,28,1,1.0451271548045742
2025-07-02,1.0430844023179189,22,1,1.0499061273254822
2025-07-03,1.0503609837938266,27,1,1.0579279740570064
2025-07-07,1.0435194710182911,23,1,1.0505717699266086
2025-07-08,1.0427226712662423,15,1,1.049769585253456
2025-07-09,1.048453782902501,17,1,1.056067588325653
2025-07-10,1.0514372862652186,15,1,1.0591397849462365
2025-07-11,1.0483545505172018,15,1,1.05536781020652
2025-07-14,1.0502534363996925,12,1,1.0572793992148832
2025-07-15,1.045157548873359,14,1,1.05284178187404
2025-07-16,1.0483946334945629,13,1,1.0563236047107014
2025-07-17,1.0546434531539566,17,1,1.0627581498549241
2025-07-18,1.0533906970156153,20,1,1.0620754394947944
2025-07-21,1.054709382099875,29,1,1.0640723672981738
2025-07-22,1.054758530463887,28,1,1.0641918416111964
2025-07-23,1.063387433375284,30,1,1.073220686123912
2025-07-24,1.0635997937355013,37,1,1.0736644478579962
2025-07-25,1.0678404419478913,29,1,1.0780679296808329
2025-07-28,1.067444786399665,23,1,1.0778801843317973
2025-07-29,1.0642159533544173,24,1,1.075046936337259
2025-07-30,1.0628232700120825,25,1,1.0737668544120158
2025-07-31,1.0582020731546473,21,1,1.069499914661205
2025-08-01,1.041450988216841,22,1,1.0521420037549072
2025-08-04,1.0571434942083917,22,1,1.068015019627923
2025-08-05,1.0518425135157388,20,1,1.0627922853729306
2025-08-06,1.0596634691077313,20,1,1.070694657791432
2025-08-07,1.0584871351100533,22,1,1.070063150708312
2025-08-08,1.0661877086863982,23,1,1.0782556750298686
2025-08-11,1.0639572903556702,24,1,1.076036866359447
2025-08-12,1.0749732921157007,24,1,1.0875576036866361
2025-08-13,1.0781910114686142,22,1,1.091363713944359
2025-08-14,1.0788331365841322,24,1,1.0914490527393754
2025-08-15,1.0760368103528652,25,1,1.0889230244068955
2025-08-18,1.0757835990943738,26,1,1.0886328725038403
2025-08-19,1.0699413244533893,28,1,1.082710360129715
2025-08-20,1.067090891200463,28,1,1.079825908858167
2025-08-21,1.0631928585443242,31,1,1.075610172384366
2025-08-22,1.0793979117072963,28,1,1.0920122887864823
2025-08-25,1.0748342210637654,28,1,1.087284519542584
2025-08-26,1.079267734176019,21,1,1.0917733401604368
2025-08-27,1.0819215260740782,21,1,1.094299368492917
2025-08-28,1.0855673289104515,24,1,1.0981396142686466
2025-08-29,1.0794476288977755,28,1,1.091619730329408
2025-09-02,1.0715321071811323,28,1,1.083614951356887
2025-09-03,1.0771185414843498,28,1,1.0892643795869603
2025-09-04,1.0859247922649646,31,1,1.098310291858679
2025-09-05,1.0825827968613635,34,1,1.0953063662741083
2025-09-08,1.0850859416945238,36,1,1.0979860044376173
2025-09-09,1.0876249864435437,35,1,1.1005803038061104
2025-09-10,1.0903232262841167,37,1,1.10378904249872
2025-09-11,1.0989033854004517,35,1,1.1129032258064515
2025-09-12,1.0985317935795458,25,1,1.1125789383853901
2025-09-15,1.1035347143866663,17,1,1.1183819764464926
2025-09-16,1.101775764414018,11,1,1.1168288103771975
2025-09-17,1.1004098722720956,14,1,1.1155487284519543
2025-09-18,1.1044349754303866,16,1,1.120805598224953
2025-09-19,1.1093854981497995,18,1,1.1262160778289811
2025-09-22,1.1155989152925947,27,1,1.1315070831199865
2025-09-23,1.1096340532182112,19,1,1.1255162997098482
2025-09-24,1.1059826127604233,10,1,1.1218125960061445
2025-09-25,1.1007999230784022,10,1,1.1165557262331458
2025-09-26,1.1069125436185356,11,1,1.1230073391363715
2025-09-29,1.1093356554429499,13,1,1.1261648745519715
2025-09-30,1.1137660900715847,17,1,1.1304147465437788
2025-10-01,1.119029533830666,23,1,1.1344768731865507
2025-10-02,1.1196938040968998,24,1,1.1356033452807648
2025-10-03,1.1194486521316707,22,1,1.135620413039768
2025-10-06,1.1227556762256292,12,1,1.139716675200546
2025-10-07,1.1183270540804475,11,1,1.1355350742447516
2025-10-08,1.1249162261235484,11,1,1.142225635774023
2025-10-09,1.1215053945198394,15,1,1.1389998293224102
2025-10-10,1.0913225238908102,14,1,1.1083461341525858
2025-10-13,1.107075837887607,15,1,1.1252090800477899
2025-10-14,1.1072908121336036,18,1,1.1237753882915174
2025-10-15,1.1113196395386855,20,1,1.1286567673664447
2025-10-16,1.1034821868079951,21,1,1.121146953405018
2025-10-17,1.1096137633240242,17,1,1.1273766854412015
2025-10-20,1.1209252107941554,18,1,1.1391705069124425
2025-10-21,1.1208912642527127,16,1,1.1391705069124425
2025-10-22,1.114743833495643,19,1,1.1332650622973204
2025-10-23,1.1211262420092392,20,1,1.139784946236559
2025-10-24,1.1283624866381268,26,1,1.1490868748933265
2025-10-27,1.1411630816292129,15,1,1.1627752176139272
2025-10-28,1.143255099698831,18,1,1.1658303464755078
2025-10-29,1.1432445715298851,22,1,1.1663765147636116
2025-10-30,1.131849837205055,26,1,1.1538999829322412
2025-10-31,1.1352385117392831,23,1,1.1573647380098995
2025-11-03,1.1359396971243907,28,1,1.1596688854753372
2025-11-04,1.1234744716735738,28,1,1.1460829493087559
2025-11-05,1.1270716512504821,26,1,1.149752517494453
2025-11-06,1.1151749886027214,29,1,1.1374637310121183
2025-11-07,1.1162961206511635,25,1,1.1386072708653354
2025-11-10,1.1327926962964272,27,1,1.1562382659156853
2025-11-11,1.1356374049190046,28,1,1.1589008363201911
2025-11-12,1.1359389559098643,32,1,1.1596347499573305
2025-11-13,1.1176085526263426,33,1,1.1405017921146954
2025-11-14,1.117424575880976,33,1,1.1403140467656598
2025-11-17,1.1075748040980467,39,1,1.1296979006656427
2025-11-18,1.098337902318867,39,1,1.1202764976958526
2025-11-19,1.1025212817478434,39,1,1.1245434374466634
2025-11-20,1.0852541795279338,40,1,1.1073562041303977
2025-11-21,1.0960192969775664,40,1,1.1184502474825055
2025-11-24,1.1120582209925285,41,1,1.1349718381976448
2025-11-25,1.122396280215793,44,1,1.1455197132616488
2025-11-26,1.1297111375743039,38,1,1.1533538146441373
2025-11-28,1.1361870996105792,35,1,1.160232121522444
2025-12-01,1.1307580895737024,31,1,1.1544461512203448
2025-12-02,1.1326183621092534,25,1,1.156494282300734
2025-12-03,1.1366875911622392,21,1,1.1604540023894863
2025-12-04,1.1372892972232793,22,1,1.1614439324116743
2025-12-05,1.1388576463879634,26,1,1.1635774022870797
2025-12-08,1.135189375338124,27,1,1.1601467827274279
2025-12-09,1.1342207409719842,27,1,1.1591568527052398
2025-12-10,1.1415396171736536,27,1,1.1666495989076635
2025-12-11,1.1448492188448611,28,1,1.169499914661205
2025-12-12,1.132684171980566,25,1,1.1569039085168118
2025-12-15,1.1304154597824891,24,1,1.155162997098481
2025-12-16,1.1273589737799155,23,1,1.1520395972008877
2025-12-17,1.1147356327458862,24,1,1.1392217101894522
2025-12-18,1.1228970670218497,24,1,1.1480116060761223
2025-12-19,1.1327660026899748,26,1,1.158388803550094
2025-12-22,1.139526854953262,25,1,1.1655401945724526
2025-12-23,1.144816840888352,25,1,1.1708482676224612
2025-12-24,1.1480392846572989,30,1,1.1741935483870969
2025-12-26,1.1483853950898872,34,1,1.17484212322922
2025-12-29,1.1443512317373337,34,1,1.1707287933094384
2025-12-30,1.1428664262961863,30,1,1.16920976275815
2025-12-31,1.1343746738293996,30,1,1.1605222734254994
2026-01-02,1.1365935403875185,30,1,1.1627922853729304
