label,total_ret,cagr,sharpe,max_dd,calmar,n_trades,win_rate,fill_rate
BnH SPY,113.67,14.98,0.922,-24.51,0.611,1,100.0,100.0
Baseline (no filter),-35.67,-7.79,-0.452,-46.06,-0.169,4462,68.3,61.0
Filter A: DIX>=med,3.36,0.61,0.115,-27.48,0.022,2233,70.9,60.2
Filter B: GEX>0,-28.33,-5.94,-0.321,-39.93,-0.149,3922,69.0,62.9
Filter C: VIX contango,-29.84,-6.31,-0.347,-41.33,-0.153,3994,67.4,60.9
Filter D: CVD>0,2.27,0.41,0.103,-29.95,0.014,1810,70.1,58.2
A+B: DIX>=med & GEX>0,-0.02,-0.0,0.072,-26.96,-0.0,1981,71.2,61.4
A+C: DIX>=med & VIX contango,-3.47,-0.65,0.027,-28.47,-0.023,2069,69.7,59.5
A+D: DIX>=med & CVD>0,13.36,2.33,0.234,-24.47,0.095,934,73.1,58.9
B+C: GEX>0 & VIX contango,-28.25,-5.92,-0.324,-40.02,-0.148,3639,68.2,62.2
B+D: GEX>0 & CVD>0,5.96,1.07,0.146,-27.58,0.039,1422,70.8,61.3
C+D: VIX contango & CVD>0,2.17,0.4,0.097,-29.26,0.014,1554,68.9,58.2
A+B+C: DIX>=med & GEX>0 & VIX contango,-5.29,-0.99,-0.0,-29.9,-0.033,1873,70.2,60.4
A+B+D: DIX>=med & GEX>0 & CVD>0,9.85,1.74,0.197,-22.55,0.077,719,73.2,61.1
A+C+D: DIX>=med & VIX contango & CVD>0,9.85,1.74,0.2,-24.28,0.072,827,71.2,57.7
B+C+D: GEX>0 & VIX contango & CVD>0,3.84,0.7,0.118,-28.84,0.024,1289,69.7,60.0
A+B+C+D: DIX>=med & GEX>0 & VIX contango & CVD>0,10.57,1.86,0.216,-23.03,0.081,656,71.8,59.0
