type,date,signal_date,block_price,sh_entry,fill_h,reentry_date,sh_ret
hedge_on,2025-08-04,2025-08-01,621.72,37.97,1d,2025-08-05,
hedge_off,2025-08-05,,,,,,-1.0007900974453365
hedge_on,2025-10-31,2025-10-30,679.83,35.14,1d,2025-11-03,
hedge_off,2025-11-03,,,,,,-0.11383039271485318
hedge_on,2025-11-05,2025-11-04,675.24,35.69,1d,2025-11-06,
hedge_off,2025-11-06,,,,,,-0.22415242364807186
hedge_on,2025-11-07,2025-11-06,670.31,36.08,1d,2025-11-10,
hedge_off,2025-11-10,,,,,,-1.3580931263857954
hedge_on,2025-11-14,2025-11-13,672.04,36.23,1d,2025-11-17,
hedge_off,2025-11-17,,,,,,-0.5520287054926687
hedge_on,2025-11-21,2025-11-20,652.53,36.85,1d,2025-11-24,
hedge_off,2025-11-21,,,,,,0.0
hedge_on,2025-12-01,2025-11-28,673.715,35.6,1d,2025-12-02,
hedge_off,2025-12-01,,,,,,0.0
hedge_on,2026-01-21,2026-01-20,677.58,35.74,1d,2026-01-22,
hedge_off,2026-01-22,,,,,,-1.4549524342473474
hedge_on,2026-02-24,2026-02-23,682.39,35.79,1d,2026-02-25,
hedge_off,2026-02-25,,,,,,-1.1735121542330362
hedge_on,2026-03-04,2026-03-03,680.33,35.85,1d,2026-03-05,
hedge_off,2026-03-05,,,,,,-0.055788005578805144
hedge_on,2026-03-09,2026-03-06,672.38,36.69,1d,2026-03-10,
hedge_off,2026-03-10,,,,,,-1.6625783592259413
hedge_on,2026-03-13,2026-03-12,666.1819,36.57,1d,2026-03-16,
hedge_off,2026-03-16,,,,,,0.10937927262784086
hedge_on,2026-03-19,2026-03-18,661.43,37.27,1d,2026-03-20,
hedge_off,2026-03-20,,,,,,-0.18781862087470236
hedge_on,2026-03-20,2026-03-19,655.6925,37.2,1d,2026-03-23,
hedge_off,2026-03-23,,,,,,-0.24193548387098085
hedge_on,2026-03-23,2026-03-20,648.57,37.11,3d,2026-03-26,
hedge_off,2026-03-23,,,,,,0.0
hedge_on,2026-03-25,2026-03-24,653.18,37.09,1d,2026-03-26,
hedge_off,2026-03-26,,,,,,1.02453491507144
hedge_on,2026-03-27,2026-03-26,645.09,38.05,1d,2026-03-30,
hedge_off,2026-03-30,,,,,,0.34165571616295853
hedge_on,2026-03-30,2026-03-27,634.09,38.18,1d,2026-03-31,
hedge_off,2026-03-31,,,,,,0.18334206390779872
hedge_on,2026-04-22,2026-04-21,704.0327,34.53,3d,2026-04-27,
hedge_off,2026-04-23,,,,,,-0.02896032435563134
hedge_on,2026-04-24,2026-04-23,706.3205,34.47,1mo_stop,2026-05-26,
hedge_off,2026-04-27,,,,,,-0.290107339715695
hedge_on,2026-04-29,2026-04-28,710.7833,34.48,1d,2026-04-30,
hedge_off,2026-04-30,,,,,,-0.5220417633410634
hedge_on,2026-05-18,2026-05-15,739.17,33.22,1d,2026-05-19,
hedge_off,2026-05-19,,,,,,0.7224563515954241
hedge_on,2026-05-20,2026-05-19,732.4,33.42,1d,2026-05-21,
hedge_off,2026-05-21,,,,,,-0.418910831837227
hedge_on,2026-06-04,2026-06-03,754.24,32.78,1d,2026-06-05,
hedge_off,2026-06-05,,,,,,0.03050640634532087
hedge_on,2026-06-08,2026-06-05,737.55,33.15,1d,2026-06-09,
hedge_off,2026-06-09,,,,,,-0.030165912518842486
hedge_on,2026-06-10,2026-06-09,733.425,33.63,1d,2026-06-11,
hedge_off,2026-06-11,,,,,,0.5649717514124131
hedge_on,2026-06-11,2026-06-10,725.43,33.82,1d,2026-06-12,
hedge_off,2026-06-12,,,,,,-1.5375517445298748
hedge_on,2026-06-17,2026-06-16,750.0572,32.84,1d,2026-06-18,
hedge_off,2026-06-17,,,,,,0.0
hedge_on,2026-06-18,2026-06-17,740.96,32.92,1mo_stop,,
