player_name,position,pro_team,percent_owned,projected_total_points,injury_status,starting_tomorrow
Freddy Peralta,SP,NYM,94.23,388.0,ACTIVE,False
Logan Webb,SP,SF,89.36,424.0,ACTIVE,False
Ranger Suarez,SP,Bos,73.06,321.0,ACTIVE,False
Brandon Woodruff,SP,Mil,71.5,345.0,FIFTEEN_DAY_DL,False
Shane McClanahan,SP,TB,70.37,210.0,ACTIVE,False
Sandy Alcantara,SP,Mia,68.77,296.0,ACTIVE,False
Kyle Bradish,SP,Bal,67.0,330.0,ACTIVE,False
Justin Wrobleski,RP,LAD,63.83,105.0,ACTIVE,True
Nick Pivetta,SP,SD,63.6,364.0,SIXTY_DAY_DL,False
Eury Perez,SP,Mia,60.85,304.0,FIFTEEN_DAY_DL,False
Carlos Rodon,SP,NYY,58.82,285.0,ACTIVE,True
Tanner Bibee,SP,Cle,56.31,341.0,ACTIVE,False
Michael Soroka,SP,Ari,53.33,168.0,ACTIVE,False
Ryan Weathers,SP,NYY,53.33,174.0,ACTIVE,False
Nick Lodolo,SP,Cin,51.2,320.0,ACTIVE,False
Luis Castillo,SP,Sea,51.14,370.0,ACTIVE,False
Zac Gallen,SP,Ari,48.55,356.0,ACTIVE,False
Andrew Abbott,SP,Cin,47.29,324.0,ACTIVE,False
Matthew Boyd,SP,ChC,41.98,312.0,FIFTEEN_DAY_DL,False
Aaron Nola,SP,Phi,40.61,287.0,ACTIVE,False
Mitch Keller,SP,Pit,39.27,305.0,ACTIVE,False
Randy Vasquez,SP,SD,37.48,145.0,ACTIVE,False
Kris Bubic,SP,KC,37.16,307.0,FIFTEEN_DAY_DL,False
Bryce Miller,SP,Sea,36.1,250.0,ACTIVE,False
Ryan Pepiot,SP,TB,36.02,342.0,SIXTY_DAY_DL,False
Landen Roupp,SP,SF,35.95,185.0,DAY_TO_DAY,False
Jack Flaherty,SP,Det,35.32,305.0,ACTIVE,False
Foster Griffin,SP,Wsh,35.32,211.0,ACTIVE,False
Seth Lugo,SP,KC,35.2,305.0,ACTIVE,True
Edward Cabrera,SP,ChC,34.22,301.0,FIFTEEN_DAY_DL,False
Ben Brown,SP,ChC,32.85,152.0,ACTIVE,False
Griffin Jax,RP,TB,30.86,329.0,ACTIVE,False
Merrill Kelly,SP,Ari,30.78,295.0,ACTIVE,False
Trevor Rogers,SP,Bal,29.63,279.0,ACTIVE,True
Casey Mize,SP,Det,28.84,213.0,FIFTEEN_DAY_DL,False
Michael McGreevy,SP,StL,27.18,201.0,ACTIVE,False
Roki Sasaki,SP,LAD,26.44,226.0,ACTIVE,False
Bubba Chandler,SP,Pit,22.24,266.0,ACTIVE,False
Reid Detmers,RP,LAA,22.12,231.0,ACTIVE,False
Cade Cavalli,SP,Wsh,22.07,196.0,ACTIVE,False
Jack Leiter,SP,Tex,21.41,278.0,ACTIVE,False
Clay Holmes,SP,NYM,19.66,278.0,SIXTY_DAY_DL,False
Jeffrey Springs,SP,Oak,19.63,257.0,ACTIVE,False
Tatsuya Imai,SP,Hou,19.22,256.0,ACTIVE,False
Shane Bieber,SP,Tor,19.19,240.0,SIXTY_DAY_DL,False
Stephen Kolek,SP,KC,18.59,95.0,ACTIVE,False
Jared Jones,SP,Pit,17.91,219.0,ACTIVE,True
Jacob Latz,RP,Tex,17.45,88.0,ACTIVE,False
Sean Burke,SP,ChW,15.26,193.0,ACTIVE,False
J.T. Ginn,SP,Oak,14.98,96.0,ACTIVE,False
