player_name,playerid,fantasy_position,games,AB,H,2B,3B,HR,R,RBI,BB,K,SB,TB,fantasy_pts,avg_pts_per_game
James Wood,29518,OF,112,430,115,26,1,30,100,72,90,151,17,233,361,3.22
CJ Abrams,25768,SS,108,404,117,21,2,28,69,85,42,99,19,226,342,3.17
Junior Caminero,28163,3B,110,415,116,18,1,30,66,66,60,88,2,226,332,3.02
Miguel Vargas,20178,3B,109,404,96,25,1,23,73,64,60,83,11,192,317,2.91
Pete Crow-Armstrong,27769,OF,111,417,118,21,7,24,73,64,56,130,26,225,314,2.83
Ben Rice,29576,1B,106,395,106,19,3,31,70,73,53,111,2,224,311,2.93
Matt Olson,14344,1B,111,432,114,27,0,30,77,68,50,121,2,231,307,2.77
Otto Lopez,19608,SS,108,432,139,28,7,9,67,51,23,64,22,208,307,2.84
Kevin McGonigle,33572,3B,107,407,118,20,3,11,70,41,68,66,11,177,301,2.81
Bryce Harper,11579,1B,111,393,100,21,3,22,66,65,67,99,6,193,298,2.68
Sal Stewart,31505,1B,110,417,106,23,0,23,58,84,51,105,12,198,298,2.71
Luis Arraez,18568,2B,104,415,136,23,7,4,52,43,25,21,10,185,294,2.83
Brice Turang,22186,2B,104,406,110,25,3,16,71,69,61,113,15,189,292,2.81
Freddie Freeman,5361,1B,108,410,127,27,1,15,57,54,50,76,5,201,291,2.69
Alec Burleson,27615,1B,110,422,120,27,1,15,57,71,38,73,3,194,290,2.64
Jordan Walker,27475,OF,109,422,119,23,0,22,67,79,37,117,14,208,288,2.64
Andy Pages,24816,OF,110,424,114,22,2,18,64,71,39,95,10,194,283,2.57
Luis García Jr.,20391,1B,104,357,101,20,5,23,48,76,16,61,4,200,283,2.72
Ozzie Albies,16556,2B,111,434,114,21,0,18,69,62,31,70,2,189,283,2.55
Bryan Reynolds,19326,OF,112,410,110,26,2,15,75,62,68,116,7,185,281,2.51
Ketel Marte,13613,2B,106,431,109,22,3,19,59,62,32,71,4,194,280,2.64
Corbin Carroll,25878,OF,107,402,100,22,12,16,67,52,54,104,15,194,278,2.6
Juan Soto,20123,OF,84,293,83,8,2,21,46,52,63,48,7,158,278,3.31
Liam Hicks,29844,C,100,350,99,9,1,14,54,62,40,38,3,152,273,2.73
Pete Alonso,19251,1B,111,417,104,21,0,23,68,69,56,120,5,194,272,2.45
Geraldo Perdomo,22799,SS,107,382,91,14,4,9,54,41,68,56,17,140,264,2.47
Nico Hoerner,21479,2B,109,435,112,23,1,6,46,51,37,41,16,155,264,2.42
TJ Rumfield,29805,1B,108,384,114,22,2,13,48,57,44,64,0,179,264,2.44
Randy Arozarena,19290,OF,104,382,108,23,1,14,71,49,43,95,20,175,263,2.53
Xavier Edwards,22266,2B,112,410,118,14,6,6,51,40,55,64,18,162,262,2.34
Jake Bauers,15194,1B,100,338,91,16,2,20,66,64,53,102,8,171,260,2.6
Brandon Lowe,18882,2B,103,409,105,25,1,23,68,71,42,125,2,201,259,2.51
Dillon Dingler,27464,C,102,384,103,22,2,23,56,72,26,93,0,198,259,2.54
