player_name,playerid,fantasy_position,games,IP,H,ER,BB,K,W,L,SV,HD,fantasy_pts,avg_pts_per_game,ERA,WHIP
Jacob Misiorowski,31623,SP,17,103.3,54,17,27,156,9,4,0,0,360.9,21.23,1.48,0.784
Cristopher Sánchez,20778,SP,18,115.6,104,26,23,136,10,3,0,0,317.8,17.66,2.02,1.099
Cam Schlittler,32095,SP,18,101.9,79,24,21,123,8,5,0,0,286.7,15.93,2.12,0.981
Yoshinobu Yamamoto,33825,SP,16,103.5,71,29,21,100,9,5,0,0,268.5,16.78,2.52,0.889
Chase Burns,35333,SP,17,96.5,74,26,31,116,10,1,0,0,266.5,15.68,2.42,1.088
Max Meyer,27474,SP,18,101.6,78,29,36,112,9,1,0,0,260.8,14.49,2.57,1.122
Braxton Ashcraft,23793,SP,18,106,94,39,25,122,9,3,0,0,255,14.17,3.31,1.123
Logan Gilbert,22250,SP,18,105,80,38,22,114,7,5,0,0,255,14.17,3.26,0.971
Foster Griffin,16432,SP,18,102.4,81,33,26,100,9,2,0,0,248.2,13.79,2.9,1.045
Shohei Ohtani,19755,SP,14,85.2,55,17,26,95,8,2,0,0,247.6,17.69,1.8,0.951
Joe Ryan,21390,SP,19,103.4,86,39,23,122,6,5,0,0,247.2,13.01,3.39,1.054
Chris Sale,10603,SP,16,93.6,82,24,24,112,9,6,0,0,244.8,15.3,2.31,1.132
Drew Rasmussen,25385,SP,17,96.3,70,30,17,96,7,4,0,0,243.9,14.35,2.8,0.903
Mason Miller,31757,RP,35,34.1,17,4,13,67,2,1,22,0,243.3,6.95,1.06,0.88
Louis Varland,27691,RP,42,43.5,32,5,13,65,3,3,18,5,240.5,5.73,1.03,1.034
Dylan Cease,18525,SP,16,88,66,28,41,137,5,4,0,0,240,15,2.86,1.216
Parker Messick,31986,SP,18,101.8,83,33,32,109,7,5,0,0,237.4,13.19,2.92,1.13
Jacob deGrom,10954,SP,17,94.5,75,37,20,115,7,5,0,0,233.5,13.74,3.52,1.005
Cade Smith,27867,RP,38,38,36,13,10,57,2,1,26,0,231,6.08,3.08,1.211
Gavin Williams,30122,SP,18,104.7,90,46,36,123,9,4,0,0,229.1,12.73,3.95,1.203
Paul Skenes,33677,SP,18,95.6,76,39,22,119,6,8,0,0,225.8,12.54,3.67,1.025
Nolan McLean,33703,SP,18,99.7,76,42,37,118,6,5,0,0,222.1,12.34,3.79,1.133
Eduardo Rodriguez,13164,SP,18,105.9,87,27,38,74,7,3,0,0,220.7,12.26,2.29,1.18
Zack Wheeler,10310,SP,13,78.6,55,21,20,84,8,1,0,0,216.8,16.68,2.4,0.954
Emerson Hancock,27470,SP,17,96.5,75,35,24,92,6,4,0,0,216.5,12.74,3.26,1.026
Bryan Baker,19804,RP,36,33.4,17,7,11,37,1,0,23,2,216.2,6.01,1.89,0.838
Jesús Luzardo,19959,SP,18,100.3,98,43,33,125,7,4,0,0,214.9,11.94,3.86,1.306
Jacob Latz,21306,SP,33,39.9,17,8,9,43,1,1,18,2,214.7,6.51,1.8,0.652
Sonny Gray,12768,SP,16,88.5,76,26,23,82,10,1,0,0,214.5,13.41,2.64,1.119
Kyle Harrison,27758,SP,16,77.8,66,25,20,99,8,1,0,0,210.4,13.15,2.89,1.105
Nathan Eovaldi,9132,SP,17,104.4,99,47,24,110,9,7,0,0,210.2,12.36,4.05,1.178
Michael Wacha,14078,SP,18,113.5,102,44,31,91,5,6,0,0,208.5,11.58,3.49,1.172
Justin Wrobleski,31204,SP,15,92.4,76,29,18,64,10,2,0,0,205.2,13.68,2.82,1.017
Sandy Alcantara,18684,SP,19,121.8,122,55,33,92,10,4,0,0,204.4,10.76,4.06,1.273
Reid Detmers,27468,SP,18,101.4,82,48,34,117,3,6,0,0,203.20000000000002,11.29,4.26,1.144
José Soriano,22100,SP,18,97.9,83,38,49,111,8,5,0,0,202.70000000000002,11.26,3.49,1.348
Bryan Woo,30279,SP,17,98.4,83,46,19,97,7,6,0,0,200.2,11.78,4.21,1.037
Sean Burke,29878,SP,18,96.1,87,39,33,106,5,4,0,0,198.29999999999998,11.02,3.65,1.249
Davis Martin,21448,SP,17,94,92,33,29,90,9,3,0,0,197,11.59,3.16,1.287
Ranger Suarez,17277,SP,17,89,80,32,26,97,4,3,0,0,196,11.53,3.24,1.191
Jhoan Duran,21029,RP,31,29.2,22,5,6,45,1,3,21,0,195.6,6.31,1.54,0.959
Nick Martinez,12730,SP,17,97.9,95,29,18,61,7,2,0,0,193.7,11.39,2.67,1.154
Shota Imanaga,33829,SP,18,100.9,87,49,26,100,5,7,0,0,187.7,10.43,4.37,1.12
Ben Brown,23590,SP,20,66.6,45,14,19,65,4,2,1,2,185.8,9.29,1.89,0.961
Michael Soroka,18383,SP,15,80.6,72,28,17,79,8,3,0,0,185.8,12.39,3.13,1.104
Michael King,19853,SP,18,100,78,40,41,88,5,7,0,0,185,10.28,3.6,1.19
J.T. Ginn,27889,SP,19,92.1,75,32,41,82,7,4,0,0,184.3,9.7,3.13,1.26
Robbie Ray,11486,SP,18,99.1,79,39,46,86,8,6,0,0,184.29999999999998,10.24,3.54,1.261
Taj Bradley,22543,SP,16,86.8,76,38,38,102,7,3,0,0,180.4,11.28,3.94,1.313
Connelly Early,33666,SP,17,89.1,81,35,34,93,7,5,0,0,179.3,10.55,3.54,1.291
Riley O'Brien,20348,RP,36,34.7,30,15,12,35,3,3,22,1,179.1,4.97,3.89,1.21
Keider Montero,22630,SP,18,90.1,70,33,20,59,5,5,1,0,178.3,9.91,3.3,0.999
Kevin Gausman,14107,SP,18,98.9,96,47,24,100,4,7,0,0,176.70000000000002,9.82,4.28,1.213
George Kirby,25436,SP,17,101.9,113,44,24,91,7,7,0,0,171.70000000000002,10.1,3.89,1.344
Tanner Scott,17586,RP,38,33.1,22,8,3,45,1,3,12,6,171.3,4.51,2.18,0.755
Logan Webb,17995,SP,15,93.1,85,38,24,78,5,6,0,0,170.3,11.35,3.67,1.171
Trevor Megill,17722,RP,36,35,24,12,10,44,2,2,13,7,170,4.72,3.09,0.971
Cade Cavalli,27473,SP,19,90.1,97,40,31,105,5,4,0,0,169.3,8.91,4,1.421
MacKenzie Gore,22201,SP,18,93.9,83,46,39,104,5,7,0,0,167.7,9.32,4.41,1.299
Shane McClanahan,21483,SP,16,77.8,65,27,28,77,7,5,0,0,167.4,10.46,3.12,1.195
Tanner Bibee,30134,SP,19,104.7,91,48,30,84,2,9,0,0,167.1,8.79,4.13,1.156
Andre Pallante,26108,SP,17,92.9,89,38,27,70,10,5,0,0,166.70000000000002,9.81,3.68,1.249
Eury Pérez,27768,SP,15,78.5,56,34,32,89,5,6,0,0,166.5,11.1,3.9,1.121
Bryce Miller,29837,SP,9,51.5,30,10,5,62,4,2,0,0,165.5,18.39,1.75,0.68
Kyle Bradish,24586,SP,18,98.8,93,42,48,101,5,9,0,0,164.4,9.13,3.83,1.427
Casey Mize,20492,SP,13,68.4,54,21,16,72,4,5,0,0,163.20000000000002,12.55,2.76,1.023
Michael McGreevy,29869,SP,17,94.4,84,33,22,60,3,7,0,0,163.2,9.6,3.15,1.123
Will Warren,30182,SP,17,85.6,90,37,29,91,7,3,0,0,162.8,9.58,3.89,1.39
Joey Cantillo,23335,SP,18,88.9,80,39,44,89,7,3,0,0,161.70000000000002,8.98,3.95,1.395
Peter Lambert,17969,SP,14,77.9,60,29,32,74,7,5,0,0,161.7,11.55,3.35,1.181
Ryan Weathers,23796,SP,17,89.3,88,44,27,104,3,7,0,0,160.89999999999998,9.46,4.43,1.288
David Bednar,19569,RP,34,33.9,31,12,12,43,2,3,17,0,160.7,4.73,3.19,1.268
Tarik Skubal,22267,SP,11,63.8,52,23,8,75,4,4,0,0,160.4,14.58,3.24,0.94
Bryce Elder,27779,SP,17,96.1,91,44,30,83,5,6,0,0,160.3,9.43,4.12,1.259
Raisel Iglesias,17130,RP,28,28.4,25,5,6,32,0,2,17,0,157.2,5.61,1.58,1.092
Spencer Arrighetti,29921,SP,14,77.3,58,33,38,79,7,4,0,0,154.9,11.06,3.84,1.242
