team_name,player_name,slot_position,position,points,injury_status
Chandler Simpson Worshipper,Tarik Skubal,IL,SP,0.0,FIFTEEN_DAY_DL
Chandler Simpson Worshipper,Cal Raleigh,BE,C,0.0,TEN_DAY_DL
Chandler Simpson Worshipper,Junior Caminero,3B,3B,1.0,ACTIVE
Chandler Simpson Worshipper,Edwin Diaz,IL,RP,0.0,SIXTY_DAY_DL
Chandler Simpson Worshipper,Hunter Brown,IL,SP,0.0,SIXTY_DAY_DL
Chandler Simpson Worshipper,Aroldis Chapman,P,RP,0.0,ACTIVE
Chandler Simpson Worshipper,Brandon Lowe,2B,2B,7.0,ACTIVE
Chandler Simpson Worshipper,Oneil Cruz,OF,CF,7.0,ACTIVE
Chandler Simpson Worshipper,Andy Pages,OF,CF,0.0,ACTIVE
Chandler Simpson Worshipper,Chandler Simpson,OF,CF,-1.0,ACTIVE
Chandler Simpson Worshipper,Xavier Edwards,SS,2B,2.0,ACTIVE
Chandler Simpson Worshipper,Bryan Baker,P,RP,3.0,ACTIVE
Chandler Simpson Worshipper,Antonio Senzatela,P,SP,0.0,ACTIVE
Chandler Simpson Worshipper,Dillon Dingler,C,C,1.0,ACTIVE
Chandler Simpson Worshipper,Jonathan Aranda,1B,1B,-2.0,ACTIVE
Chandler Simpson Worshipper,Nick Martinez,BE,SP,0.0,ACTIVE
Chandler Simpson Worshipper,Drew Rasmussen,P,SP,0.0,ACTIVE
Chandler Simpson Worshipper,Nathan Eovaldi,P,SP,5.0,ACTIVE
Chandler Simpson Worshipper,Jesus Luzardo,P,SP,0.0,ACTIVE
Chandler Simpson Worshipper,Emmet Sheehan,BE,SP,0.0,ACTIVE
Chandler Simpson Worshipper,Fernando Tatis Jr.,UTIL,RF,5.0,ACTIVE
Chandler Simpson Worshipper,Shane Baz,P,SP,19.0,ACTIVE
2 balls 1 bat,Jose Ramirez,3B,3B,9.0,ACTIVE
2 balls 1 bat,Kyle Tucker,OF,RF,0.0,ACTIVE
2 balls 1 bat,Cristopher Sanchez,BE,SP,0.0,ACTIVE
2 balls 1 bat,Brice Turang,2B,2B,5.0,ACTIVE
2 balls 1 bat,Gavin Williams,P,SP,0.0,ACTIVE
2 balls 1 bat,Liam Hicks,C,C,3.0,ACTIVE
2 balls 1 bat,Matt Olson,1B,1B,9.0,ACTIVE
2 balls 1 bat,Parker Messick,BE,SP,0.0,ACTIVE
2 balls 1 bat,Braxton Ashcraft,P,RP,0.0,ACTIVE
2 balls 1 bat,Bryce Elder,P,SP,15.0,ACTIVE
2 balls 1 bat,Davis Martin,P,SP,-11.0,ACTIVE
2 balls 1 bat,JJ Wetherholt,SS,SS,3.0,ACTIVE
2 balls 1 bat,Jackson Chourio,OF,CF,7.0,ACTIVE
