matchup,time
Milwaukee Brewers @ St. Louis Cardinals,2:15 PM ET
Milwaukee Brewers @ St. Louis Cardinals,7:45 PM ET
Chicago Cubs @ Baltimore Orioles,6:35 PM ET
Athletics @ Detroit Tigers,6:40 PM ET
Atlanta Braves @ Pittsburgh Pirates,6:40 PM ET
Seattle Mariners @ Miami Marlins,6:40 PM ET
New York Yankees @ Tampa Bay Rays,6:40 PM ET
Houston Astros @ Washington Nationals,6:45 PM ET
Kansas City Royals @ New York Mets,7:10 PM ET
Philadelphia Phillies @ Cincinnati Reds,7:10 PM ET
Cleveland Guardians @ Minnesota Twins,7:40 PM ET
Boston Red Sox @ Chicago White Sox,7:40 PM ET
Los Angeles Angels @ Texas Rangers,8:05 PM ET
Arizona Diamondbacks @ San Diego Padres,9:40 PM ET
Toronto Blue Jays @ San Francisco Giants,9:45 PM ET
Colorado Rockies @ Los Angeles Dodgers,10:10 PM ET
