matchup,time
Miami Marlins @ Philadelphia Phillies,6:40 PM ET
Kansas City Royals @ Washington Nationals,6:45 PM ET
Toronto Blue Jays @ Boston Red Sox,6:45 PM ET
Chicago White Sox @ New York Yankees,7:05 PM ET
New York Mets @ Cincinnati Reds,7:10 PM ET
San Francisco Giants @ Atlanta Braves,7:15 PM ET
Cleveland Guardians @ Milwaukee Brewers,7:40 PM ET
San Diego Padres @ St. Louis Cardinals,7:45 PM ET
Colorado Rockies @ Chicago Cubs,8:05 PM ET
Minnesota Twins @ Texas Rangers,8:05 PM ET
Detroit Tigers @ Houston Astros,8:10 PM ET
Los Angeles Angels @ Arizona Diamondbacks,9:40 PM ET
Pittsburgh Pirates @ Athletics,9:40 PM ET
Baltimore Orioles @ Seattle Mariners,9:40 PM ET
Tampa Bay Rays @ Los Angeles Dodgers,10:10 PM ET
