pitcher_name,team,matchup,home_away,game_date
Andrew Abbott,Cincinnati Reds,Colorado Rockies @ Cincinnati Reds,home,2026-04-30
Bailey Ober,Minnesota Twins,Toronto Blue Jays @ Minnesota Twins,home,2026-04-30
Brandon Woodruff,Milwaukee Brewers,Arizona Diamondbacks @ Milwaukee Brewers,home,2026-04-30
Brandon Young,Baltimore Orioles,Houston Astros @ Baltimore Orioles,home,2026-04-30
Bryce Elder,Atlanta Braves,Detroit Tigers @ Atlanta Braves,home,2026-04-30
Chris Bassitt,Baltimore Orioles,Houston Astros @ Baltimore Orioles,home,2026-04-30
Cristopher Sánchez,Philadelphia Phillies,San Francisco Giants @ Philadelphia Phillies,home,2026-04-30
Framber Valdez,Detroit Tigers,Detroit Tigers @ Atlanta Braves,away,2026-04-30
Freddy Peralta,New York Mets,Washington Nationals @ New York Mets,home,2026-04-30
Hunter Dobbins,St. Louis Cardinals,St. Louis Cardinals @ Pittsburgh Pirates,away,2026-04-30
Jeffrey Springs,Athletics,Kansas City Royals @ Athletics,home,2026-04-30
Kevin Gausman,Toronto Blue Jays,Toronto Blue Jays @ Minnesota Twins,away,2026-04-30
Lance McCullers Jr.,Houston Astros,Houston Astros @ Baltimore Orioles,away,2026-04-30
Logan Webb,San Francisco Giants,San Francisco Giants @ Philadelphia Phillies,away,2026-04-30
Michael Lorenzen,Colorado Rockies,Colorado Rockies @ Cincinnati Reds,away,2026-04-30
Michael Soroka,Arizona Diamondbacks,Arizona Diamondbacks @ Milwaukee Brewers,away,2026-04-30
Miles Mikolas,Washington Nationals,Washington Nationals @ New York Mets,away,2026-04-30
Noah Cameron,Kansas City Royals,Kansas City Royals @ Athletics,away,2026-04-30
Paul Skenes,Pittsburgh Pirates,St. Louis Cardinals @ Pittsburgh Pirates,home,2026-04-30
