game_date,game_pk,game_year,game_type,batter,pitcher,player_name,stand,p_throws,home_team,away_team,inning,inning_topbot,at_bat_number,pitch_number,balls,strikes,outs_when_up,pitch_type,pitch_name,release_speed,release_spin_rate,release_extension,effective_speed,plate_x,plate_z,zone,pfx_x,pfx_z,description,events,bb_type,hit_location,launch_speed,launch_angle,hit_distance_sc,hc_x,hc_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,babip_value,iso_value,delta_run_exp,delta_home_win_exp,bat_speed,swing_length,attack_angle,swing_path_tilt,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,sz_top,sz_bot
2026-08-01,823269,2026,R,593428,641816,"Bogaerts, Xander",R,R,SD,SF,6,Bot,52,6,3,2,2,FF,4-Seam Fastball,95.0,2313.0,7.0,95.6,0.6768308093899673,1.9371286652159505,9.0,-1.15,1.53,hit_into_play,single,line_drive,9.0,98.8,10.0,219.0,181.38,131.35,0.777,0.736,0.9,1.0,0.0,0.289,0.01,82.4,7.0,-15.155818545404962,39.16769826065379,3,2,3.284949147,1.657824803
2026-08-01,824808,2026,R,665750,650911,"Taveras, Leody",R,L,BAL,PHI,6,Bot,49,6,3,2,2,SI,Sinker,95.2,2112.0,6.9,95.9,0.3546431124023235,2.196399814507757,6.0,1.41,0.22,hit_into_play,field_out,ground_ball,6.0,94.3,-27.0,4.0,107.22,154.22,0.101,0.091,0.0,0.0,0.0,-0.296,-0.156,69.8,6.7,-5.653241247531599,32.66081305137354,3,2,3.286704396,1.65871063
2026-08-01,824808,2026,R,681082,669358,"Stott, Bryson",L,R,BAL,PHI,7,Top,51,15,3,2,1,FF,4-Seam Fastball,98.1,2386.0,6.8,98.0,-0.1179763843060673,1.525607659418528,8.0,-0.65,1.26,hit_into_play,single,ground_ball,6.0,101.6,4.0,98.0,104.68,141.55,0.594,0.554,0.9,1.0,0.0,0.335,-0.022,70.4,7.1,-5.999759977514046,38.16060006771328,3,2,3.225270669,1.627706693
2026-08-01,823269,2026,R,593428,641816,"Bogaerts, Xander",R,R,SD,SF,6,Bot,52,5,3,1,2,FC,Cutter,89.8,2555.0,6.9,90.3,0.4827817794715904,1.608276811872157,9.0,-0.01,0.8,swinging_strike,,,,,,,,,,,,,,-0.093,-0.003,69.6,8.0,14.069647972351296,31.144981814599745,3,2,3.284949147,1.657824803
2026-08-01,824808,2026,R,681082,669358,"Stott, Bryson",L,R,BAL,PHI,7,Top,51,14,3,2,1,CH,Changeup,89.7,1857.0,6.7,90.0,0.3189220229748559,2.7200274920617966,6.0,-1.09,1.0,foul,,,,99.5,43.0,330.0,,,,,,,,0.0,0.0,67.8,7.6,19.901061548046727,28.51179585605736,3,2,3.225270669,1.627706693
2026-08-01,824485,2026,R,693304,671096,"Gonzales, Nick",R,L,CIN,PIT,5,Top,38,2,0,1,2,FC,Cutter,89.9,2540.0,6.5,90.3,-0.5055273943102019,1.9622468835041176,7.0,-0.08,0.71,hit_into_play,field_out,ground_ball,5.0,86.5,-24.0,4.0,108.23,167.9,0.087,0.078,0.0,0.0,0.0,-0.234,0.011,74.3,7.4,1.204191493978755,45.55539462893948,3,2,3.05062336,1.539566929
2026-08-01,824808,2026,R,665750,650911,"Taveras, Leody",R,L,BAL,PHI,6,Bot,49,5,2,2,2,SL,Slider,88.0,2166.0,7.0,88.8,-2.6639317194076844,0.1963021745751358,13.0,0.01,-0.36,blocked_ball,,,,,,,,,,,,,,0.089,0.045,,,,,3,2,3.286704396,1.65871063
2026-08-01,824808,2026,R,681082,669358,"Stott, Bryson",L,R,BAL,PHI,7,Top,51,13,3,2,1,KC,Knuckle Curve,86.3,2638.0,6.7,86.7,0.4733892499080769,1.4723899639461715,14.0,0.43,-0.63,foul,,,,91.6,15.0,211.0,,,,,,,,0.0,0.0,73.5,8.3,22.72074771955732,36.56285454902604,3,2,3.225270669,1.627706693
2026-08-01,823269,2026,R,593428,641816,"Bogaerts, Xander",R,R,SD,SF,6,Bot,52,4,2,1,2,FF,4-Seam Fastball,94.8,2291.0,7.0,95.5,1.3247413505044887,1.166268581918496,14.0,-1.11,1.53,ball,,,,,,,,,,,,,,0.097,0.004,,,,,3,2,3.284949147,1.657824803
2026-08-01,824649,2026,R,682987,656849,"Jones, Spencer",L,L,CHC,NYY,7,Top,48,1,0,0,1,FF,4-Seam Fastball,90.6,2182.0,7.3,92.6,-0.2871827930398745,2.47269725089618,4.0,0.18,0.84,hit_into_play,home_run,fly_ball,,106.0,22.0,370.0,55.53,67.16,0.843,1.415,2.0,0.0,3.0,1.583,-0.207,75.2,7.7,6.236673137933954,43.917654494446765,3,2,3.499967192,1.766338583
2026-08-01,824485,2026,R,693304,671096,"Gonzales, Nick",R,L,CIN,PIT,5,Top,38,1,0,0,2,CU,Curveball,80.8,2910.0,6.5,81.1,-0.1593565348693887,2.181226206754039,5.0,-0.86,-0.25,called_strike,,,,,,,,,,,,,,-0.04,0.002,,,,,3,2,3.05062336,1.539566929
2026-08-01,824808,2026,R,665750,650911,"Taveras, Leody",R,L,BAL,PHI,6,Bot,49,4,2,1,2,SI,Sinker,95.7,2107.0,6.8,96.1,0.9817899768907864,2.624711846730805,12.0,1.61,0.54,foul,,,,67.9,45.0,177.0,,,,,,,,-0.088,-0.037,68.1,6.7,-5.736833166562089,26.258689806842188,3,2,3.286704396,1.65871063
2026-08-01,822781,2026,R,662139,687273,"Varsho, Daulton",L,L,TOR,STL,6,Bot,50,1,0,0,0,SL,Slider,83.9,2268.0,6.6,84.5,-0.5726761590448348,2.589542476785002,1.0,-0.27,0.08,hit_into_play,single,ground_ball,3.0,28.2,21.0,41.0,143.61,182.85,0.308,0.277,0.9,1.0,0.0,0.127,0.032,11.5,2.0,-73.796482575905,48.39499485337406,3,2,3.036581365,1.532480315
2026-08-01,822944,2026,R,695657,656876,"Montgomery, Colson",L,R,TB,CWS,6,Top,40,5,1,2,2,SI,Sinker,96.8,2436.0,6.4,96.4,0.0080656122412043,2.024503643067628,8.0,-1.38,1.17,called_strike,strikeout,,2.0,,,,,,,0.0,0.0,0.0,0.0,-0.178,0.012,,,,,3,2,3.340239501,1.685728347
