GAME_DATE_EST,game_id,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY_NAME,TEAM_NAME,PTS,team_name,game_code,game_status,game_status_text
2026-02-28T00:00:00,0022500863,1610612757,POR,Portland,Trail Blazers,93,Portland Trail Blazers,20260228/PORCHA,3,Final
2026-02-28T00:00:00,0022500863,1610612766,CHA,Charlotte,Hornets,109,Charlotte Hornets,20260228/PORCHA,3,Final
2026-02-28T00:00:00,0022500864,1610612745,HOU,Houston,Rockets,105,Houston Rockets,20260228/HOUMIA,3,Final
2026-02-28T00:00:00,0022500864,1610612748,MIA,Miami,Heat,115,Miami Heat,20260228/HOUMIA,3,Final
2026-02-28T00:00:00,0022500865,1610612761,TOR,Toronto,Raptors,134,Toronto Raptors,20260228/TORWAS,3,Final
2026-02-28T00:00:00,0022500865,1610612764,WAS,Washington,Wizards,125,Washington Wizards,20260228/TORWAS,3,Final
2026-02-28T00:00:00,0022500866,1610612747,LAL,Los Angeles,Lakers,129,Los Angeles Lakers,20260228/LALGSW,3,Final
2026-02-28T00:00:00,0022500866,1610612744,GSW,Golden State,Warriors,101,Golden State Warriors,20260228/LALGSW,3,Final
2026-02-28T00:00:00,0022500867,1610612740,NOP,New Orleans,Pelicans,115,New Orleans Pelicans,20260228/NOPUTA,3,Final
2026-02-28T00:00:00,0022500867,1610612762,UTA,Utah,Jazz,105,Utah Jazz,20260228/NOPUTA,3,Final
2026-03-01T00:00:00,0022500868,1610612759,SAS,San Antonio,Spurs,89,San Antonio Spurs,20260301/SASNYK,3,Final
2026-03-01T00:00:00,0022500868,1610612752,NYK,New York,Knicks,114,New York Knicks,20260301/SASNYK,3,Final
2026-03-01T00:00:00,0022500869,1610612739,CLE,Cleveland,Cavaliers,106,Cleveland Cavaliers,20260301/CLEBKN,3,Final
2026-03-01T00:00:00,0022500869,1610612751,BKN,Brooklyn,Nets,102,Brooklyn Nets,20260301/CLEBKN,3,Final
2026-03-01T00:00:00,0022500870,1610612749,MIL,Milwaukee,Bucks,97,Milwaukee Bucks,20260301/MILCHI,3,Final
2026-03-01T00:00:00,0022500870,1610612741,CHI,Chicago,Bulls,120,Chicago Bulls,20260301/MILCHI,3,Final
2026-03-01T00:00:00,0022500871,1610612750,MIN,Minnesota,Timberwolves,117,Minnesota Timberwolves,20260301/MINDEN,3,Final
2026-03-01T00:00:00,0022500871,1610612743,DEN,Denver,Nuggets,108,Denver Nuggets,20260301/MINDEN,3,Final
2026-03-01T00:00:00,0022500872,1610612763,MEM,Memphis,Grizzlies,125,Memphis Grizzlies,20260301/MEMIND,3,Final
2026-03-01T00:00:00,0022500872,1610612754,IND,Indiana,Pacers,106,Indiana Pacers,20260301/MEMIND,3,Final
2026-03-01T00:00:00,0022500873,1610612757,POR,Portland,Trail Blazers,101,Portland Trail Blazers,20260301/PORATL,3,Final
2026-03-01T00:00:00,0022500873,1610612737,ATL,Atlanta,Hawks,135,Atlanta Hawks,20260301/PORATL,3,Final
2026-03-01T00:00:00,0022500875,1610612765,DET,Detroit,Pistons,106,Detroit Pistons,20260301/DETORL,3,Final
2026-03-01T00:00:00,0022500875,1610612753,ORL,Orlando,Magic,92,Orlando Magic,20260301/DETORL,3,Final
2026-03-01T00:00:00,0022500874,1610612755,PHI,Philadelphia,76ers,35,Philadelphia 76ers,20260301/PHIBOS,2,2nd Qtr             
2026-03-01T00:00:00,0022500874,1610612738,BOS,Boston,Celtics,25,Boston Celtics,20260301/PHIBOS,2,2nd Qtr             
2026-03-01T00:00:00,0022500876,1610612760,OKC,Oklahoma City,Thunder,36,Oklahoma City Thunder,20260301/OKCDAL,2,2nd Qtr             
2026-03-01T00:00:00,0022500876,1610612742,DAL,Dallas,Mavericks,25,Dallas Mavericks,20260301/OKCDAL,2,2nd Qtr             
