game_id,opponent,player_id,season,team,week,proj_adp_dd_ppr,proj_bonus_rec_te,proj_def_fum_td,proj_fum,proj_fum_lost,proj_gp,proj_pos_adp_dd_ppr,proj_pts_half_ppr,proj_pts_ppr,proj_pts_std,proj_rec,proj_rec_0_4,proj_rec_10_19,proj_rec_20_29,proj_rec_2pt,proj_rec_30_39,proj_rec_40p,proj_rec_5_9,proj_rec_fd,proj_rec_td,proj_rec_tgt,proj_rec_yd,proj_bonus_rec_rb,proj_rush_2pt,proj_rush_40p,proj_rush_att,proj_rush_fd,proj_rush_td,proj_rush_yd,proj_fga,proj_fgm,proj_fgm_20_29,proj_fgm_30_39,proj_fgm_40_49,proj_fgm_50p,proj_fgm_yds,proj_fgmiss_30_39,proj_fgmiss_40_49,proj_fgmiss_50p,proj_xpa,proj_xpm,proj_xpmiss,proj_bonus_rec_wr,proj_cmp_pct,proj_pass_2pt,proj_pass_att,proj_pass_cmp,proj_pass_cmp_40p,proj_pass_fd,proj_pass_inc,proj_pass_int,proj_pass_int_td,proj_pass_sack,proj_pass_td,proj_pass_yd,proj_def_kr_yd,proj_pr,proj_pr_td,proj_pr_yd,proj_blk_kick,proj_def_pr_yd,proj_def_td,proj_ff,proj_fum_rec,proj_int,proj_pts_allow,proj_pts_allow_21_27,proj_sack,proj_safe,proj_tkl_loss,proj_yds_allow,proj_yds_allow_350_399,proj_pts_allow_14_20,proj_yds_allow_200_299,proj_yds_allow_300_349,proj_def_kr_td
202511207,CIN,3214,2025,NE,12,84.0,3.61,0.0,0.07,0.03,1.0,10.0,8.45,10.25,6.64,3.61,0.72,1.08,0.72,0.01,0.36,0.36,0.72,4.4,0.38,5.1,43.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202511203,NYJ,3198,2025,BAL,12,19.0,,0.0,0.21,0.09,1.0,6.0,16.7,17.18,16.22,0.96,0.19,0.29,0.19,0.0,0.1,0.1,0.19,0.85,0.08,1.19,8.47,0.96,0.04,0.28,18.07,8.87,1.02,88.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202511209,DAL,4195,2025,PHI,12,999.0,,,,,1.0,999.0,9.11,9.11,9.11,,,,,,,,,,,,,,,,,,,,2.1,1.77,0.46,0.52,0.52,0.26,72.53,0.07,0.13,0.13,3.01,2.88,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202511209,DAL,5859,2025,PHI,12,18.0,,0.0,0.06,0.03,1.0,12.0,13.29,15.7,10.87,4.83,0.97,1.45,0.97,0.01,0.48,0.48,0.97,7.33,0.59,7.57,73.26,,,,0.03,0.01,0.0,0.15,,,,,,,,,,,,,,4.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202511222,ATL,4035,2025,NO,12,57.0,,0.0,0.19,0.08,1.0,20.0,11.42,12.88,9.95,2.92,0.58,0.88,0.58,0.0,0.29,0.29,0.58,2.01,0.16,3.69,20.15,2.92,0.01,0.07,15.32,6.06,0.17,60.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202511203,NYJ,4881,2025,BAL,12,35.0,,0.01,0.65,0.28,1.0,5.0,24.5,24.5,24.5,,,,,,,,,,,,,,0.01,0.06,7.53,4.69,0.29,46.94,,,,,,,,,,,,,,,65.93,0.08,26.94,17.76,0.35,21.98,9.18,0.47,0.02,1.91,2.18,219.84,,,,,,,,,,,,,,,,,,,,,
202511201,JAX,8130,2025,ARI,12,9.0,7.25,0.0,0.07,0.03,1.0,1.0,14.88,18.5,11.26,7.25,1.45,2.17,1.45,0.02,0.72,0.72,1.45,7.86,0.56,10.25,78.59,,,0.0,0.11,0.05,0.01,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202511211,NYG,7547,2025,DET,12,7.0,,0.0,0.08,0.03,1.0,3.0,16.17,19.37,12.97,6.4,1.28,1.92,1.28,0.02,0.64,0.64,1.28,8.3,0.76,9.08,82.97,,0.0,0.0,0.2,0.12,0.01,1.16,,,,,,,,,,,,,,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202511232,LAR,8136,2025,TB,12,100.0,,0.0,0.21,0.09,1.0,31.0,8.84,10.19,7.49,2.7,0.54,0.81,0.54,0.0,0.27,0.27,0.54,1.66,0.15,3.03,16.61,2.7,0.01,0.04,9.49,3.42,0.28,34.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202511234,TEN,8676,2025,SEA,12,103.0,,0.0,0.09,0.04,1.0,44.0,7.17,8.55,5.8,2.75,0.55,0.83,0.55,0.01,0.28,0.28,0.55,4.22,0.27,4.2,42.23,,0.0,0.0,,,,,,,,,,,,,,,,,,2.75,,,,,,,,,,,,,24.55,1.5,0.07,17.05,,,,,,,,,,,,,,,,,
202511211,NYG,8148,2025,DET,12,36.0,,0.0,0.07,0.03,1.0,18.0,11.81,13.69,9.94,3.75,0.75,1.13,0.75,0.01,0.38,0.38,0.75,6.52,0.52,6.43,65.19,,0.0,0.0,0.4,0.22,0.02,2.23,,,,,,,,,,,,,,3.75,,,,,,,,,,,,,1.96,,,,,,,,,,,,,,,,,,,,
202511209,DAL,PHI,2025,PHI,12,999.0,,0.05,,,1.0,999.0,6.51,6.51,6.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,33.24,,,14.25,0.05,47.48,0.14,0.85,0.47,0.76,22.5,1.0,2.14,0.05,4.32,352.01,1.0,,,,
202511212,MIN,GB,2025,GB,12,999.0,,0.11,,,1.0,999.0,7.37,7.37,7.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,45.35,,,15.71,0.06,61.05,0.17,0.91,0.57,0.74,17.5,,2.68,,4.85,296.67,,1.0,1.0,,
202511225,CLE,10213,2025,LV,12,75.0,,0.0,0.05,0.02,1.0,35.0,8.62,10.27,6.96,3.31,0.66,0.99,0.66,0.01,0.33,0.33,0.66,4.49,0.35,5.6,44.92,,0.0,0.0,0.6,0.28,0.02,2.79,,,,,,,,,,,,,,3.31,,,,,,,,,,,,,15.03,0.71,,6.6,,,,,,,,,,,,,,,,,
202511212,MIN,11435,2025,GB,12,39.0,,0.0,0.25,0.11,1.0,13.0,13.36,14.53,12.19,2.33,0.47,0.7,0.47,0.0,0.23,0.23,0.47,1.61,0.15,2.87,16.05,2.33,0.02,0.07,16.49,6.96,0.49,69.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202511211,NYG,11539,2025,DET,12,999.0,,,,,1.0,999.0,10.61,10.61,10.61,,,,,,,,,,,,,,,,,,,,2.33,1.96,0.36,0.58,0.58,0.44,83.49,0.07,0.15,0.15,3.56,3.42,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202511216,IND,10229,2025,KC,12,11.0,,0.0,0.09,0.04,1.0,5.0,14.42,17.47,11.37,6.1,1.22,1.83,1.22,0.02,0.61,0.61,1.22,7.23,0.67,8.46,72.33,,,0.0,0.21,0.08,0.01,0.79,,,,,,,,,,,,,,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202511207,CIN,11564,2025,NE,12,27.0,,0.01,0.69,0.3,1.0,3.0,25.26,25.26,25.26,,,,,,,,,,,,,,0.01,0.02,5.66,3.42,0.26,34.15,,,,,,,,,,,,,,,68.68,0.07,31.87,21.89,0.31,27.39,9.98,0.83,0.03,2.6,2.03,273.86,,,,,,,,,,,,,,,,,,,,,
202511212,GB,11565,2025,MIN,12,136.0,,0.01,0.43,0.19,1.0,23.0,17.39,17.39,17.39,,,,,,,,,,,,,,0.01,0.01,3.79,1.77,0.17,17.72,,,,,,,,,,,,,,,58.86,0.06,32.48,19.12,0.28,18.43,13.36,1.09,0.03,2.14,1.32,184.28,,,,,,,,,,,,,,,,,,,,,
202511213,BUF,12474,2025,HOU,12,38.0,,0.0,0.19,0.08,1.0,12.0,13.75,14.81,12.68,2.13,0.43,0.64,0.43,0.0,0.21,0.21,0.43,2.08,0.18,3.13,20.81,2.13,0.01,0.06,15.02,6.25,0.57,62.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202511201,ARI,9487,2025,JAX,12,77.0,,0.0,0.05,0.02,1.0,36.0,8.33,10.06,6.61,3.45,0.69,1.04,0.69,0.01,0.35,0.35,0.69,4.25,0.34,5.97,42.49,,,0.0,0.54,0.24,0.02,2.4,,,,,,,,,,,,,,3.45,,,,,,,,,,,,,13.33,0.91,,8.86,,,,,,,,,,,,,,,,,
202511212,GB,4199,2025,MIN,12,76.0,,0.0,0.21,0.09,1.0,25.0,10.48,11.63,9.33,2.3,0.46,0.69,0.46,0.0,0.23,0.23,0.46,1.27,0.13,3.12,12.65,2.3,0.01,0.07,14.04,6.15,0.21,61.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202511207,NE,9224,2025,CIN,12,20.0,,0.0,0.22,0.1,1.0,7.0,15.04,17.13,12.95,4.18,0.84,1.25,0.84,0.0,0.42,0.42,0.84,2.47,0.29,5.17,24.71,4.18,0.02,0.07,17.65,7.03,0.31,70.28,,,,,,,,,,,,,,,,,,,,,,,,,,,3.47,,,,,,,,,,,,,,,,,,,,
