game_id,opponent,player_id,season,team,week,proj_adp_dd_ppr,proj_bonus_rec_wr,proj_def_fum_td,proj_fum,proj_fum_lost,proj_gp,proj_pos_adp_dd_ppr,proj_pts_half_ppr,proj_pts_ppr,proj_pts_std,proj_rec,proj_rec_0_4,proj_rec_10_19,proj_rec_20_29,proj_rec_2pt,proj_rec_30_39,proj_rec_40p,proj_rec_5_9,proj_rec_fd,proj_rec_td,proj_rec_tgt,proj_rec_yd,proj_rush_2pt,proj_rush_40p,proj_rush_att,proj_rush_fd,proj_rush_td,proj_rush_yd,proj_bonus_rec_rb,proj_fga,proj_fgm,proj_fgm_20_29,proj_fgm_30_39,proj_fgm_40_49,proj_fgm_50p,proj_fgm_yds,proj_fgmiss_30_39,proj_fgmiss_40_49,proj_fgmiss_50p,proj_xpa,proj_xpm,proj_xpmiss,proj_cmp_pct,proj_pass_2pt,proj_pass_att,proj_pass_cmp,proj_pass_cmp_40p,proj_pass_fd,proj_pass_inc,proj_pass_int,proj_pass_int_td,proj_pass_sack,proj_pass_td,proj_pass_yd,proj_bonus_rec_te,proj_blk_kick,proj_def_kr_yd,proj_def_pr_yd,proj_def_td,proj_ff,proj_fum_rec,proj_int,proj_pr_yd,proj_pts_allow,proj_pts_allow_14_20,proj_sack,proj_safe,proj_tkl_loss,proj_yds_allow,proj_yds_allow_300_349,proj_pr,proj_pts_allow_21_27,proj_def_kr_td,proj_def_pr_td,proj_st_td,proj_yds_allow_350_399,proj_fgm_0_19,proj_yds_allow_200_299
202511415,IND,11631,2025,JAX,14,69.0,3.39,0.0,0.04,0.02,1.0,32.0,9.27,10.96,7.57,3.39,0.68,1.02,0.68,0.01,0.34,0.34,0.68,5.49,0.35,6.21,54.94,0.0,0.0,0.03,0.01,0.0,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202511433,TB,12476,2025,NO,14,50.0,,0.0,0.16,0.07,1.0,18.0,10.95,12.37,9.52,2.85,0.57,0.85,0.57,0.0,0.28,0.28,0.57,2.04,0.15,3.42,20.39,0.01,0.04,12.25,4.1,0.43,40.98,2.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202511403,PIT,3198,2025,BAL,14,16.0,,0.0,0.19,0.08,1.0,7.0,15.84,16.38,15.3,1.08,0.22,0.32,0.22,0.0,0.11,0.11,0.22,0.97,0.08,1.27,9.71,0.03,0.26,17.62,8.24,0.95,82.44,1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202511429,LAC,4195,2025,PHI,14,999.0,,,,,1.0,999.0,8.53,8.53,8.53,,,,,,,,,,,,,,,,,,,,1.96,1.66,0.43,0.49,0.49,0.25,67.97,0.06,0.12,0.12,2.82,2.7,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202511429,LAC,5859,2025,PHI,14,31.0,4.47,0.0,0.06,0.02,1.0,12.0,12.09,14.32,9.85,4.47,0.89,1.34,0.89,0.01,0.45,0.45,0.89,6.59,0.54,7.44,65.93,,,0.03,0.01,0.0,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202511403,PIT,4881,2025,BAL,14,42.0,,0.01,0.58,0.25,1.0,5.0,22.87,22.87,22.87,,,,,,,,,,,,,0.01,0.04,5.27,3.14,0.16,31.37,,,,,,,,,,,,,,,65.04,0.08,27.69,18.01,0.34,23.48,9.68,0.63,0.02,1.83,2.11,234.79,,,,,,,,,,,,,,,,,,,,,,,,
202511429,PHI,6797,2025,LAC,14,75.0,,0.01,0.36,0.16,1.0,10.0,20.5,20.5,20.5,,,,,,,,,,,,,0.01,0.01,3.29,1.96,0.09,19.56,,,,,,,,,,,,,,,66.75,0.06,34.1,22.76,0.28,23.55,11.34,0.65,0.02,2.13,1.86,235.47,,,,,,,,,,,,,,,,,,,,,,,,
202511411,DAL,7547,2025,DET,14,14.0,5.54,0.0,0.06,0.03,1.0,6.0,14.19,16.96,11.42,5.54,1.11,1.66,1.11,0.01,0.55,0.55,1.11,7.48,0.66,7.46,74.77,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202511401,LAR,8130,2025,ARI,14,12.0,,0.0,0.07,0.03,1.0,1.0,14.14,17.86,10.42,7.44,1.49,2.23,1.49,0.01,0.74,0.74,1.49,7.49,0.48,10.09,74.87,,0.0,0.12,0.05,0.01,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,7.44,,,,,,,,,,,,,,,,,,,,,,,
202511433,NO,8136,2025,TB,14,155.0,,0.0,0.1,0.04,1.0,39.0,5.18,6.28,4.08,2.2,0.44,0.66,0.44,0.0,0.22,0.22,0.44,1.39,0.13,2.38,13.89,0.0,0.01,3.5,1.33,0.1,13.32,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
