game_id,opponent,player_id,season,team,week,proj_adp_dd_ppr,proj_bonus_rec_rb,proj_def_fum_td,proj_fum,proj_fum_lost,proj_gp,proj_pos_adp_dd_ppr,proj_pts_half_ppr,proj_pts_ppr,proj_pts_std,proj_rec,proj_rec_0_4,proj_rec_10_19,proj_rec_20_29,proj_rec_2pt,proj_rec_30_39,proj_rec_40p,proj_rec_5_9,proj_rec_fd,proj_rec_td,proj_rec_tgt,proj_rec_yd,proj_rush_2pt,proj_rush_40p,proj_rush_att,proj_rush_fd,proj_rush_td,proj_rush_yd,proj_bonus_rec_wr,proj_fga,proj_fgm,proj_fgm_20_29,proj_fgm_30_39,proj_fgm_40_49,proj_fgm_50p,proj_fgm_yds,proj_fgmiss_30_39,proj_fgmiss_40_49,proj_fgmiss_50p,proj_xpa,proj_xpm,proj_xpmiss,proj_bonus_rec_te,proj_cmp_pct,proj_pass_2pt,proj_pass_att,proj_pass_cmp,proj_pass_cmp_40p,proj_pass_fd,proj_pass_inc,proj_pass_int,proj_pass_int_td,proj_pass_sack,proj_pass_td,proj_pass_yd,proj_def_kr_yd,proj_blk_kick,proj_def_pr_yd,proj_def_td,proj_ff,proj_fum_rec,proj_int,proj_pr_yd,proj_pts_allow,proj_pts_allow_21_27,proj_sack,proj_safe,proj_tkl_loss,proj_yds_allow,proj_yds_allow_350_399,proj_pts_allow_14_20,proj_yds_allow_300_349,proj_pr,proj_yds_allow_200_299,proj_fgm_0_19,proj_pts_allow_7_13,proj_def_pr_td,proj_pr_td,proj_st_td,proj_def_kr_td
202511712,GB,3198,2025,BAL,17,27.0,0.98,0.0,0.16,0.07,1.0,12.0,14.86,15.35,14.37,0.98,0.2,0.29,0.2,0.0,0.1,0.1,0.2,0.84,0.07,1.16,8.44,0.03,0.21,16.76,7.79,0.9,77.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202511734,TEN,11579,2025,NO,17,156.0,2.01,0.0,0.11,0.05,1.0,40.0,7.12,8.12,6.12,2.01,0.4,0.6,0.4,0.0,0.2,0.2,0.4,1.65,0.1,2.39,16.54,0.0,0.03,7.27,2.92,0.17,29.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202511714,IND,11631,2025,JAX,17,70.0,,0.0,0.04,0.02,1.0,32.0,9.07,10.72,7.41,3.31,0.66,0.99,0.66,0.01,0.33,0.33,0.66,5.39,0.34,6.12,53.89,0.0,0.0,,,,,3.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202511704,BUF,4195,2025,PHI,17,999.0,,,,,1.0,999.0,8.42,8.42,8.42,,,,,,,,,,,,,,,,,,,,1.94,1.64,0.42,0.48,0.48,0.24,67.06,0.06,0.12,0.12,2.79,2.67,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202511724,NYJ,3214,2025,NE,17,58.0,,0.0,0.08,0.04,1.0,5.0,9.24,11.2,7.29,3.91,0.78,1.17,0.78,0.01,0.39,0.39,0.78,4.73,0.44,5.79,47.31,,,,,,,,,,,,,,,,,,,,,3.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202511729,HOU,6797,2025,LAC,17,72.0,,0.01,0.37,0.16,1.0,8.0,21.63,21.63,21.63,,,,,,,,,,,,,0.01,0.02,5.44,3.07,0.2,30.72,,,,,,,,,,,,,,,,66.83,0.06,32.56,21.76,0.27,23.04,10.8,0.72,0.02,2.06,1.72,230.43,,,,,,,,,,,,,,,,,,,,,,,,,
202511704,BUF,5859,2025,PHI,17,37.0,,0.0,0.05,0.02,1.0,20.0,10.99,13.06,8.93,4.13,0.83,1.24,0.83,0.01,0.41,0.41,0.83,6.12,0.47,6.98,61.15,,,0.03,0.01,0.0,0.15,4.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202511707,CIN,8130,2025,ARI,17,5.0,,0.0,0.07,0.03,1.0,1.0,15.69,19.5,11.89,7.62,1.52,2.29,1.52,0.01,0.76,0.76,1.52,8.31,0.58,9.91,83.14,,0.0,0.12,0.06,0.01,0.58,,,,,,,,,,,,,,,7.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202511720,MIN,7547,2025,DET,17,9.0,,0.0,0.07,0.03,1.0,5.0,15.79,18.97,12.6,6.38,1.28,1.91,1.28,0.02,0.64,0.64,1.28,8.33,0.69,9.29,83.29,0.0,0.0,0.2,0.1,0.01,0.98,6.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202511719,MIA,8136,2025,TB,17,214.0,1.7,0.0,0.1,0.04,1.0,51.0,4.73,5.58,3.88,1.7,0.34,0.51,0.34,0.0,0.17,0.17,0.34,1.04,0.1,1.79,10.4,0.01,0.01,3.68,1.65,0.11,16.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202511720,MIN,8148,2025,DET,17,32.0,,0.0,0.07,0.03,1.0,16.0,11.43,13.33,9.53,3.8,0.76,1.14,0.76,0.01,0.38,0.38,0.76,6.54,0.46,6.53,65.44,0.0,0.0,0.4,0.18,0.02,1.78,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,1.78,,,,,,,,,,,,,,,,,,,,,,,,
202511704,BUF,PHI,2025,PHI,17,999.0,,0.04,,,1.0,999.0,5.7,5.7,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,29.13,0.04,41.62,0.12,0.75,0.42,0.67,12.49,24.0,1.0,1.87,0.04,3.79,355.3,1.0,,,,,,,,,,
