game_id,opponent,player_id,season,team,week,proj_adp_dd_ppr,proj_bonus_rec_wr,proj_def_fum_td,proj_fum,proj_fum_lost,proj_gp,proj_pos_adp_dd_ppr,proj_pts_half_ppr,proj_pts_ppr,proj_pts_std,proj_rec,proj_rec_0_4,proj_rec_10_19,proj_rec_20_29,proj_rec_2pt,proj_rec_30_39,proj_rec_40p,proj_rec_5_9,proj_rec_fd,proj_rec_td,proj_rec_tgt,proj_rec_yd,proj_rush_40p,proj_rush_att,proj_rush_fd,proj_rush_td,proj_rush_yd,proj_bonus_rec_rb,proj_rush_2pt,proj_bonus_rec_te,proj_fga,proj_fgm,proj_fgm_20_29,proj_fgm_30_39,proj_fgm_40_49,proj_fgm_50p,proj_fgm_yds,proj_fgmiss_50p,proj_xpa,proj_xpm,proj_xpmiss,proj_cmp_pct,proj_pass_2pt,proj_pass_att,proj_pass_cmp,proj_pass_cmp_40p,proj_pass_fd,proj_pass_inc,proj_pass_int,proj_pass_int_td,proj_pass_sack,proj_pass_td,proj_pass_yd,proj_def_kr_yd,proj_pr,proj_pr_yd,proj_blk_kick,proj_def_pr_yd,proj_def_td,proj_ff,proj_fum_rec,proj_int,proj_pts_allow,proj_pts_allow_14_20,proj_sack,proj_tkl_loss,proj_yds_allow,proj_yds_allow_200_299,proj_pr_td,proj_fgmiss_30_39,proj_fgmiss_40_49,proj_safe,proj_yds_allow_300_349,proj_pts_allow_21_27,proj_yds_allow_350_399,proj_fgm_0_19,proj_def_kr_td,proj_def_pr_td,proj_st_td
202510904,KC,11637,2025,BUF,9,107.0,3.05,0.0,0.06,0.03,1.0,47.0,7.8,9.32,6.27,3.05,0.61,0.92,0.61,0.01,0.31,0.31,0.61,4.29,0.33,5.12,42.92,0.0,0.03,0.01,0.0,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202510932,LAR,4035,2025,NO,9,78.0,,0.0,0.14,0.06,1.0,26.0,9.28,10.77,7.78,2.99,0.6,0.9,0.6,0.0,0.3,0.3,0.6,1.74,0.12,3.8,17.39,0.05,12.04,4.37,0.17,43.7,2.99,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202510921,ATL,3214,2025,NE,9,91.0,,0.0,0.07,0.03,1.0,11.0,8.8,10.75,6.84,3.91,0.78,1.17,0.78,0.01,0.39,0.39,0.78,4.51,0.4,5.46,45.08,,,,,,,,3.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202510923,NYG,5189,2025,SF,9,999.0,,,,,1.0,999.0,8.48,8.48,8.48,,,,,,,,,,,,,,,,,,,,,2.05,1.8,0.26,0.77,0.51,0.26,75.51,0.26,2.57,2.31,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202510919,MIA,4881,2025,BAL,9,29.0,,0.01,0.65,0.28,1.0,3.0,24.42,24.42,24.42,,,,,,,,,,,,,0.06,7.14,5.02,0.24,50.16,,0.01,,,,,,,,,,,,,66.41,0.08,27.69,18.39,0.36,22.52,9.3,0.52,0.02,1.97,2.08,225.18,,,,,,,,,,,,,,,,,,,,,,,,,,
202510934,TEN,6797,2025,LAC,9,57.0,,0.01,0.41,0.18,1.0,6.0,22.12,22.12,22.12,,,,,,,,,,,,,0.02,4.01,2.74,0.14,27.35,,0.01,,,,,,,,,,,,,67.84,0.07,33.72,22.87,0.32,26.18,10.84,0.63,0.03,2.38,1.76,261.83,,,,,,,,,,,,,,,,,,,,,,,,,,
202510925,LV,7543,2025,JAX,9,56.0,,0.0,0.19,0.08,1.0,18.0,11.18,12.43,9.94,2.49,0.5,0.75,0.5,0.0,0.25,0.25,0.5,1.77,0.12,3.17,17.68,0.11,14.65,6.09,0.25,60.95,2.49,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202510911,MIN,7547,2025,DET,9,8.0,6.57,0.0,0.07,0.03,1.0,5.0,16.46,19.74,13.17,6.57,1.31,1.97,1.31,0.02,0.66,0.66,1.31,8.6,0.75,8.39,86.05,0.0,0.14,0.07,0.0,0.71,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202510911,MIN,8148,2025,DET,9,74.0,3.16,0.0,0.06,0.02,1.0,34.0,9.7,11.28,8.12,3.16,0.63,0.95,0.63,0.01,0.32,0.32,0.63,5.36,0.39,5.22,53.63,0.0,0.65,0.31,0.02,3.07,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,1.86,,,,,,,,,,,,,,,,,,,,,,,,,
202510909,DAL,8130,2025,ARI,9,17.0,,0.0,0.07,0.03,1.0,1.0,14.46,18.08,10.84,7.24,1.45,2.17,1.45,0.01,0.72,0.72,1.45,7.72,0.5,8.96,77.17,0.0,0.15,0.07,0.01,0.74,,,7.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
