game_id,opponent,player_id,season,team,week,stat_bonus_rec_te,stat_bonus_rec_yd_100,stat_pos_rank_std,stat_gp,stat_tm_def_snp,stat_gms_active,stat_rec_td,stat_rec_ypt,stat_rec_20_29,stat_pos_rank_half_ppr,stat_st_snp,stat_pts_std,stat_rec_lng,stat_tm_st_snp,stat_bonus_rush_rec_yd_100,stat_rec,stat_rec_yar,stat_rec_fd,stat_gs,stat_tm_off_snp,stat_pos_rank_ppr,stat_rec_rz_tgt,stat_off_snp,stat_pts_half_ppr,stat_rec_air_yd,stat_rec_ypr,stat_rec_10_19,stat_rec_td_lng,stat_rush_rec_yd,stat_anytime_tds,stat_rec_tgt,stat_pts_ppr,stat_rec_yd,stat_bonus_fd_te,stat_rush_lng,stat_rush_td_lng,stat_rush_td,stat_pass_rush_yd,stat_rush_fd,stat_rush_att,stat_rec_5_9,stat_rush_ypa,stat_rush_tkl_loss_yd,stat_rush_yac,stat_rush_rz_att,stat_bonus_rush_att_20,stat_rush_yd,stat_bonus_rec_rb,stat_bonus_fd_rb,stat_rush_tkl_loss,stat_rec_0_4,stat_pass_air_yd,stat_pass_sack_yds,stat_pass_ypc,stat_pass_lng,stat_pass_rtg,stat_pass_att,stat_pass_rz_att,stat_pass_sack,stat_pass_cmp,stat_cmp_pct,stat_pass_ypa,stat_pass_fd,stat_pass_yd,stat_bonus_fd_qb,stat_fum,stat_pass_inc,stat_first_td,stat_penalty,stat_bonus_fd_wr,stat_bonus_rec_wr,stat_penalty_yd,stat_rec_30_39,stat_idp_tkl,stat_idp_tkl_solo,stat_pts_idp,stat_fga,stat_fgmiss,stat_fgmiss_50_59,stat_fgmiss_50p,stat_kick_pts,stat_xpa,stat_xpm,stat_sack,stat_qb_hit,stat_def_forced_punts,stat_def_pr_yd,stat_sack_yd,stat_tkl_ast,stat_def_kr_yd,stat_pts_allow,stat_def_4_and_stop,stat_def_pr,stat_fan_pts_allow_k,stat_def_st_tkl_solo,stat_def_pr_ypa,stat_def_kr_ypa,stat_def_pr_lng,stat_int,stat_def_st_fum_rec,stat_pts_allow_1_6,stat_yds_allow,stat_fan_pts_allow_def,stat_def_kr,stat_def_kr_lng,stat_def_3_and_out,stat_fan_pts_allow_qb,stat_fan_pts_allow_wr,stat_tkl_loss,stat_def_pass_def,stat_fan_pts_allow_te,stat_tkl,stat_tkl_solo,stat_yds_allow_100_199,stat_fan_pts_allow,stat_td,stat_fan_pts_allow_rb,stat_rec_drop,stat_rec_2pt,stat_rec_40p,stat_kr,stat_kr_lng,stat_kr_yd,stat_kr_ypa,stat_pr,stat_pr_lng,stat_pr_yd,stat_pr_ypa,stat_bonus_rush_yd_100,stat_rush_btkl,stat_fgm,stat_fgm_30_39,stat_fgm_50_59,stat_fgm_50p,stat_fgm_lng,stat_fgm_pct,stat_fgm_yds,stat_fgm_yds_over_30,stat_pass_int,stat_pass_int_td,stat_pass_td,stat_pass_td_lng,stat_yds_allow_450_499,stat_ff,stat_pts_allow_21_27,stat_fum_rec,stat_int_ret_yd,stat_pts_allow_14_20,stat_yds_allow_300_349,stat_fum_ret_yd,stat_pass_cmp_40p,stat_fgm_60p,stat_tkl_solo_misc,stat_yds_allow_500_549,stat_fgm_40_49,stat_bonus_pass_cmp_25,stat_bonus_pass_yd_300,stat_rush_40p,stat_rush_td_40p,stat_yds_allow_200_299,stat_fum_rec_ez_tds,stat_def_td,stat_pts_allow_28_34,stat_fgm_20_29,stat_rush_td_50p,stat_bonus_rush_yd_200,stat_bonus_rush_rec_yd_200,stat_st_tkl_solo,stat_st_td,stat_fum_lost,stat_rec_td_40p,stat_tkl_ast_misc,stat_pts_allow_7_13,stat_rec_td_50p,stat_rush_2pt,stat_def_st_ff,stat_pass_2pt,stat_pass_td_40p,stat_pass_td_50p,stat_def_st_td
202511207,CIN,3214,2025,NE,12,7.0,1.0,1.0,1.0,65.0,1.0,1.0,11.5,2.0,1.0,1.0,17.5,28.0,28.0,1.0,7.0,61.0,4.0,1.0,71.0,1.0,3.0,56.0,21.0,54.0,16.43,5.0,28.0,115.0,1.0,10.0,24.5,115.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202511203,NYJ,3198,2025,BAL,12,,,3.0,1.0,59.0,1.0,,12.0,,3.0,,20.8,19.0,24.0,,2.0,20.0,1.0,1.0,63.0,5.0,1.0,35.0,21.8,4.0,12.0,1.0,,88.0,2.0,2.0,22.8,24.0,,17.0,2.0,2.0,64.0,1.0,21.0,1.0,3.05,-1.0,44.0,9.0,1.0,64.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202511222,ATL,4035,2025,NO,12,,,51.0,1.0,56.0,1.0,,2.0,,46.0,,1.5,2.0,24.0,,2.0,12.0,,1.0,80.0,46.0,,11.0,2.5,-8.0,2.0,,,15.0,,2.0,3.5,4.0,,5.0,,,11.0,,3.0,,3.67,,7.0,,,11.0,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202511203,NYJ,4881,2025,BAL,12,,,24.0,1.0,59.0,1.0,,,,24.0,,7.22,,24.0,,,,,1.0,63.0,24.0,,63.0,7.22,,,,,11.0,,,7.22,,,6.0,,,164.0,,7.0,,1.57,,3.0,3.0,,11.0,,,,,102.0,10.0,11.77,30.0,76.9,23.0,5.0,1.0,13.0,56.52,6.65,7.0,153.0,7.0,1.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202511209,DAL,5859,2025,PHI,12,,1.0,7.0,1.0,74.0,1.0,1.0,11.0,1.0,5.0,,17.0,22.0,29.0,1.0,8.0,38.0,5.0,1.0,63.0,5.0,2.0,59.0,21.0,72.0,13.75,6.0,16.0,110.0,1.0,10.0,25.0,110.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,5.0,8.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202511211,NYG,7547,2025,DET,12,,1.0,3.0,1.0,82.0,1.0,1.0,11.46,2.0,3.0,,20.9,30.0,32.0,1.0,9.0,53.0,6.0,1.0,68.0,3.0,1.0,66.0,25.4,96.0,16.56,3.0,11.0,149.0,1.0,13.0,29.9,149.0,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,9.0,,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202511201,JAX,8130,2025,ARI,12,9.0,,6.0,1.0,62.0,1.0,,7.9,,3.0,,7.9,14.0,30.0,,9.0,36.0,6.0,1.0,84.0,2.0,,74.0,12.4,43.0,8.78,3.0,,79.0,,10.0,16.9,79.0,6.0,,,,,,,4.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202511209,DAL,4195,2025,PHI,12,,,999.0,1.0,74.0,1.0,,,,999.0,8.0,2.0,,29.0,,,,,,63.0,999.0,,,2.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202511211,DET,12481,2025,NYG,12,,,999.0,,,1.0,,,,999.0,,,,,,,,,,,999.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202511212,MIN,GB,2025,GB,12,,,999.0,1.0,,,,,,999.0,,17.0,,,,,,,,,999.0,,,17.0,,,,,,,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,10.0,,,,,,,,,,,,5.0,10.0,4.0,21.0,35.0,18.0,46.0,6.0,1.0,2.0,10.0,4.0,10.5,23.0,16.0,2.0,1.0,1.0,145.0,1.0,2.0,25.0,3.0,2.48,6.8,7.0,4.0,7.3,45.0,27.0,1.0,39.48,2.0,12.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
