game_id,opponent,player_id,season,team,week,stat_rush_lng,stat_pos_rank_std,stat_gp,stat_gms_active,stat_rec_ypt,stat_pos_rank_half_ppr,stat_pass_rush_yd,stat_pts_std,stat_rec_lng,stat_bonus_rush_rec_yd_100,stat_rush_fd,stat_rec,stat_rec_yar,stat_rush_att,stat_rec_5_9,stat_rush_ypa,stat_gs,stat_pos_rank_ppr,stat_rec_rz_tgt,stat_rush_tkl_loss_yd,stat_pts_half_ppr,stat_rec_air_yd,stat_rec_ypr,stat_rush_rz_att,stat_rush_rec_yd,stat_bonus_rush_att_20,stat_rush_yd,stat_bonus_rec_rb,stat_rec_tgt,stat_pts_ppr,stat_rec_yd,stat_bonus_fd_rb,stat_rush_tkl_loss,stat_bonus_fd_wr,stat_bonus_rec_wr,stat_rec_10_19,stat_rec_30_39,stat_rec_fd,stat_rush_td_lng,stat_first_td,stat_rush_td,stat_idp_tkl,stat_idp_tkl_solo,stat_pts_idp,stat_anytime_tds,stat_off_snp,stat_rec_0_4,stat_rec_20_29,stat_rec_drop,stat_tm_def_snp,stat_tm_off_snp,stat_tm_st_snp,stat_bonus_fd_te,stat_bonus_rec_te,stat_pass_int,stat_pass_air_yd,stat_pass_sack_yds,stat_pass_ypc,stat_pass_lng,stat_pass_rtg,stat_pass_att,stat_pass_rz_att,stat_pass_sack,stat_pass_cmp,stat_cmp_pct,stat_pass_ypa,stat_pass_fd,stat_pass_yd,stat_pass_td,stat_bonus_fd_qb,stat_pass_td_lng,stat_pass_inc,stat_sack,stat_qb_hit,stat_def_forced_punts,stat_def_pr_yd,stat_penalty,stat_sack_yd,stat_tkl_ast,stat_def_kr_yd,stat_pts_allow,stat_def_4_and_stop,stat_def_pr,stat_fan_pts_allow_k,stat_def_st_tkl_solo,stat_def_pr_ypa,stat_def_kr_ypa,stat_def_pr_lng,stat_int,stat_tkl_solo_misc,stat_yds_allow,stat_fan_pts_allow_def,stat_pts_allow_21_27,stat_def_kr,stat_def_kr_lng,stat_penalty_yd,stat_def_3_and_out,stat_fan_pts_allow_qb,stat_fan_pts_allow_wr,stat_tkl_loss,stat_def_pass_def,stat_yds_allow_300_349,stat_fan_pts_allow_te,stat_tkl,stat_tkl_solo,stat_fan_pts_allow,stat_td,stat_def_st_ff,stat_fan_pts_allow_rb,stat_fg_blkd,stat_fga,stat_fgm,stat_fgm_30_39,stat_fgm_40_49,stat_fgm_lng,stat_fgm_pct,stat_fgm_yds,stat_fgm_yds_over_30,stat_fgmiss,stat_fgmiss_50_59,stat_fgmiss_50p,stat_kick_pts,stat_st_snp,stat_xpa,stat_xpm,stat_rec_td,stat_rec_td_lng,stat_idp_tkl_ast,stat_int_ret_yd,stat_yds_allow_200_299,stat_pts_allow_7_13,stat_bonus_rec_yd_100,stat_pass_2pt,stat_rush_40p,stat_rush_td_40p,stat_kr_lng,stat_kr_ypa,stat_kr,stat_kr_yd,stat_fgm_20_29,stat_fgm_50_59,stat_fgm_50p,stat_fgm_60p,stat_st_tkl_solo,stat_fum_lost,stat_fum,stat_bonus_pass_cmp_25,stat_yds_allow_400_449,stat_rush_2pt,stat_xpmiss,stat_rush_btkl,stat_rush_yac,stat_ff,stat_tkl_ast_misc,stat_fum_rec,stat_def_st_td,stat_blk_kick,stat_pass_td_40p,stat_pass_cmp_40p,stat_pts_allow_28_34,stat_pass_int_td,stat_rec_40p,stat_rec_2pt,stat_bonus_pass_yd_300,stat_pts_allow_14_20,stat_pr,stat_pr_lng,stat_pr_yd,stat_pr_ypa,stat_safe,stat_pass_td_50p,stat_bonus_rush_yd_100,stat_rush_td_50p,stat_rec_td_40p,stat_def_td
202511403,PIT,3198,2025,BAL,14,19.0,20.0,1.0,1.0,4.0,20.0,94.0,10.2,8.0,1.0,6.0,1.0,5.0,25.0,1.0,3.76,1.0,21.0,1.0,-5.0,10.7,3.0,8.0,6.0,102.0,1.0,94.0,1.0,2.0,11.2,8.0,6.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202511415,IND,11631,2025,JAX,14,,20.0,1.0,1.0,14.5,23.0,,8.7,39.0,,,3.0,11.0,,,,1.0,22.0,,,10.2,76.0,29.0,,87.0,,,,6.0,11.7,87.0,,,3.0,3.0,1.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202511433,TB,12476,2025,NO,14,21.0,11.0,1.0,1.0,14.0,12.0,70.0,14.4,14.0,,2.0,1.0,19.0,19.0,,3.68,1.0,13.0,,-3.0,14.9,-5.0,14.0,3.0,84.0,,70.0,1.0,1.0,15.4,14.0,3.0,2.0,,,1.0,,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202511411,DAL,7547,2025,DET,14,,19.0,1.0,1.0,10.22,18.0,,9.2,37.0,,,6.0,52.0,,3.0,,1.0,17.0,,,12.2,40.0,15.33,,92.0,,,,9.0,15.2,92.0,,,2.0,6.0,,1.0,2.0,,,,,,,,57.0,1.0,1.0,1.0,82.0,62.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202511401,LAR,8130,2025,ARI,14,,15.0,1.0,1.0,6.44,12.0,,5.8,27.0,,,5.0,37.0,,1.0,,1.0,12.0,2.0,,8.3,21.0,11.6,,58.0,,,,9.0,10.8,58.0,,,,,1.0,,2.0,,,,,,,,,2.0,1.0,,,,,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202511411,DAL,8148,2025,DET,14,7.0,17.0,1.0,1.0,10.67,15.0,7.0,10.3,29.0,1.0,,7.0,40.0,1.0,1.0,7.0,1.0,12.0,1.0,,13.8,56.0,13.71,1.0,103.0,,7.0,,9.0,17.3,96.0,,,3.0,7.0,2.0,,3.0,,,,,,,,57.0,2.0,2.0,,82.0,62.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202511403,PIT,4881,2025,BAL,14,9.0,7.0,1.0,1.0,,7.0,262.0,22.06,,,2.0,,,7.0,,6.14,1.0,7.0,,,22.06,,,1.0,43.0,,43.0,,,22.06,,,,,,,,,6.0,,1.0,,,,1.0,,,,,,,,,,1.0,145.0,16.0,11.53,35.0,71.0,35.0,11.0,2.0,19.0,54.29,6.26,8.0,219.0,1.0,10.0,4.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202511433,NO,8136,2025,TB,14,11.0,34.0,1.0,1.0,1.0,35.0,53.0,5.5,2.0,,3.0,1.0,5.0,11.0,,4.82,,36.0,,,6.0,-3.0,2.0,2.0,55.0,,53.0,1.0,2.0,6.5,2.0,3.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202511416,HOU,10229,2025,KC,14,,65.0,1.0,1.0,4.25,58.0,,3.4,15.0,,,4.0,39.0,,3.0,,,55.0,,,5.4,-5.0,8.5,,34.0,,,,8.0,7.4,34.0,,,1.0,4.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202511412,CHI,GB,2025,GB,14,,999.0,1.0,,,999.0,,4.0,,,,,,,,,,999.0,,,4.0,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,6.0,4.0,7.0,6.0,9.0,32.0,85.0,21.0,1.0,1.0,8.0,2.0,7.0,28.33,7.0,1.0,1.0,315.0,2.0,1.0,3.0,30.0,55.0,2.0,15.94,23.7,2.0,3.0,1.0,20.3,65.0,33.0,87.84,4.0,1.0,19.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
