game_id,opponent,player_id,season,team,week,stat_bonus_fd_rb,stat_bonus_rec_rb,stat_gms_active,stat_gp,stat_pass_rush_yd,stat_pos_rank_half_ppr,stat_pos_rank_ppr,stat_pos_rank_std,stat_pts_half_ppr,stat_pts_ppr,stat_pts_std,stat_rec,stat_rec_0_4,stat_rec_lng,stat_rec_tgt,stat_rec_yar,stat_rec_yd,stat_rec_ypr,stat_rec_ypt,stat_rush_att,stat_rush_fd,stat_rush_lng,stat_rush_rec_yd,stat_rush_yd,stat_rush_ypa,stat_anytime_tds,stat_bonus_rush_att_20,stat_bonus_rush_rec_yd_200,stat_bonus_rush_yd_200,stat_first_td,stat_gs,stat_off_snp,stat_rush_rz_att,stat_rush_td,stat_rush_td_lng,stat_rush_tkl_loss,stat_rush_tkl_loss_yd,stat_tm_def_snp,stat_tm_off_snp,stat_tm_st_snp,stat_bonus_fd_te,stat_bonus_rec_te,stat_rec_10_19,stat_rec_20_29,stat_rec_air_yd,stat_rec_fd,stat_rec_rz_tgt,stat_rec_td,stat_rec_td_lng,stat_bonus_fd_wr,stat_bonus_rec_wr,stat_rec_5_9,stat_pass_int,stat_pass_air_yd,stat_pass_sack_yds,stat_pass_ypc,stat_pass_lng,stat_pass_rtg,stat_pass_att,stat_pass_rz_att,stat_pass_sack,stat_pass_cmp,stat_cmp_pct,stat_pass_ypa,stat_pass_cmp_40p,stat_pass_fd,stat_pass_yd,stat_pass_td,stat_bonus_fd_qb,stat_fum,stat_pass_td_lng,stat_pass_inc,stat_rec_drop,stat_idp_tkl,stat_idp_tkl_solo,stat_pts_idp,stat_rush_btkl,stat_rush_yac,stat_fga,stat_fgm,stat_fgm_40_49,stat_fgm_lng,stat_fgm_pct,stat_fgm_yds,stat_fgm_yds_over_30,stat_kick_pts,stat_st_snp,stat_xpa,stat_xpm,stat_bonus_rush_rec_yd_100,stat_rec_30_39,stat_pr,stat_pr_lng,stat_pr_yd,stat_pr_ypa,stat_sack,stat_qb_hit,stat_def_forced_punts,stat_def_pr_yd,stat_penalty,stat_sack_yd,stat_tkl_ast,stat_def_kr_yd,stat_pts_allow,stat_def_pr,stat_fan_pts_allow_k,stat_def_st_tkl_solo,stat_def_pr_ypa,stat_ff,stat_def_kr_ypa,stat_yds_allow_200_299,stat_pts_allow_14_20,stat_def_pr_lng,stat_int,stat_tkl_solo_misc,stat_yds_allow,stat_fan_pts_allow_def,stat_def_kr,stat_def_kr_lng,stat_penalty_yd,stat_def_3_and_out,stat_fan_pts_allow_qb,stat_fan_pts_allow_wr,stat_tkl_loss,stat_def_pass_def,stat_fan_pts_allow_te,stat_tkl,stat_tkl_solo,stat_fan_pts_allow,stat_td,stat_fan_pts_allow_rb,stat_fgm_30_39,stat_bonus_rec_yd_100,stat_fgm_50_59,stat_fgm_50p,stat_xpmiss,stat_kr,stat_kr_lng,stat_kr_yd,stat_kr_ypa,stat_rec_40p,stat_fgmiss,stat_fgmiss_50_59,stat_fgmiss_50p,stat_def_4_and_stop,stat_int_ret_yd,stat_pts_allow_7_13,stat_fgm_20_29,stat_fum_lost,stat_rush_40p,stat_rush_td_40p,stat_rush_td_50p,stat_ff_misc,stat_fum_rec,stat_yds_allow_100_199,stat_fgmiss_30_39,stat_fg_blkd,stat_bonus_rush_yd_100,stat_bonus_pass_yd_300,stat_blk_kick,stat_pass_td_40p,stat_pass_td_50p,stat_pts_allow_21_27,stat_def_td,stat_fum_ret_yd,stat_bonus_pass_cmp_25,stat_yds_allow_300_349,stat_idp_ff
202511734,TEN,11579,2025,NO,17,3.0,1.0,1.0,1.0,40.0,27.0,29.0,25.0,4.9,5.4,4.4,1.0,1.0,4.0,1.0,4.0,4.0,4.0,4.0,8.0,3.0,9.0,44.0,40.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202511734,TEN,12476,2025,NO,17,,,1.0,,,999.0,999.0,999.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202511712,GB,3198,2025,BAL,17,10.0,,1.0,1.0,216.0,1.0,1.0,1.0,45.6,45.6,45.6,,,,,,,,,36.0,10.0,30.0,216.0,216.0,6.0,4.0,1.0,1.0,1.0,1.0,1.0,48.0,13.0,4.0,25.0,1.0,-5.0,47.0,76.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202511724,NYJ,3214,2025,NE,17,,,1.0,1.0,,2.0,2.0,2.0,12.4,13.9,10.9,3.0,,23.0,3.0,29.0,49.0,16.33,16.33,,,,49.0,,,1.0,,,,,,,,,,,,,,,2.0,3.0,2.0,1.0,20.0,2.0,2.0,1.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202511714,IND,11631,2025,JAX,17,,,1.0,1.0,,32.0,31.0,34.0,5.9,7.9,3.9,4.0,1.0,17.0,6.0,5.0,39.0,9.75,6.5,,,,39.0,,,,,,,,,,,,,,,,,,,,2.0,,34.0,2.0,,,,2.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202511707,CIN,8130,2025,ARI,17,,,1.0,1.0,,25.0,23.0,29.0,7.1,10.1,4.1,6.0,3.0,15.0,9.0,43.0,41.0,6.83,4.56,,,,41.0,,,,,,,,,,,,,,,,,,2.0,6.0,2.0,,-2.0,2.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202511729,HOU,6797,2025,LAC,17,,,1.0,1.0,273.0,7.0,7.0,7.0,16.14,16.14,16.14,,,,,,,,,6.0,1.0,28.0,37.0,37.0,6.17,,,,,,1.0,63.0,,,,1.0,-4.0,65.0,63.0,29.0,,,,,,,,,,,,,1.0,124.0,35.0,11.24,60.0,84.9,32.0,10.0,5.0,21.0,65.63,7.38,1.0,10.0,236.0,1.0,11.0,2.0,1.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202511720,MIN,7547,2025,DET,17,,,1.0,1.0,,15.0,7.0,21.0,10.8,14.8,6.8,8.0,1.0,23.0,13.0,16.0,68.0,8.5,5.23,,,,68.0,,,,,,,,1.0,53.0,,,,,,54.0,64.0,26.0,,,3.0,1.0,52.0,5.0,1.0,,,5.0,8.0,2.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202511720,MIN,8148,2025,DET,17,,,1.0,1.0,,37.0,40.0,36.0,4.7,5.7,3.7,2.0,,22.0,3.0,3.0,37.0,18.5,12.33,,,,37.0,,,,,,,,1.0,53.0,,,,,,54.0,64.0,26.0,,,1.0,1.0,34.0,2.0,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202511719,MIA,8136,2025,TB,17,,2.0,1.0,1.0,10.0,35.0,33.0,40.0,2.7,3.7,1.7,2.0,1.0,6.0,2.0,16.0,7.0,3.5,3.5,2.0,,7.0,17.0,10.0,5.0,,,,,,,,,,,,,,,,,,,,-9.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
