game_id,opponent,player_id,season,team,week,proj_adp_dd_ppr,proj_bonus_rec_te,proj_def_fum_td,proj_fum,proj_fum_lost,proj_gp,proj_pos_adp_dd_ppr,proj_pts_half_ppr,proj_pts_ppr,proj_pts_std,proj_rec,proj_rec_0_4,proj_rec_10_19,proj_rec_20_29,proj_rec_2pt,proj_rec_30_39,proj_rec_40p,proj_rec_5_9,proj_rec_fd,proj_rec_td,proj_rec_tgt,proj_rec_yd,proj_rush_40p,proj_rush_att,proj_rush_fd,proj_rush_td,proj_rush_yd,proj_bonus_rec_wr,proj_def_kr_yd,proj_rush_2pt,proj_bonus_rec_rb,proj_fga,proj_fgm,proj_fgm_20_29,proj_fgm_30_39,proj_fgm_40_49,proj_fgm_50p,proj_fgm_yds,proj_fgmiss_40_49,proj_fgmiss_50p,proj_xpa,proj_xpm,proj_xpmiss,proj_cmp_pct,proj_pass_2pt,proj_pass_att,proj_pass_cmp,proj_pass_cmp_40p,proj_pass_fd,proj_pass_inc,proj_pass_int,proj_pass_int_td,proj_pass_sack,proj_pass_td,proj_pass_yd,proj_pr,proj_pr_td,proj_pr_yd,proj_blk_kick,proj_def_pr_yd,proj_def_td,proj_ff,proj_fum_rec,proj_int,proj_pts_allow,proj_pts_allow_14_20,proj_sack,proj_tkl_loss,proj_yds_allow,proj_yds_allow_300_349,proj_fgmiss_30_39,proj_pts_allow_21_27,proj_yds_allow_350_399,proj_safe,proj_fgm_0_19,proj_def_kr_td
202510224,NYJ,10236,2025,BUF,2,120.0,3.41,0.0,0.06,0.03,1.0,23.0,5.71,7.41,4.0,3.41,0.68,1.02,0.68,0.01,0.34,0.34,0.68,3.19,0.14,4.98,31.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202510216,PHI,1466,2025,KC,2,49.0,4.47,0.0,0.06,0.03,1.0,4.0,8.8,11.03,6.56,4.47,0.89,1.34,0.89,0.01,0.45,0.45,0.89,4.75,0.29,6.44,47.47,0.0,0.05,0.01,0.02,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202510201,ARI,11626,2025,CAR,2,152.0,,0.0,0.06,0.03,1.0,56.0,7.37,9.06,5.68,3.38,0.68,1.01,0.68,0.01,0.34,0.34,0.68,3.86,0.29,5.8,38.65,0.0,0.22,0.11,0.0,1.12,3.38,2.04,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202510209,DAL,12481,2025,NYG,2,243.0,,0.0,0.07,0.03,1.0,53.0,4.04,4.43,3.64,0.79,0.16,0.24,0.16,0.0,0.08,0.08,0.16,0.69,0.04,1.08,6.93,0.03,4.1,1.92,0.14,19.23,,,0.0,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202510214,IND,5045,2025,DEN,2,50.0,,0.0,0.07,0.03,1.0,20.0,11.87,14.33,9.41,4.92,0.98,1.47,0.98,0.01,0.49,0.49,0.98,7.03,0.4,8.39,70.31,,,,,,4.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202510234,TEN,2133,2025,LAR,2,48.0,,0.0,0.07,0.03,1.0,19.0,11.9,14.36,9.43,4.93,0.99,1.48,0.99,0.02,0.49,0.49,0.99,6.61,0.47,8.33,66.14,,,,,,4.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202510211,CHI,7547,2025,DET,2,23.0,,0.0,0.07,0.03,1.0,8.0,13.72,16.79,10.64,6.16,1.23,1.85,1.23,0.02,0.62,0.62,1.23,7.54,0.5,8.67,75.37,0.0,0.14,0.07,0.01,0.74,6.16,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202510213,HOU,6650,2025,TB,2,999.0,,,,,1.0,999.0,8.56,8.56,8.56,,,,,,,,,,,,,,,,,,,,,,1.96,1.67,0.36,0.48,0.48,0.36,70.07,0.12,0.18,2.62,2.5,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202510225,LV,6797,2025,LAC,2,128.0,,0.01,0.37,0.16,1.0,23.0,18.28,18.28,18.28,,,,,,,,,,,,,0.01,2.96,1.66,0.09,16.61,,,0.01,,,,,,,,,,,,,,66.75,0.06,31.37,20.94,0.29,23.54,10.43,0.52,0.02,2.16,1.45,235.41,,,,,,,,,,,,,,,,,,,,,
202510224,NYJ,8138,2025,BUF,2,33.0,,0.0,0.21,0.09,1.0,15.0,14.85,15.93,13.77,2.15,0.43,0.65,0.43,0.0,0.22,0.22,0.43,1.64,0.08,2.71,16.38,0.07,14.67,6.93,0.81,69.3,,,0.02,2.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
