display_name,team_name,wins,losses,fpts,fpts_against,ppts,accuracy,waiver_position,total_moves
LeChuckski,Washed Chuck,8,2,1378,1105,1514,91.02%,1,0
jhcv,drunken sailors,8,2,1317,1222,1452,90.7%,2,0
MullyMammoth,ICE’s,8,2,1308,1082,1513,86.45%,9,0
comfyboxers,Baker mayfeel you up,6,4,1216,1156,1340,90.75%,3,0
CountDoobie,Chevy’s Gimp,6,4,1165,1099,1358,85.79%,11,0
MGivens,MGivens,6,4,1161,1123,1385,83.83%,12,0
zwilly12,z bone,5,5,1190,1143,1265,94.07%,4,0
TylerFello,Tennessee Taints,3,7,1110,1167,1236,89.81%,10,0
EliStarfunk,Crasheed out ,3,7,1079,1236,1257,85.84%,6,0
GrooveInn,Puka Nacua Lipa,3,7,1079,1253,1191,90.6%,7,0
tejordan71,The Notorious C.T.E.,3,7,1060,1163,1119,94.73%,5,0
SquidlySounds,Chuck Took My Jeantys,1,9,891,1204,1073,83.04%,8,0
