player_id,team,opponent,season,week,pts_ppr,adp_dd_ppr
6797,LAC,KC,2025,1,18.12,131.0
8150,LAR,HOU,2025,1,16.83,19.0
8138,BUF,BAL,2025,1,14.83,38.0
7547,DET,GB,2025,1,16.55,20.0
9997,BAL,BUF,2025,1,12.05,82.0
1466,KC,LAC,2025,1,11.85,46.0
5045,DEN,TEN,2025,1,13.85,50.0
6650,TB,ATL,2025,1,9.2,999.0
12507,LAC,KC,2025,1,14.39,43.0
SF,SF,SEA,2025,1,6.98,999.0
4984,BUF,BAL,2025,1,23.54,37.0
11631,JAX,CAR,2025,1,17.22,17.0
8146,NYJ,PIT,2025,1,14.24,48.0
6790,CHI,MIN,2025,1,12.18,80.0
10859,DET,GB,2025,1,10.67,62.0
11620,CHI,MIN,2025,1,10.65,113.0
11786,JAX,CAR,2025,1,9.07,999.0
BAL,BAL,BUF,2025,1,6.64,999.0
9224,CIN,CLE,2025,1,18.27,10.0
5892,DET,GB,2025,1,12.69,70.0
7523,JAX,CAR,2025,1,19.63,105.0
7564,CIN,CLE,2025,1,20.36,1.0
12530,JAX,CAR,2025,1,9.74,127.0
8130,ARI,NO,2025,1,14.89,16.0
4195,PHI,DAL,2025,1,9.21,999.0
12501,GB,DET,2025,1,11.08,103.0
JAX,JAX,CAR,2025,1,7.42,999.0
7594,CAR,JAX,2025,1,14.8,39.0
11632,NYG,WAS,2025,1,15.7,28.0
4892,TB,ATL,2025,1,21.58,63.0
6813,IND,MIA,2025,1,17.97,11.0
5844,MIN,CHI,2025,1,10.47,65.0
4666,ATL,TB,2025,1,8.47,999.0
8148,DET,GB,2025,1,12.22,79.0
5872,WAS,NYG,2025,1,12.84,66.0
MIN,MIN,CHI,2025,1,7.5,999.0
12527,LV,NE,2025,1,17.94,12.0
11563,DEN,TEN,2025,1,20.32,89.0
8155,NYJ,PIT,2025,1,13.6,55.0
7569,HOU,LAR,2025,1,17.6,15.0
5022,PHI,DAL,2025,1,10.19,73.0
3321,MIA,IND,2025,1,15.79,27.0
11624,KC,LAC,2025,1,14.37,44.0
8259,LAC,KC,2025,1,9.12,999.0
HOU,HOU,LAR,2025,1,6.88,999.0
4035,NO,ARI,2025,1,17.1,18.0
4199,MIN,CHI,2025,1,13.24,60.0
6794,MIN,CHI,2025,1,18.98,7.0
5859,PHI,DAL,2025,1,15.13,35.0
7553,ATL,TB,2025,1,8.67,102.0
4881,BAL,BUF,2025,1,25.07,23.0
11628,ARI,NO,2025,1,12.18,81.0
1945,PIT,NYJ,2025,1,9.01,999.0
DET,DET,GB,2025,1,6.55,999.0
9509,ATL,TB,2025,1,19.68,4.0
11584,TB,ATL,2025,1,18.59,9.0
11566,WAS,NYG,2025,1,23.97,31.0
5927,WAS,NYG,2025,1,15.14,34.0
7525,PHI,DAL,2025,1,13.54,56.0
4066,DEN,TEN,2025,1,10.03,77.0
11539,DET,GB,2025,1,9.13,999.0
4983,CHI,MIN,2025,1,13.31,59.0
4866,PHI,DAL,2025,1,19.4,5.0
PHI,PHI,DAL,2025,1,7.98,999.0
4046,KC,LAC,2025,1,21.33,72.0
8151,SEA,SF,2025,1,12.75,68.0
11635,LAC,KC,2025,1,15.39,30.0
6801,CIN,CLE,2025,1,14.48,41.0
5012,BAL,BUF,2025,1,10.3,69.0
7839,CIN,CLE,2025,1,9.33,999.0
6783,CLE,CIN,2025,1,14.47,42.0
WAS,WAS,NYG,2025,1,7.19,999.0
3198,BAL,BUF,2025,1,17.7,13.0
9226,MIA,IND,2025,1,20.21,2.0
8183,SF,SEA,2025,1,21.13,75.0
9493,LAR,HOU,2025,1,16.55,21.0
12526,CAR,JAX,2025,1,14.93,36.0
4217,SF,SEA,2025,1,14.08,22.0
8137,DAL,PHI,2025,1,13.16,61.0
11533,DAL,PHI,2025,1,9.65,999.0
PIT,PIT,NYJ,2025,1,7.77,999.0
4034,SF,SEA,2025,1,19.75,3.0
8112,ATL,TB,2025,1,16.02,26.0
3294,DAL,PHI,2025,1,20.6,84.0
8205,KC,LAC,2025,1,12.37,78.0
9488,SEA,SF,2025,1,15.15,33.0
12518,IND,MIA,2025,1,9.19,91.0
3678,DEN,TEN,2025,1,8.98,999.0
12529,NE,LV,2025,1,13.7,53.0
DEN,DEN,TEN,2025,1,8.37,999.0
9221,DET,GB,2025,1,18.98,6.0
6904,PHI,DAL,2025,1,24.87,24.0
4137,ARI,NO,2025,1,14.77,40.0
2216,TB,ATL,2025,1,15.32,32.0
12514,TB,ATL,2025,1,12.82,67.0
4981,TEN,DEN,2025,1,12.71,71.0
11604,LV,NE,2025,1,16.21,8.0
GB,GB,DET,2025,1,6.76,999.0
6770,CIN,CLE,2025,1,22.86,47.0
12711,BAL,BUF,2025,1,9.01,999.0
5850,GB,DET,2025,1,16.16,25.0
5967,TEN,DEN,2025,1,13.98,49.0
7526,MIA,IND,2025,1,13.81,51.0
4033,CLE,CIN,2025,1,13.14,29.0
5846,PIT,NYJ,2025,1,14.33,45.0
4227,KC,LAC,2025,1,9.1,999.0
6786,DAL,PHI,2025,1,17.67,14.0
BUF,BUF,BAL,2025,1,6.68,999.0
