time,matchup
12:30 PM EST @ Madison Square Garden,Pittsburgh Penguins @ New York Rangers
3:00 PM EST @ Xfinity Mobile Arena,Boston Bruins @ Philadelphia Flyers
4:00 PM EST @ SAP Center at San Jose,Edmonton Oilers @ San Jose Sharks
5:00 PM EST @ Enterprise Center,New Jersey Devils @ St. Louis Blues
6:00 PM EST @ Nationwide Arena,New York Islanders @ Columbus Blue Jackets
6:00 PM EST @ Ball Arena,Chicago Blackhawks @ Colorado Avalanche
7:00 PM EST @ Scotiabank Arena,Ottawa Senators @ Toronto Maple Leafs
7:00 PM EST @ Centre Bell,Washington Capitals @ Montréal Canadiens
7:00 PM EST @ Benchmark International Arena,Buffalo Sabres @ Tampa Bay Lightning
7:00 PM EST @ Lenovo Center,Detroit Red Wings @ Carolina Hurricanes
7:00 PM EST @ Crypto.com Arena,Calgary Flames @ Los Angeles Kings
8:00 PM EST @ American Airlines Center,Nashville Predators @ Dallas Stars
10:00 PM EST @ Climate Pledge Arena,Vancouver Canucks @ Seattle Kraken
