time,matchup
7:00 PM EDT @ TD Garden,Washington Capitals @ Boston Bruins
7:00 PM EDT @ Centre Bell,Florida Panthers @ Montréal Canadiens
7:00 PM EDT @ Canadian Tire Centre,Buffalo Sabres @ Ottawa Senators
7:00 PM EDT @ Nationwide Arena,Nashville Predators @ Columbus Blue Jackets
7:30 PM EDT @ UBS Arena,Tampa Bay Lightning @ New York Islanders
8:00 PM EDT @ Enterprise Center,Detroit Red Wings @ St. Louis Blues
9:00 PM EDT @ Delta Center,Calgary Flames @ Utah Utah Hockey Club
10:00 PM EDT @ T-Mobile Arena,Edmonton Oilers @ Vegas Golden Knights
10:00 PM EDT @ Honda Center,San Jose Sharks @ Anaheim Ducks
10:30 PM EDT @ Crypto.com Arena,Winnipeg Jets @ Los Angeles Kings
