Eastern - Atlantic
Team,Pts,W,L,OTL,GP,GD,Streak
Toronto Maple Leafs,94,45,25,4,74,23,W2
Tampa Bay Lightning,91,43,25,5,73,69,W3
Florida Panthers,91,44,26,3,73,35,L1
Ottawa Senators,84,39,28,6,73,2,OT1
Montréal Canadiens,77,34,30,9,73,-26,W1
Detroit Red Wings,74,34,33,6,73,-22,W1
Boston Bruins,69,30,35,9,74,-51,L5
Buffalo Sabres,68,31,36,6,73,-22,W1

Eastern - Metropolitan
Team,Pts,W,L,OTL,GP,GD,Streak
Washington Capitals,103,47,17,9,73,70,L2
Carolina Hurricanes,94,45,24,4,73,42,W2
New Jersey Devils,87,40,29,7,76,26,W2
New York Rangers,77,35,32,7,74,2,W1
Columbus Blue Jackets,75,33,30,9,72,-8,L1
New York Islanders,74,32,31,10,73,-23,L3
Pittsburgh Penguins,71,30,34,11,75,-56,W1
Philadelphia Flyers,71,31,36,9,76,-46,W3

Western - Central
Team,Pts,W,L,OTL,GP,GD,Streak
Winnipeg Jets,106,51,19,4,74,83,W3
Dallas Stars,100,48,21,4,73,63,W5
Colorado Avalanche,94,45,26,4,75,40,OT1
Minnesota Wild,88,41,28,6,75,-10,OT1
St. Louis Blues,87,40,28,7,75,17,W9
Utah Hockey Club,78,33,29,12,74,-19,W1
Nashville Predators,62,27,39,8,74,-51,L3
Chicago Blackhawks,51,21,44,9,74,-68,L3

Western - Pacific
Team,Pts,W,L,OTL,GP,GD,Streak
Vegas Golden Knights,98,45,20,8,73,55,W6
Los Angeles Kings,91,41,23,9,73,29,W1
Edmonton Oilers,89,42,26,5,73,21,W1
Calgary Flames,82,35,26,12,73,-23,W1
Vancouver Canucks,81,34,27,13,74,-16,L1
Anaheim Ducks,72,32,33,8,73,-29,L1
Seattle Kraken,68,31,37,6,74,-19,L1
San Jose Sharks,49,20,44,9,73,-88,L2

