dt,WVHT,DPD,APD,MWD,WTMP
2025-05-14T21:56:00Z,0.7,8,4.5,86,25.4
2025-05-14T21:26:00Z,0.7,8,4.6,89,25.4
2025-05-14T20:56:00Z,0.6,8,4.8,86,25.5
2025-05-14T20:26:00Z,0.7,8,5,97,25.5
2025-05-14T19:56:00Z,0.7,8,5.2,97,25.5
2025-05-14T19:26:00Z,0.7,8,5.4,91,25.6
2025-05-14T18:56:00Z,0.7,8,5.8,90,25.6
2025-05-14T18:26:00Z,0.6,8,6.2,103,25.7
2025-05-14T17:56:00Z,0.6,8,6.7,93,25.7
2025-05-14T17:26:00Z,0.6,8,6.7,96,25.9
2025-05-14T16:56:00Z,0.6,8,6.6,89,25.9
2025-05-14T16:26:00Z,0.6,8,6.7,93,25.9
2025-05-14T15:56:00Z,0.7,8,6.8,86,25.6
2025-05-14T15:26:00Z,0.7,7,6.4,98,25.2
2025-05-14T14:56:00Z,0.7,8,6.3,93,24.9
2025-05-14T14:26:00Z,0.7,8,6,96,24.8
2025-05-14T13:56:00Z,0.6,8,5.6,100,24.7
2025-05-14T13:26:00Z,0.7,8,5.5,96,24.6
2025-05-14T12:56:00Z,0.8,8,5.5,94,24.6
2025-05-14T12:26:00Z,0.8,8,5.5,91,24.6
2025-05-14T11:56:00Z,0.8,8,5.3,94,24.6
2025-05-14T11:26:00Z,0.8,8,5.3,94,24.6
2025-05-14T10:56:00Z,0.8,8,5,93,24.6
2025-05-14T10:26:00Z,0.9,8,5.6,83,24.6
2025-05-14T09:56:00Z,0.8,8,5.4,86,24.7
2025-05-14T09:26:00Z,0.8,8,5.2,89,24.7
2025-05-14T08:56:00Z,0.9,8,5.2,87,24.7
2025-05-14T08:26:00Z,0.8,8,5,91,24.7
2025-05-14T07:56:00Z,0.8,8,4.7,94,24.7
2025-05-14T07:26:00Z,0.8,8,4.7,86,24.7
2025-05-14T06:56:00Z,0.9,8,4.8,84,24.7
2025-05-14T06:26:00Z,0.8,8,4.8,96,24.7
2025-05-14T05:56:00Z,0.8,8,4.7,90,24.7
2025-05-14T05:26:00Z,1,8,4.7,90,24.7
2025-05-14T04:56:00Z,0.9,8,4.2,93,24.8
2025-05-14T04:26:00Z,1.1,9,4.8,84,24.8
